"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AEAAN","Al Ain",,"unlcdf:4",,"unlcdc:AE",,,"AEAAN"
"unlcd:AEABU","Abu al Bukhoosh",,"unlcdf:1",,"unlcdc:AE","25.483334","53.133335","AEABU"
"unlcd:AEAJM","Ajman",,"unlcdf:1, unlcdf:3",,"unlcdc:AE",,,"AEAJM"
"unlcd:AEAJP","Al Jeer Port",,"unlcdf:1, unlcdf:3","unlcds:AERK","unlcdc:AE","26.033333","56.05","AEAJP"
"unlcd:AEALB","Al Barsha",,"unlcdf:3","unlcds:AEDU","unlcdc:AE","25.1","55.183334","AEALB"
"unlcd:AEALQ","Al Quoz",,"unlcdf:3","unlcds:AEDU","unlcdc:AE","25.116667","55.216667","AEALQ"
"unlcd:AEALS","Al Sufouh",,"unlcdf:3","unlcds:AEDU","unlcdc:AE","25.116667","55.183334","AEALS"
"unlcd:AEAMF","Mussafah",,"unlcdf:1","unlcds:AEAZ","unlcdc:AE","24.383333","54.483334","AEAMF"
"unlcd:AEAMU","Abu Musa",,"unlcdf:1",,"unlcdc:AE","25.866667","55.016666","AEAMU"
"unlcd:AEARP","Ahmed Bin Rashid Port",,"unlcdf:1","unlcds:AEAZ","unlcdc:AE","25.533333","55.55","AEARP"
"unlcd:AEARZ","Arzanah Island",,"unlcdf:0",,"unlcdc:AE",,,"AEARZ"
"unlcd:AEAUH","Abu Dhabi",,"unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:AEAZ","unlcdc:AE","24.466667","54.366665","AEAUH"
"unlcd:AEDAS","Das Island",,"unlcdf:1",,"unlcdc:AE",,,"AEDAS"
"unlcd:AEDBI","Al Mafraq",,"unlcdf:3","unlcds:AEAZ","unlcdc:AE","24.3","54.6","AEDBI"
"unlcd:AEDBP","Dibba",,"unlcdf:1, unlcdf:3","unlcds:AESH","unlcdc:AE","25.616667","56.266666","AEDBP"
"unlcd:AEDER","Deira",,"unlcdf:3","unlcds:AEDU","unlcdc:AE","25.266666","55.316666","AEDER"
"unlcd:AEDHF","Al Dhafra",,"unlcdf:3, unlcdf:4",,"unlcdc:AE","24.233334","54.533333","AEDHF"
"unlcd:AEDUJ","The Palm Jumeirah",,"unlcdf:1","unlcds:AEDU","unlcdc:AE",,,"AEDUJ"
"unlcd:AEDUY","Ras Zubbaya (Ras Dubayyah)",,"unlcdf:0",,"unlcdc:AE",,,"AEDUY"
"unlcd:AEDWC","Dubai World Central Apt",,"unlcdf:3, unlcdf:4",,"unlcdc:AE","24.883333","55.166668","AEDWC"
"unlcd:AEDXB","Dubai",,"unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:AEDU","unlcdc:AE","25.25","55.266666","AEDXB"
"unlcd:AEEND","Esnnad",,"unlcdf:1","unlcds:AEAZ","unlcdc:AE","24.316668","54.45","AEEND"
"unlcd:AEFAT","Fateh Terminal",,"unlcdf:1",,"unlcdc:AE",,,"AEFAT"
"unlcd:AEFJR","Al Fujayrah",,"unlcdf:1, unlcdf:4","unlcds:AEFU","unlcdc:AE","25.116667","56.333332","AEFJR"
"unlcd:AEFMZ","Musafa",,"unlcdf:0",,"unlcdc:AE",,,"AEFMZ"
"unlcd:AEFRP","Free Port",,"unlcdf:1","unlcds:AEDU","unlcdc:AE","25.25","55.25","AEFRP"
"unlcd:AEHAB","Habshan",,"unlcdf:3","unlcds:AEAZ","unlcdc:AE","23.933332","53.633335","AEHAB"
