"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AIAXA","Anguilla",,"unlcdf:4, unlcdf:5",,"unlcdc:AI",,,"AIAXA"
"unlcd:AIBLP","Blowing Point",,"unlcdf:1",,"unlcdc:AI",,,"AIBLP"
"unlcd:AICRH","Crocus Hill",,"unlcdf:3",,"unlcdc:AI","18.216667","-63.066666","AICRH"
"unlcd:AIFOR","The Forest",,"unlcdf:1",,"unlcdc:AI",,,"AIFOR"
"unlcd:AIMBB","Meads Bay Beach",,"unlcdf:1",,"unlcdc:AI","18.166666","-63.133335","AIMBB"
"unlcd:AIRBY","Road Bay",,"unlcdf:3",,"unlcdc:AI",,,"AIRBY"
"unlcd:AIROA","The Road",,"unlcdf:1",,"unlcdc:AI",,,"AIROA"
"unlcd:AISOM","Sombrero",,"unlcdf:1",,"unlcdc:AI","18.6","-63.466667","AISOM"
"unlcd:AIVAL","The Valley",,"unlcdf:3",,"unlcdc:AI","18.216667","-63.05","AIVAL"
"unlcd:AIWLL","Wall Blake",,"unlcdf:1, unlcdf:4",,"unlcdc:AI",,,"AIWLL"
