"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ALARG","Argyrokastro",,"unlcdf:3",,"unlcdc:AL","40.116665","20.216667","ALARG"
"unlcd:ALBQE","Bulqizë","Bulqize","unlcdf:3","unlcds:AL09","unlcdc:AL","41.483334","20.216667","ALBQE"
"unlcd:ALBRT","Berat",,"unlcdf:3, unlcdf:6","unlcds:ALBR","unlcdc:AL","40.716667","19.95","ALBRT"
"unlcd:ALBUT","Butrint",,"unlcdf:1","unlcds:ALSR","unlcdc:AL","39.75","20.016666","ALBUT"
"unlcd:ALDRZ","Durrës","Durres","unlcdf:1",,"unlcdc:AL",,,"ALDRZ"
"unlcd:ALFIE","Fier",,"unlcdf:2, unlcdf:3",,"unlcdc:AL","40.733334","19.566668","ALFIE"
"unlcd:ALFUS","Fushe Arrez",,"unlcdf:6","unlcds:ALSH","unlcdc:AL","42.05","20.016666","ALFUS"
"unlcd:ALGOK","Gjirokastër","Gjirokaster","unlcdf:3, unlcdf:6","unlcds:ALGJ","unlcdc:AL","40.083332","20.15","ALGOK"
"unlcd:ALHMR","Himare",,"unlcdf:1","unlcds:ALSR","unlcdc:AL","40.133335","19.716667","ALHMR"
"unlcd:ALKKU","Kukës","Kukes","unlcdf:3, unlcdf:6","unlcds:ALKU","unlcdc:AL","42.083332","20.416666","ALKKU"
"unlcd:ALKRC","Korçë","Korce","unlcdf:3","unlcds:ALKO","unlcdc:AL","40.616665","20.766666","ALKRC"
"unlcd:ALLUS","Lushnjë","Lushnje","unlcdf:3","unlcds:ALLU","unlcdc:AL","40.933334","19.7","ALLUS"
"unlcd:ALLZE","Lezhe",,"unlcdf:3","unlcds:ALLE","unlcdc:AL","41.783333","19.633333","ALLZE"
"unlcd:ALMBR","Mbreshtan",,"unlcdf:3","unlcds:AL01","unlcdc:AL","40.7","19.866667","ALMBR"
"unlcd:ALMIL","Milot",,"unlcdf:3","unlcds:AL08","unlcdc:AL","41.666668","19.716667","ALMIL"
"unlcd:ALNPP","Elbasan",,"unlcdf:2, unlcdf:3","unlcds:ALEL","unlcdc:AL","41.1","20.066668","ALNPP"
"unlcd:ALROM","Romano Port",,"unlcdf:1, unlcdf:3","unlcds:AL02","unlcdc:AL","41.366665","19.416666","ALROM"
"unlcd:ALSAR","Sarandë","Sarande","unlcdf:1","unlcds:ALSR","unlcdc:AL","39.883335","20.0","ALSAR"
"unlcd:ALSHG","Shëngjin","Shengjin","unlcdf:1","unlcds:ALLE","unlcdc:AL","41.8","19.566668","ALSHG"
"unlcd:ALSHK","Shkoder",,"unlcdf:3",,"unlcdc:AL","42.066666","19.516666","ALSHK"
"unlcd:ALSHZ","Shkozet",,"unlcdf:6","unlcds:ALKA","unlcdc:AL","42.033333","19.566668","ALSHZ"
"unlcd:ALTEN","Tenes",,"unlcdf:0",,"unlcdc:AL",,,"ALTEN"
"unlcd:ALTIA","Tirana",,"unlcdf:4, unlcdf:5",,"unlcdc:AL",,,"ALTIA"
"unlcd:ALVOA","Vlorë","Vlore","unlcdf:1","unlcds:ALVL","unlcdc:AL","40.466667","19.483334","ALVOA"
"unlcd:ALVOR","Vore",,"unlcdf:3","unlcds:ALTR","unlcdc:AL","41.383335","19.65","ALVOR"
