"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AMA3A","Aparan",,"unlcdf:3","unlcds:AMAG","unlcdc:AM","40.583332","44.35","AMA3A"
"unlcd:AMABO","Abovyan",,"unlcdf:2",,"unlcdc:AM","40.266666","44.783333","AMABO"
"unlcd:AMAHU","Akhuryan",,"unlcdf:2",,"unlcdc:AM",,,"AMAHU"
"unlcd:AMARA","Ararat",,"unlcdf:2",,"unlcdc:AM","39.833332","44.683334","AMARA"
"unlcd:AMARG","Aragatsotn",,"unlcdf:6",,"unlcdc:AM","40.25","44.166668","AMARG"
"unlcd:AMARM","Masis",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:AMAR","unlcdc:AM","40.016666","44.483334","AMARM"
"unlcd:AMARV","Armavir",,"unlcdf:6",,"unlcdc:AM","40.15","44.016666","AMARV"
"unlcd:AMASH","Ashtarak",,"unlcdf:3","unlcds:AMER","unlcdc:AM","40.3","44.35","AMASH"
"unlcd:AMBRD","Berd",,"unlcdf:6",,"unlcdc:AM","40.866665","45.383335","AMBRD"
"unlcd:AMBYU","Byureghavan",,"unlcdf:3","unlcds:AMKT","unlcdc:AM","40.3","44.583332","AMBYU"
"unlcd:AMDIL","Dilijan",,"unlcdf:6",,"unlcdc:AM","40.733334","44.866665","AMDIL"
"unlcd:AMEVN","Yerevan",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:AMER","unlcdc:AM","40.183334","44.516666","AMEVN"
"unlcd:AMEZN","Ecmiadzin",,"unlcdf:3",,"unlcdc:AM","40.15","44.283333","AMEZN"
"unlcd:AMGRS","Goris",,"unlcdf:6",,"unlcdc:AM","39.5","46.333332","AMGRS"
"unlcd:AMHRA","Hrazdan",,"unlcdf:2, unlcdf:3","unlcds:AMKT","unlcdc:AM","40.533333","44.766666","AMHRA"
"unlcd:AMJER","Jermuk",,"unlcdf:1, unlcdf:6","unlcds:AMVD","unlcdc:AM",,,"AMJER"
"unlcd:AMKJN","Kajaran",,"unlcdf:2, unlcdf:3",,"unlcdc:AM","39.15","46.15","AMKJN"
"unlcd:AMKPN","Kapan",,"unlcdf:3","unlcds:AMSU","unlcdc:AM","39.2","46.4","AMKPN"
"unlcd:AMLWN","Gyumri",,"unlcdf:4",,"unlcdc:AM","40.8","43.833332","AMLWN"
"unlcd:AMMMA","Mets Masrik",,"unlcdf:3","unlcds:AMGR","unlcdc:AM","40.216667","45.766666","AMMMA"
"unlcd:AMMTR","Metsamor",,"unlcdf:6","unlcds:AMER","unlcdc:AM","40.066666","44.283333","AMMTR"
"unlcd:AMRN4","Rind",,"unlcdf:3","unlcds:AMVD","unlcdc:AM","39.75","45.166668","AMRN4"
"unlcd:AMSPI","Spitak",,"unlcdf:3","unlcds:AMLO","unlcdc:AM","40.833332","44.266666","AMSPI"
"unlcd:AMVED","Vedi",,"unlcdf:3","unlcds:AMAR","unlcdc:AM","39.9","44.716667","AMVED"
"unlcd:AMVZR","Vanadzor",,"unlcdf:3",,"unlcdc:AM","40.8","44.466667","AMVZR"
