"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AOANL","Andulo",,"unlcdf:4",,"unlcdc:AO",,,"AOANL"
"unlcd:AOARO","Armada Olombendo FPSO",,"unlcdf:7","unlcds:AOZAI","unlcdc:AO","-6.0666666","11.35","AOARO"
"unlcd:AOARZ","N'Zeto",,"unlcdf:4",,"unlcdc:AO",,,"AOARZ"
"unlcd:AOAZZ","Ambriz",,"unlcdf:1, unlcdf:4",,"unlcdc:AO",,,"AOAZZ"
"unlcd:AOBAB","Baba",,"unlcdf:1",,"unlcdc:AO","-14.833333","12.233334","AOBAB"
"unlcd:AOBDD","Barra do Dande",,"unlcdf:1",,"unlcdc:AO",,,"AOBDD"
"unlcd:AOBDT","Baía dos Tigres","Baia dos Tigres","unlcdf:1",,"unlcdc:AO","-16.6","11.733334","AOBDT"
"unlcd:AOBEL","Belas",,"unlcdf:3","unlcds:AOLUA","unlcdc:AO","-8.916667","13.166667","AOBEL"
"unlcd:AOBUG","Benguela",,"unlcdf:1, unlcdf:4",,"unlcdc:AO",,,"AOBUG"
"unlcd:AOCAB","Cabinda",,"unlcdf:1, unlcdf:4",,"unlcdc:AO",,,"AOCAB"
"unlcd:AOCAV","Cazombo",,"unlcdf:4",,"unlcdc:AO",,,"AOCAV"
"unlcd:AOCBT","Catumbela",,"unlcdf:4",,"unlcdc:AO",,,"AOCBT"
"unlcd:AOCEO","Waku Kungo",,"unlcdf:4",,"unlcdc:AO","-11.35","15.116667","AOCEO"
"unlcd:AOCFF","Cafunfo",,"unlcdf:4",,"unlcdc:AO",,,"AOCFF"
"unlcd:AOCLV","CLOV FPSO",,"unlcdf:7",,"unlcdc:AO","-7.45","11.566667","AOCLV"
"unlcd:AOCNZ","Cangamba",,"unlcdf:4",,"unlcdc:AO",,,"AOCNZ"
"unlcd:AOCPO","Capulo",,"unlcdf:1",,"unlcdc:AO","-7.9833336","13.166667","AOCPO"
"unlcd:AOCTI","Cuito Cuanavale",,"unlcdf:4",,"unlcdc:AO",,,"AOCTI"
"unlcd:AOCUI","Cuio",,"unlcdf:1",,"unlcdc:AO","-12.983334","12.983334","AOCUI"
"unlcd:AODAL","Dalia",,"unlcdf:1",,"unlcdc:AO","-7.6833334","11.783334","AODAL"
"unlcd:AODGR","Dombe Grande",,"unlcdf:1",,"unlcdc:AO",,,"AODGR"
"unlcd:AODRC","Dirico",,"unlcdf:4",,"unlcdc:AO",,,"AODRC"
"unlcd:AODUE","Dundo",,"unlcdf:4",,"unlcdc:AO",,,"AODUE"
"unlcd:AOETN","Essungo Terminal",,"unlcdf:1",,"unlcdc:AO","-6.3333335","12.166667","AOETN"
"unlcd:AOFBY","Farta Bay",,"unlcdf:1",,"unlcdc:AO","-12.616667","13.2","AOFBY"
"unlcd:AOFLT","Futila Terminal",,"unlcdf:1",,"unlcdc:AO","-5.45","12.183333","AOFLT"
"unlcd:AOGGC","Lumbala",,"unlcdf:4",,"unlcdc:AO",,,"AOGGC"
"unlcd:AOGIM","Gimboa",,"unlcdf:1",,"unlcdc:AO","-7.5333333","12.166667","AOGIM"
"unlcd:AOGIR","Girassol Terminal",,"unlcdf:1",,"unlcdc:AO","-7.633333","11.683333","AOGIR"
"unlcd:AOGPO","Greater Plutonio",,"unlcdf:1",,"unlcdc:AO","-7.8333335","12.116667","AOGPO"
"unlcd:AOGXG","Negage",,"unlcdf:4",,"unlcdc:AO",,,"AOGXG"
"unlcd:AOJMB","Jamba",,"unlcdf:4",,"unlcdc:AO",,,"AOJMB"
"unlcd:AOKNP","Capanda",,"unlcdf:4",,"unlcdc:AO",,,"AOKNP"
"unlcd:AOKOT","Kuito Terminal",,"unlcdf:1",,"unlcdc:AO","-5.4333334","11.483334","AOKOT"
"unlcd:AOKTI","Kiame Terminal",,"unlcdf:1",,"unlcdc:AO",,,"AOKTI"
"unlcd:AOLAA","Landana (Cacongo)",,"unlcdf:1",,"unlcdc:AO",,,"AOLAA"
"unlcd:AOLAD","Luanda",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:AO",,,"AOLAD"
