"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AQABA","Aboa",,"unlcdf:1",,"unlcdc:AQ","-73.05","-13.416667","AQABA"
"unlcd:AQAMS","Amundsen-Scott",,"unlcdf:3",,"unlcdc:AQ","-89.98333","139.26666","AQAMS"
"unlcd:AQAPT","Arturo Prat",,"unlcdf:1",,"unlcdc:AQ","-62.5","-59.683334","AQAPT"
"unlcd:AQARC","Arctowski",,"unlcdf:1",,"unlcdc:AQ","-62.15","-58.466667","AQARC"
"unlcd:AQART","Artigas",,"unlcdf:1",,"unlcdc:AQ","-62.183334","-58.9","AQART"
"unlcd:AQBEL","Belgrano II",,"unlcdf:3",,"unlcdc:AQ","-77.86667","-34.616665","AQBEL"
"unlcd:AQBHN","Bellingshausen",,"unlcdf:1",,"unlcdc:AQ","-62.183334","-58.95","AQBHN"
"unlcd:AQCAS","Casey Station",,"unlcdf:1",,"unlcdc:AQ","-66.28333","110.51667","AQCAS"
"unlcd:AQCFZ","Comandante Ferraz",,"unlcdf:1",,"unlcdc:AQ","-62.083332","-58.383335","AQCFZ"
"unlcd:AQCON","Concordia",,"unlcdf:3",,"unlcdc:AQ","-75.1","123.38333","AQCON"
"unlcd:AQDAV","Davis Station",,"unlcdf:1",,"unlcdc:AQ","-68.566666","77.96667","AQDAV"
"unlcd:AQDDU","Dumont d'Urville Station",,"unlcdf:1",,"unlcdc:AQ","-66.65","140.0","AQDDU"
"unlcd:AQDMF","Dome Fuji",,"unlcdf:3",,"unlcdc:AQ","-77.316666","39.7","AQDMF"
"unlcd:AQDRZ","Druzhnaya 4",,"unlcdf:3",,"unlcdc:AQ","-69.73333","73.7","AQDRZ"
"unlcd:AQESC","Escudero",,"unlcdf:1",,"unlcdc:AQ","-62.2","-58.95","AQESC"
"unlcd:AQESP","Esperanza",,"unlcdf:1",,"unlcdc:AQ","-63.383335","-56.983334","AQESP"
"unlcd:AQGDC","Gabriel de Castilla",,"unlcdf:3",,"unlcdc:AQ","-62.983334","-60.683334","AQGDC"
"unlcd:AQGWL","Great Wall",,"unlcdf:1",,"unlcdc:AQ","-62.216667","-58.966667","AQGWL"
"unlcd:AQHLY","Halley",,"unlcdf:1",,"unlcdc:AQ","-75.566666","-26.533333","AQHLY"
"unlcd:AQJBS","Jang Bogo Station",,"unlcdf:1",,"unlcdc:AQ","-74.6","164.2","AQJBS"
"unlcd:AQJCP","Juan Carlos Primero",,"unlcdf:1",,"unlcdc:AQ","-62.65","-60.383335","AQJCP"
"unlcd:AQJUB","Jubany",,"unlcdf:1",,"unlcdc:AQ","-62.233334","-58.65","AQJUB"
"unlcd:AQKHN","Kohnen",,"unlcdf:1",,"unlcdc:AQ","-75.0","0.06666667","AQKHN"
"unlcd:AQKSG","King Sejong",,"unlcdf:1",,"unlcdc:AQ","-62.216667","-58.783333","AQKSG"
"unlcd:AQLAW","Law Base",,"unlcdf:1",,"unlcdc:AQ","-69.38333","76.38333","AQLAW"
"unlcd:AQMAW","Mawson Station",,"unlcdf:1",,"unlcdc:AQ","-67.6","62.866665","AQMAW"
"unlcd:AQMCM","McMurdo",,"unlcdf:1, unlcdf:4",,"unlcdc:AQ","-77.833336","166.66667","AQMCM"
"unlcd:AQMIR","Mirny",,"unlcdf:1",,"unlcdc:AQ","-66.55","93.0","AQMIR"
"unlcd:AQMRB","Marambio",,"unlcdf:1",,"unlcdc:AQ","-64.23333","-56.65","AQMRB"
"unlcd:AQMTR","Maitri",,"unlcdf:3",,"unlcdc:AQ","-70.75","11.733334","AQMTR"
"unlcd:AQMZU","Mario Zucchelli",,"unlcdf:1",,"unlcdc:AQ","-74.683334","164.11667","AQMZU"
"unlcd:AQNEU","Neumayer",,"unlcdf:3",,"unlcdc:AQ","-70.63333","-8.25","AQNEU"
"unlcd:AQNOV","Novolazarevskaya",,"unlcdf:3",,"unlcdc:AQ","-70.76667","11.85","AQNOV"
"unlcd:AQOHG","General Bernardo O'higgins",,"unlcdf:1",,"unlcdc:AQ","-63.316666","-57.9","AQOHG"
"unlcd:AQORC","Orcadas",,"unlcdf:1",,"unlcdc:AQ","-60.733334","-44.733334","AQORC"
"unlcd:AQPFS","Port Foster",,"unlcdf:1",,"unlcdc:AQ","-63.0","-60.566666","AQPFS"
"unlcd:AQPLM","Palmer",,"unlcdf:1",,"unlcdc:AQ","-64.76667","-64.05","AQPLM"
"unlcd:AQPRO","Progress",,"unlcdf:1",,"unlcdc:AQ","-69.4","76.38333","AQPRO"
"unlcd:AQROT","Rothera",,"unlcdf:1",,"unlcdc:AQ","-67.566666","-68.11667","AQROT"
"unlcd:AQSBA","Scott Base",,"unlcdf:3",,"unlcdc:AQ","-77.85","166.75","AQSBA"
"unlcd:AQSGN","Signy",,"unlcdf:1",,"unlcdc:AQ","-60.716667","-45.6","AQSGN"
"unlcd:AQSMT","San Martín","San Martin","unlcdf:1",,"unlcdc:AQ","-68.11667","-67.1","AQSMT"
"unlcd:AQSNA","SANAE IV",,"unlcdf:3",,"unlcdc:AQ","-71.666664","-2.8166666","AQSNA"
"unlcd:AQSYW","Syowa",,"unlcdf:1",,"unlcdc:AQ","-69.0","39.583332","AQSYW"
"unlcd:AQTNM","Teniente R. Marsh",,"unlcdf:4",,"unlcdc:AQ","-62.216667","-58.916668","AQTNM"
"unlcd:AQTOR","Tor",,"unlcdf:3",,"unlcdc:AQ","-71.88333","5.15","AQTOR"
"unlcd:AQTRL","Troll",,"unlcdf:3",,"unlcdc:AQ","-72.0","2.5333333","AQTRL"
"unlcd:AQVKY","Vernadsky",,"unlcdf:1",,"unlcdc:AQ","-65.23333","-64.25","AQVKY"
"unlcd:AQVOS","Vostok",,"unlcdf:3",,"unlcdc:AQ","-78.46667","106.8","AQVOS"
"unlcd:AQWSA","Wasa",,"unlcdf:1",,"unlcdc:AQ","-73.05","-13.416667","AQWSA"
"unlcd:AQZGN","Zhongshan",,"unlcdf:1",,"unlcdc:AQ","-69.36667","76.38333","AQZGN"
