"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ARABA","Abasto",,"unlcdf:3",,"unlcdc:AR","-34.966667","-58.083332","ARABA"
"unlcd:ARAC5","Acheral",,"unlcdf:3","unlcds:ART","unlcdc:AR","-27.116667","-65.45","ARAC5"
"unlcd:ARACA","Acaraguá","Acaragua","unlcdf:3","unlcds:ARN","unlcdc:AR","-27.466667","-55.116665","ARACA"
"unlcd:ARACF","Arrecifes",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:ARB","unlcdc:AR","-34.083332","-60.116665","ARACF"
"unlcd:ARACS","Acassuso",,"unlcdf:3","unlcds:ARB","unlcdc:AR","-34.483334","-58.516666","ARACS"
"unlcd:ARADC","Andacollo",,"unlcdf:3","unlcds:ARQ","unlcdc:AR","-37.183334","-70.683334","ARADC"
"unlcd:ARADS","Alderetes",,"unlcdf:3","unlcds:ART","unlcdc:AR","-26.816668","-65.13333","ARADS"
"unlcd:ARADV","Del Viso",,"unlcdf:3","unlcds:ARB","unlcdc:AR","-34.45","-58.8","ARADV"
"unlcd:ARAEA","Aldea Escolar",,"unlcdf:3","unlcds:ARU","unlcdc:AR","-43.133335","-71.55","ARAEA"
"unlcd:ARAEP","Jorge Newbury Apt/Buenos Aires",,"unlcdf:4","unlcds:ARB","unlcdc:AR",,,"ARAEP"
"unlcd:ARAFA","San Rafael",,"unlcdf:4","unlcds:ARM","unlcdc:AR",,,"ARAFA"
"unlcd:ARAGS","Aguilares",,"unlcdf:3","unlcds:ART","unlcdc:AR","-27.433332","-65.61667","ARAGS"
"unlcd:ARAIM","Aimogasta",,"unlcdf:3","unlcds:ARF","unlcdc:AR","-28.716667","-66.816666","ARAIM"
"unlcd:ARALE","Almafuerte",,"unlcdf:3","unlcds:ARX","unlcdc:AR","-32.2","-64.25","ARALE"
"unlcd:ARALI","Alberti",,"unlcdf:2, unlcdf:3","unlcds:ARB","unlcdc:AR","-35.033333","-60.283333","ARALI"
"unlcd:ARALL","Allen",,"unlcdf:2, unlcdf:3","unlcds:ARR","unlcdc:AR","-38.983334","-67.816666","ARALL"
"unlcd:ARALN","Albardón","Albardon","unlcdf:3","unlcds:ARJ","unlcdc:AR","-31.433332","-68.51667","ARALN"
"unlcd:ARALO","Añelo","Anelo","unlcdf:6","unlcds:ARQ","unlcdc:AR","-38.35","-68.78333","ARALO"
"unlcd:ARALS","Alsina",,"unlcdf:3",,"unlcdc:AR","-33.9","-59.383335","ARALS"
"unlcd:ARALZ","Alvarez",,"unlcdf:3","unlcds:ARS","unlcdc:AR","-33.116665","-60.8","ARALZ"
