"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AT4ST","Scharitz",,"unlcdf:3","unlcds:AT7","unlcdc:AT","47.383335","11.283334","AT4ST"
"unlcd:AT6KS","Badendorf",,"unlcdf:3","unlcds:AT6","unlcdc:AT","46.85","15.6","AT6KS"
"unlcd:AT6NR","Gallneukirchen",,"unlcdf:6","unlcds:AT4","unlcdc:AT","48.35","14.416667","AT6NR"
"unlcd:AT6TA","Bruckbach",,"unlcdf:3","unlcds:AT3","unlcdc:AT","48.0","14.733334","AT6TA"
"unlcd:AT7PZ","Prinzersdorf",,"unlcdf:1, unlcdf:3","unlcds:AT3","unlcdc:AT","48.2","15.516666","AT7PZ"
"unlcd:AT7ST","Schlitters",,"unlcdf:3","unlcds:AT7","unlcdc:AT","47.366665","11.833333","AT7ST"
"unlcd:AT7TA","Pettnau",,"unlcdf:3","unlcds:AT7","unlcdc:AT","47.3","11.133333","AT7TA"
"unlcd:AT8HN","Wolfsbach",,"unlcdf:3","unlcds:AT3","unlcdc:AT","48.066666","14.666667","AT8HN"
"unlcd:ATA9Z","Zaussenberg",,"unlcdf:3","unlcds:AT3","unlcdc:AT","48.433334","15.983334","ATA9Z"
"unlcd:ATABC","Abfaltersbach",,"unlcdf:3","unlcds:AT7","unlcdc:AT","46.75","12.533334","ATABC"
"unlcd:ATABG","Himberg",,"unlcdf:6",,"unlcdc:AT","48.083332","16.433332","ATABG"
"unlcd:ATABK","Aurach Bei Kitzbuhel",,"unlcdf:6","unlcds:AT7","unlcdc:AT","47.733334","-12.5","ATABK"
"unlcd:ATABM","Aschbach Markt",,"unlcdf:2, unlcdf:3","unlcds:AT3","unlcdc:AT","48.066666","14.75","ATABM"
"unlcd:ATABS","Absam",,"unlcdf:3","unlcds:AT7","unlcdc:AT","47.3","11.5","ATABS"
"unlcd:ATABT","Abtenau",,"unlcdf:3","unlcds:AT5","unlcdc:AT","47.55","13.35","ATABT"
"unlcd:ATABU","Andelsbuch",,"unlcdf:3","unlcds:AT8","unlcdc:AT","47.4","9.883333","ATABU"
"unlcd:ATACH","Aich",,"unlcdf:3","unlcds:AT2","unlcdc:AT","46.583332","14.033334","ATACH"
"unlcd:ATACK","Achenkirch",,"unlcdf:3","unlcds:AT7","unlcdc:AT","47.516666","11.7","ATACK"
