"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AU2CO","Tyabb",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-38.25","145.18333","AU2CO"
"unlcd:AU2IC","Tarneit",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.866665","144.66667","AU2IC"
"unlcd:AU2SN","Yarrawarrah",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-34.05","151.03334","AU2SN"
"unlcd:AU2TO","Wollert",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.583332","145.03334","AU2TO"
"unlcd:AU2UA","Woolooware",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-34.05","151.13333","AU2UA"
"unlcd:AU2VC","Springvale South",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.966667","145.15","AU2VC"
"unlcd:AU2WS","Brooklyn",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-33.55","151.23334","AU2WS"
"unlcd:AU32S","Seaford",,"unlcdf:3","unlcds:AUSA","unlcdc:AU","-35.183334","138.46666","AU32S"
"unlcd:AU3CI","Rythdale",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-38.133335","145.43333","AU3CI"
"unlcd:AU3CO","Upwey",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.9","145.33333","AU3CO"
"unlcd:AU3WS","Yowie Bay",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-34.05","151.1","AU3WS"
"unlcd:AU4VC","Strathewen",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.55","145.26666","AU4VC"
"unlcd:AU5CI","Selby",,"unlcdf:1, unlcdf:6","unlcds:AUVIC","unlcdc:AU","-37.916668","145.38333","AU5CI"
"unlcd:AU5CO","Wantirna",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.85","145.21666","AU5CO"
"unlcd:AU5RC","Werribee South",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.933334","144.71666","AU5RC"
"unlcd:AU5TO","Yan Yean",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.566666","145.1","AU5TO"
"unlcd:AU5WA","Pilbara",,"unlcdf:3","unlcds:AUWA","unlcdc:AU","-21.25","118.3","AU5WA"
"unlcd:AU6CO","Warrandyte",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.75","145.23334","AU6CO"
"unlcd:AU6DF","West Hoxton",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-33.916668","150.85","AU6DF"
"unlcd:AU6VC","Sunshine",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.783333","144.83333","AU6VC"
"unlcd:AU7BM","Bomen",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-35.066666","147.33333","AU7BM"
"unlcd:AU7IC","The Basin",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.85","145.31667","AU7IC"
"unlcd:AU7WW","Waverton",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-33.85","151.2","AU7WW"
"unlcd:AU8SS","Woronora",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-34.016666","151.03334","AU8SS"
"unlcd:AU8VC","Sydenham",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.7","144.76666","AU8VC"
"unlcd:AUA5T","Belgrave South",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.933334","145.33333","AUA5T"
"unlcd:AUA6L","Balcombe",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-38.25","145.01666","AUA6L"
"unlcd:AUA7A","Aura",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.933334","145.41667","AUA7A"
"unlcd:AUAAB","Arrabury",,"unlcdf:4","unlcds:AUQLD","unlcdc:AU",,,"AUAAB"
"unlcd:AUAAG","Morgan",,"unlcdf:3","unlcds:AUSA","unlcdc:AU","-34.016666","139.66667","AUAAG"
"unlcd:AUABA","Abbotsford",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-37.8","145.0","AUABA"
"unlcd:AUABC","Beulah",,"unlcdf:3","unlcds:AUVIC","unlcdc:AU","-35.933334","142.41667","AUABC"
"unlcd:AUABD","Aberdeen",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-32.166668","150.9","AUABD"
"unlcd:AUABG","Abingdon",,"unlcdf:4","unlcds:AUQLD","unlcdc:AU",,,"AUABG"
"unlcd:AUABH","Alpha",,"unlcdf:4","unlcds:AUQLD","unlcdc:AU",,,"AUABH"
"unlcd:AUABL","Amberley",,"unlcdf:4","unlcds:AUQLD","unlcdc:AU",,,"AUABL"
"unlcd:AUABM","Bamaga",,"unlcdf:4","unlcds:AUQLD","unlcdc:AU",,,"AUABM"
"unlcd:AUABN","Auburn",,"unlcdf:3","unlcds:AUSA","unlcdc:AU","-34.016666","138.68333","AUABN"
"unlcd:AUABO","Alberton",,"unlcdf:3","unlcds:AUQLD","unlcdc:AU","-27.7","153.25","AUABO"
"unlcd:AUABP","Abbot Point",,"unlcdf:1","unlcds:AUQLD","unlcdc:AU","-19.9","148.08333","AUABP"
"unlcd:AUABX","Albury",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:AUNSW","unlcdc:AU","-36.083332","146.91667","AUABX"
"unlcd:AUACA","Acacia Ridge",,"unlcdf:3","unlcds:AUQLD","unlcdc:AU","-27.583334","153.01666","AUACA"
"unlcd:AUACD","Arcadia",,"unlcdf:3","unlcds:AUNSW","unlcdc:AU","-33.616665","151.03334","AUACD"
"unlcd:AUACK","Albany Creek",,"unlcdf:6","unlcds:AUQLD","unlcdc:AU","-27.35","152.98334","AUACK"
