"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AWAUA","Aruba",,"unlcdf:1, unlcdf:4",,"unlcdc:AW","12.5","-69.96667","AWAUA"
"unlcd:AWBAR","Barcadera",,"unlcdf:1",,"unlcdc:AW","12.483334","-69.98333","AWBAR"
"unlcd:AWBUS","Bushiribana",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:AW","12.55","-69.96667","AWBUS"
"unlcd:AWDEU","Druif",,"unlcdf:1",,"unlcdc:AW",,,"AWDEU"
"unlcd:AWND9","Noord",,"unlcdf:3",,"unlcdc:AW","12.566667","-70.01667","AWND9"
"unlcd:AWORJ","Oranjestad",,"unlcdf:1, unlcdf:5",,"unlcdc:AW",,,"AWORJ"
"unlcd:AWPAB","Palm Beach",,"unlcdf:3",,"unlcdc:AW","12.566667","-70.03333","AWPAB"
"unlcd:AWPAR","Paradera",,"unlcdf:3",,"unlcdc:AW","12.533334","-70.0","AWPAR"
"unlcd:AWSCZ","Santa Cruz",,"unlcdf:3",,"unlcdc:AW","12.5","-69.98333","AWSCZ"
"unlcd:AWSNL","Sint Nicolaas",,"unlcdf:1",,"unlcdc:AW",,,"AWSNL"
