"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:AZABN","Agcabadi",,"unlcdf:3","unlcds:AZAGC","unlcdc:AZ","40.05","47.45","AZABN"
"unlcd:AZAGS","Agstafa",,"unlcdf:3","unlcds:AZAGA","unlcdc:AZ","41.116665","45.45","AZAGS"
"unlcd:AZALA","Alat",,"unlcdf:1, unlcdf:3","unlcds:AZBA","unlcdc:AZ","39.95","49.4","AZALA"
"unlcd:AZAST","Astara",,"unlcdf:6",,"unlcdc:AZ","38.45","48.866665","AZAST"
"unlcd:AZBAK","Baku",,"unlcdf:1, unlcdf:2, unlcdf:4, unlcdf:5",,"unlcdc:AZ",,,"AZBAK"
"unlcd:AZDAM","Dalimammadli",,"unlcdf:3","unlcds:AZGOR","unlcdc:AZ","40.683334","46.566666","AZDAM"
"unlcd:AZDJU","Djulfa",,"unlcdf:2",,"unlcdc:AZ",,,"AZDJU"
"unlcd:AZGAN","Ganja",,"unlcdf:6",,"unlcdc:AZ","40.666668","46.35","AZGAN"
"unlcd:AZGYD","Heydar Aliyev International Apt.",,"unlcdf:4","unlcds:AZBA","unlcdc:AZ","40.466667","50.033333","AZGYD"
"unlcd:AZIMI","Imisli",,"unlcdf:3",,"unlcdc:AZ","39.866665","48.05","AZIMI"
"unlcd:AZKAZ","Qazax",,"unlcdf:2, unlcdf:3","unlcds:AZQAZ","unlcdc:AZ","41.1","45.35","AZKAZ"
"unlcd:AZKBD","Kirovabad",,"unlcdf:2, unlcdf:3","unlcds:AZGA","unlcdc:AZ",,,"AZKBD"
"unlcd:AZKHA","Khanlar",,"unlcdf:3",,"unlcdc:AZ","40.333332","49.816666","AZKHA"
"unlcd:AZKMZ","Khachmaz",,"unlcdf:1, unlcdf:6","unlcds:AZXAC","unlcdc:AZ","41.983334","47.583332","AZKMZ"
"unlcd:AZKVD","Gyandzha",,"unlcdf:4",,"unlcdc:AZ",,,"AZKVD"
"unlcd:AZLAN","Lankaran",,"unlcdf:3",,"unlcdc:AZ","38.75","48.85","AZLAN"
"unlcd:AZMGC","Mingechaur",,"unlcdf:3",,"unlcdc:AZ","40.75","47.05","AZMGC"
"unlcd:AZNAJ","Naxcivan",,"unlcdf:3, unlcdf:6","unlcds:AZNX","unlcdc:AZ","39.2","45.233334","AZNAJ"
"unlcd:AZQDG","Qaradag",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:AZ","40.25","49.6","AZQDG"
"unlcd:AZQUB","Quba",,"unlcdf:6",,"unlcdc:AZ","40.166668","48.416668","AZQUB"
"unlcd:AZQUS","Qusqara",,"unlcdf:3","unlcds:AZGA","unlcdc:AZ","40.716667","46.283333","AZQUS"
"unlcd:AZSAM","Samaxi",,"unlcdf:3","unlcds:AZSMI","unlcdc:AZ","40.616665","48.633335","AZSAM"
"unlcd:AZSAN","Sangachal",,"unlcdf:2, unlcdf:3","unlcds:AZBA","unlcdc:AZ","40.2","49.483334","AZSAN"
"unlcd:AZSHI","Shirvan",,"unlcdf:1, unlcdf:3","unlcds:AZAGU","unlcdc:AZ","39.916668","48.916668","AZSHI"
"unlcd:AZSUM","Sumgait",,"unlcdf:3",,"unlcdc:AZ","40.583332","49.633335","AZSUM"
"unlcd:AZSUQ","Sumqayit",,"unlcdf:1, unlcdf:3","unlcds:AZSM","unlcdc:AZ","40.583332","49.666668","AZSUQ"
"unlcd:AZSY9","Siyazan",,"unlcdf:2, unlcdf:3","unlcds:AZSIY","unlcdc:AZ","41.066666","49.1","AZSY9"
"unlcd:AZTOV","Tovuz",,"unlcdf:3","unlcds:AZTOV","unlcdc:AZ","40.983334","45.616665","AZTOV"
"unlcd:AZXIR","Xirdalan",,"unlcdf:3","unlcds:AZABS","unlcdc:AZ","40.25","49.75","AZXIR"
"unlcd:AZYAL","Yalama",,"unlcdf:2, unlcdf:3",,"unlcdc:AZ","41.75","48.566666","AZYAL"
"unlcd:AZZAQ","Zaqatala",,"unlcdf:3",,"unlcdc:AZ","41.633335","46.633335","AZZAQ"
