"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BA4CA","Cazin",,"unlcdf:1, unlcdf:3","unlcds:BABIH","unlcdc:BA","44.966667","15.933333","BA4CA"
"unlcd:BABAA","Busovaca",,"unlcdf:3","unlcds:BA06","unlcdc:BA","44.083332","17.866667","BABAA"
"unlcd:BABBR","Bosanski Brod (Srpski Brod)",,"unlcdf:2, unlcdf:3","unlcds:BASRP","unlcdc:BA","45.133335","17.983334","BABBR"
"unlcd:BABER","Berkovici",,"unlcdf:3","unlcds:BASRP","unlcdc:BA","43.083332","18.166666","BABER"
"unlcd:BABGV","Gornji Vakuf-Uskoplje",,"unlcdf:3","unlcds:BA06","unlcdc:BA","43.933334","17.583334","BABGV"
"unlcd:BABHC","Bihac",,"unlcdf:3","unlcds:BABIH","unlcdc:BA","44.816666","15.866667","BABHC"
"unlcd:BABIR","Biracevac",,"unlcdf:1, unlcdf:3",,"unlcdc:BA",,,"BABIR"
"unlcd:BABJA","Bijeljina",,"unlcdf:2, unlcdf:3","unlcds:BASRP","unlcdc:BA","44.75","19.2","BABJA"
"unlcd:BABKO","Brcko",,"unlcdf:2, unlcdf:3","unlcds:BASRP","unlcdc:BA","44.866665","18.8","BABKO"
"unlcd:BABKR","Bosanska Krupa",,"unlcdf:2, unlcdf:3",,"unlcdc:BA","44.883335","16.15","BABKR"
"unlcd:BABNX","Banja Luka",,"unlcdf:3, unlcdf:4","unlcds:BASRP","unlcdc:BA","44.766666","17.183332","BABNX"
"unlcd:BABPE","Bosanski Petrovac",,"unlcdf:3","unlcds:BABIH","unlcdc:BA","44.55","16.366667","BABPE"
"unlcd:BABUD","Budinscina",,"unlcdf:3",,"unlcdc:BA","46.116665","16.2","BABUD"
"unlcd:BABUG","Bugojno",,"unlcdf:2, unlcdf:3",,"unlcdc:BA","44.05","17.433332","BABUG"
"unlcd:BABZJ","Blazuj, Sarajevo",,"unlcdf:3","unlcds:BABIH","unlcdc:BA","43.833332","18.25","BABZJ"
