"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BBBGI","Bridgetown",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:BB",,,"BBBGI"
"unlcd:BBCCH","Christ Church",,"unlcdf:3","unlcds:BB01","unlcdc:BB","13.083333","-59.533333","BBCCH"
"unlcd:BBG5B","Brighton",,"unlcdf:3","unlcds:BB10","unlcdc:BB","13.116667","-59.516666","BBG5B"
"unlcd:BBH9G","Edge Hill",,"unlcdf:3","unlcds:BB08","unlcdc:BB","13.15","-59.6","BBH9G"
"unlcd:BBHLT","Holetown",,"unlcdf:3","unlcds:BB04","unlcdc:BB","13.183333","-59.633335","BBHLT"
"unlcd:BBJCK","Jackson",,"unlcdf:6","unlcds:BB08","unlcdc:BB","13.15","-59.6","BBJCK"
"unlcd:BBNES","Nesfield",,"unlcdf:3","unlcds:BB07","unlcdc:BB","13.283334","-59.616665","BBNES"
"unlcd:BBOST","Oistins",,"unlcdf:3",,"unlcdc:BB","13.066667","-59.533333","BBOST"
"unlcd:BBSAP","Saint Philip",,"unlcdf:6","unlcds:BB10","unlcdc:BB",,,"BBSAP"
"unlcd:BBSLC","Sam Lords Castle",,"unlcdf:3",,"unlcdc:BB","13.116667","-59.433334","BBSLC"
"unlcd:BBSPR","Saint Peter",,"unlcdf:2, unlcdf:3","unlcds:BB09","unlcdc:BB","13.25","-59.616665","BBSPR"
"unlcd:BBSPT","Speightstown",,"unlcdf:3",,"unlcdc:BB","13.25","-59.65","BBSPT"
"unlcd:BBSTM","Saint Michael",,"unlcdf:1, unlcdf:6","unlcds:BB08","unlcdc:BB","13.116667","-59.6","BBSTM"
