"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BE2HW","Marche-lez-Écaussinnes","Marche-lez-Ecaussinnes","unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.55","4.1833334","BE2HW"
"unlcd:BE7PD","Athis",,"unlcdf:1, unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.366665","3.7666667","BE7PD"
"unlcd:BE9IR","Eben-Emael",,"unlcdf:1, unlcdf:3","unlcds:BEWLG","unlcdc:BE","50.8","5.6666665","BE9IR"
"unlcd:BEAAB","Aalst",,"unlcdf:1, unlcdf:3","unlcds:BEVOV","unlcdc:BE","50.933334","4.0333333","BEAAB"
"unlcd:BEAAL","Aalter",,"unlcdf:1, unlcdf:3","unlcds:BEVOV","unlcdc:BE","51.083332","3.45","BEAAL"
"unlcd:BEAAR","Aartselaar",,"unlcdf:3","unlcds:BEVAN","unlcdc:BE","51.133335","4.383333","BEAAR"
"unlcd:BEAAS","Aarschot",,"unlcdf:3","unlcds:BEVBR","unlcdc:BE","50.983334","4.8333335","BEAAS"
"unlcd:BEAAT","Athus",,"unlcdf:2, unlcdf:3","unlcds:BEWLX","unlcdc:BE","49.566666","5.8333335","BEAAT"
"unlcd:BEABC","Bernissart",,"unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.466667","3.6333332","BEABC"
"unlcd:BEABE","Arbre",,"unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.6","3.8166666","BEABE"
"unlcd:BEABK","Albertkanaal ports",,"unlcdf:1",,"unlcdc:BE",,,"BEABK"
"unlcd:BEABO","Averbode",,"unlcdf:3","unlcds:BEVBR","unlcdc:BE","51.033333","4.9833336","BEABO"
"unlcd:BEABR","Assebroek",,"unlcdf:3","unlcds:BEVWV","unlcdc:BE","51.2","3.2666667","BEABR"
"unlcd:BEABY","Ambly",,"unlcdf:3","unlcds:BEWLX","unlcdc:BE","50.15","5.3166666","BEABY"
"unlcd:BEACE","Achet",,"unlcdf:3","unlcds:BEWNA","unlcdc:BE","50.333332","5.1833334","BEACE"
"unlcd:BEACH","Achouffe",,"unlcdf:3","unlcds:BEWLX","unlcdc:BE","50.15","5.75","BEACH"
"unlcd:BEACS","Archennes",,"unlcdf:2, unlcdf:3","unlcds:BEWBR","unlcdc:BE","50.75","4.6666665","BEACS"
"unlcd:BEADI","Audregnies",,"unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.383335","3.7166667","BEADI"
"unlcd:BEADK","Adinkerke",,"unlcdf:1, unlcdf:3","unlcds:BEVWV","unlcdc:BE","51.066666","2.6","BEADK"
"unlcd:BEADO","Ardooie",,"unlcdf:3","unlcds:BEVWV","unlcdc:BE","50.983334","3.2","BEADO"
"unlcd:BEADU","Anderlues",,"unlcdf:3","unlcds:BEWHT","unlcdc:BE","50.4","4.266667","BEADU"
"unlcd:BEAEJ","Arendonk",,"unlcdf:1, unlcdf:3","unlcds:BEVAN","unlcdc:BE","51.316666","5.0833335","BEAEJ"
"unlcd:BEAEL","Alleur",,"unlcdf:3","unlcds:BEWLG","unlcdc:BE","50.683334","5.5","BEAEL"
"unlcd:BEAES","Asse",,"unlcdf:3","unlcds:BEVBR","unlcdc:BE","50.916668","4.2","BEAES"
"unlcd:BEAFF","Affligem",,"unlcdf:3","unlcds:BEVBR","unlcdc:BE","50.883335","4.0833335","BEAFF"
"unlcd:BEAFN","Afsnee",,"unlcdf:1, unlcdf:3","unlcds:BEVOV","unlcdc:BE","51.033333","3.6666667","BEAFN"
"unlcd:BEAGE","Adegem",,"unlcdf:3","unlcds:BEVOV","unlcdc:BE","51.2","3.4833333","BEAGE"
"unlcd:BEAGI","Agimont",,"unlcdf:3","unlcds:BEWNA","unlcdc:BE","50.166668","4.8","BEAGI"
"unlcd:BEAGT","Argenteau",,"unlcdf:1, unlcdf:3","unlcds:BEWLG","unlcdc:BE","50.7","5.7","BEAGT"
"unlcd:BEAHE","Antheit",,"unlcdf:1, unlcdf:3","unlcds:BEWLG","unlcdc:BE","50.55","5.2166667","BEAHE"
"unlcd:BEAHL","Achel",,"unlcdf:2, unlcdf:3","unlcds:BEVLI","unlcdc:BE","51.25","5.483333","BEAHL"
"unlcd:BEAHO","Attenhoven",,"unlcdf:3","unlcds:BEVBR","unlcdc:BE","50.766666","5.1","BEAHO"
"unlcd:BEAIE","Zoutenaaie",,"unlcdf:3","unlcds:BEVWV","unlcdc:BE","51.05","2.75","BEAIE"
"unlcd:BEAIS","Anthisnes",,"unlcdf:3","unlcds:BEWLG","unlcdc:BE","50.483334","5.5166664","BEAIS"
"unlcd:BEAKN","Alken",,"unlcdf:3","unlcds:BEVLI","unlcdc:BE","50.866665","5.3","BEAKN"
"unlcd:BEALB","Aalbeke",,"unlcdf:6","unlcds:BEVWV","unlcdc:BE","50.766666","3.2166667","BEALB"
"unlcd:BEALI","Anlier",,"unlcdf:3","unlcds:BEWLX","unlcdc:BE","49.783333","5.616667","BEALI"
