"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BFABD","Aribinda",,"unlcdf:4",,"unlcdc:BF",,,"BFABD"
"unlcd:BFARL","Arly",,"unlcdf:4",,"unlcdc:BF",,,"BFARL"
"unlcd:BFBER","Bérégadougou","Beregadougou","unlcdf:2, unlcdf:3",,"unlcdc:BF","10.766666","-4.75","BFBER"
"unlcd:BFBNR","Banfora",,"unlcdf:4",,"unlcdc:BF",,,"BFBNR"
"unlcd:BFBOG","Bogandé","Bogande","unlcdf:4",,"unlcdc:BF","12.983334","-0.13333334","BFBOG"
"unlcd:BFBOU","Boulsa",,"unlcdf:4",,"unlcdc:BF",,,"BFBOU"
"unlcd:BFBOY","Bobo-Dioulasso",,"unlcdf:4","unlcds:BFHOU","unlcdc:BF","11.2","-4.3","BFBOY"
"unlcd:BFBRO","Boromo",,"unlcdf:3","unlcds:BFBAL","unlcdc:BF","11.75","-2.9333334","BFBRO"
"unlcd:BFBUS","Bousse",,"unlcdf:3","unlcds:BFOUB","unlcdc:BF","12.65","-1.8833333","BFBUS"
"unlcd:BFDBG","Diébougou","Diebougou","unlcdf:4",,"unlcdc:BF","10.966666","-3.25","BFDBG"
"unlcd:BFDGU","Dédougou","Dedougou","unlcdf:4",,"unlcdc:BF","12.466666","-3.4666667","BFDGU"
"unlcd:BFDIP","Diapaga",,"unlcdf:4",,"unlcdc:BF",,,"BFDIP"
"unlcd:BFDJI","Djibo",,"unlcdf:4",,"unlcdc:BF",,,"BFDJI"
"unlcd:BFDOR","Dori",,"unlcdf:4",,"unlcdc:BF",,,"BFDOR"
"unlcd:BFFNG","Fada-Ngourma",,"unlcdf:4",,"unlcdc:BF","12.066667","0.35","BFFNG"
"unlcd:BFGAO","Gaoua",,"unlcdf:4",,"unlcdc:BF",,,"BFGAO"
"unlcd:BFGOG","Gorom-Gorom",,"unlcdf:4",,"unlcdc:BF",,,"BFGOG"
"unlcd:BFHOU","Houndé","Hounde","unlcdf:3","unlcds:BFTUI","unlcdc:BF","11.5","-3.5166667","BFHOU"
"unlcd:BFKAN","Kantchari",,"unlcdf:4",,"unlcdc:BF",,,"BFKAN"
"unlcd:BFKAY","Kaya",,"unlcdf:4",,"unlcdc:BF",,,"BFKAY"
"unlcd:BFKOR","Kourouma",,"unlcdf:3",,"unlcdc:BF","11.616667","-4.8","BFKOR"
"unlcd:BFKOS","Kossodo",,"unlcdf:3",,"unlcdc:BF","12.416667","-1.4666667","BFKOS"
"unlcd:BFKOU","Koudougou",,"unlcdf:2, unlcdf:3",,"unlcdc:BF","12.233334","-2.3666668","BFKOU"
"unlcd:BFLEO","Léo","Leo","unlcdf:4",,"unlcdc:BF","11.1","-2.1","BFLEO"
"unlcd:BFLIG","Yaramoko",,"unlcdf:3","unlcds:BFMOU","unlcdc:BF","11.8","-3.2833333","BFLIG"
"unlcd:BFMAN","Mana",,"unlcdf:3","unlcds:BFBAL","unlcdc:BF","11.866667","-3.3666668","BFMAN"
"unlcd:BFNAT","Natougou",,"unlcdf:3","unlcds:BFTAP","unlcdc:BF","12.616667","1.6833334","BFNAT"
"unlcd:BFNOU","Nouna",,"unlcdf:4",,"unlcdc:BF",,,"BFNOU"
"unlcd:BFOB2","Ziniaré","Ziniare","unlcdf:1, unlcdf:3","unlcds:BFOUB","unlcdc:BF","12.583333","-1.3","BFOB2"
"unlcd:BFORO","Orodara",,"unlcdf:3","unlcds:BFKEN","unlcdc:BF","10.983334","-4.9166665","BFORO"
"unlcd:BFOUA","Ouagadougou",,"unlcdf:4, unlcdf:5",,"unlcdc:BF",,,"BFOUA"
"unlcd:BFOUG","Ouahigouya",,"unlcdf:4",,"unlcdc:BF",,,"BFOUG"
"unlcd:BFPAM","Pama",,"unlcdf:4",,"unlcdc:BF",,,"BFPAM"
"unlcd:BFPEN","Péni","Peni","unlcdf:3","unlcds:BFHOU","unlcdc:BF","10.95","-4.483333","BFPEN"
"unlcd:BFPOU","Poura",,"unlcdf:3",,"unlcdc:BF","10.65","-3.0833333","BFPOU"
"unlcd:BFPUP","Po",,"unlcdf:4",,"unlcdc:BF",,,"BFPUP"
"unlcd:BFSAP","Saponé","Sapone","unlcdf:3","unlcds:BFBAZ","unlcdc:BF","12.1","-1.55","BFSAP"
"unlcd:BFSEB","Sebba",,"unlcdf:4",,"unlcdc:BF",,,"BFSEB"
"unlcd:BFTEG","Tenkodogo",,"unlcdf:4",,"unlcdc:BF",,,"BFTEG"
"unlcd:BFTEM","Tema",,"unlcdf:3","unlcds:BFPAS","unlcdc:BF","13.083333","-1.7833333","BFTEM"
"unlcd:BFTMQ","Tambao",,"unlcdf:4",,"unlcdc:BF",,,"BFTMQ"
"unlcd:BFTUQ","Tougan",,"unlcdf:4",,"unlcdc:BF",,,"BFTUQ"
"unlcd:BFWON","Wona (Ouona)",,"unlcdf:3","unlcds:BFTUI","unlcdc:BF","11.966666","-3.4166667","BFWON"
"unlcd:BFYKP","Yako",,"unlcdf:3","unlcds:BFPAS","unlcdc:BF","12.966666","-2.2666667","BFYKP"
"unlcd:BFZAB","Zabré","Zabre","unlcdf:4",,"unlcdc:BF","11.166667","-0.6333333","BFZAB"
"unlcd:BFZIG","Ziga",,"unlcdf:3",,"unlcdc:BF","12.616667","-0.81666666","BFZIG"
