"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BG4IG","Ignatievo",,"unlcdf:1, unlcdf:3","unlcds:BG03","unlcdc:BG","43.25","27.766666","BG4IG"
"unlcd:BGAIO","Aitos",,"unlcdf:6","unlcds:BG02","unlcdc:BG","42.716667","27.25","BGAIO"
"unlcd:BGAKH","Akhtopol",,"unlcdf:1",,"unlcdc:BG","42.1","27.95","BGAKH"
"unlcd:BGAND","Asenovgrad",,"unlcdf:3",,"unlcdc:BG",,,"BGAND"
"unlcd:BGAPI","Apriltsi",,"unlcdf:3",,"unlcdc:BG","42.316666","24.283333","BGAPI"
"unlcd:BGARD","Ardino",,"unlcdf:3","unlcds:BG21","unlcdc:BG","41.583332","25.133333","BGARD"
"unlcd:BGASA","Aksakovo",,"unlcdf:3","unlcds:BG03","unlcdc:BG","43.25","27.816668","BGASA"
"unlcd:BGATL","Altimir",,"unlcdf:3","unlcds:BG06","unlcdc:BG","43.533333","23.816668","BGATL"
"unlcd:BGAYT","Aytos",,"unlcdf:3","unlcds:BG02","unlcdc:BG","42.7","27.25","BGAYT"
"unlcd:BGBAK","Bankya",,"unlcdf:6","unlcds:BG23","unlcdc:BG","42.7","23.133333","BGBAK"
"unlcd:BGBAL","Balchik",,"unlcdf:1",,"unlcdc:BG","43.416668","28.166666","BGBAL"
"unlcd:BGBAN","Bankya",,"unlcdf:6","unlcds:BG14","unlcdc:BG","42.85","22.666666","BGBAN"
"unlcd:BGBAO","Bansko",,"unlcdf:2, unlcdf:3","unlcds:BG23","unlcdc:BG","41.833332","23.5","BGBAO"
"unlcd:BGBAT","Batak",,"unlcdf:6","unlcds:BG13","unlcdc:BG","41.95","24.216667","BGBAT"
"unlcd:BGBBA","Bata",,"unlcdf:6","unlcds:BG02","unlcdc:BG","42.733334","27.5","BGBBA"
"unlcd:BGBBK","Belogradchik",,"unlcdf:3","unlcds:BG05","unlcdc:BG","43.616665","22.683332","BGBBK"
"unlcd:BGBCP","Chomakovtsi",,"unlcdf:3","unlcds:BG15","unlcdc:BG","43.316666","24.066668","BGBCP"
"unlcd:BGBDB","Bulgarevo",,"unlcdf:3","unlcds:BG08","unlcdc:BG","43.4","28.416666","BGBDB"
"unlcd:BGBDK","Belogradchik",,"unlcdf:3","unlcds:BG05","unlcdc:BG","43.616665","22.683332","BGBDK"
"unlcd:BGBEL","Belitsa",,"unlcdf:3",,"unlcdc:BG","41.95","23.55","BGBEL"
"unlcd:BGBEN","Benkovski",,"unlcdf:3","unlcds:BG16","unlcdc:BG","42.216667","24.65","BGBEN"
"unlcd:BGBEV","Beloslav",,"unlcdf:3","unlcds:BG03","unlcdc:BG","43.183334","27.7","BGBEV"
"unlcd:BGBKR","Karabunar",,"unlcdf:3","unlcds:BG13","unlcdc:BG","42.266666","24.166666","BGBKR"
"unlcd:BGBLE","Belene",,"unlcdf:6","unlcds:BG15","unlcdc:BG","43.65","25.116667","BGBLE"
"unlcd:BGBLN","Blagoevgrad",,"unlcdf:3",,"unlcdc:BG","42.016666","23.1","BGBLN"
"unlcd:BGBLO","Lyuliakovo",,"unlcdf:6","unlcds:BG02","unlcdc:BG","43.383335","27.016666","BGBLO"
"unlcd:BGBOJ","Burgas",,"unlcdf:1",,"unlcdc:BG",,,"BGBOJ"
"unlcd:BGBOZ","Bozhurishte",,"unlcdf:3","unlcds:BG22","unlcdc:BG","42.75","23.2","BGBOZ"
"unlcd:BGBPK","Belovo",,"unlcdf:3","unlcds:BG13","unlcdc:BG","42.216667","24.016666","BGBPK"
"unlcd:BGBRE","Bregovo",,"unlcdf:3",,"unlcdc:BG",,,"BGBRE"
"unlcd:BGBRF","Botevgrad",,"unlcdf:3",,"unlcdc:BG",,,"BGBRF"
"unlcd:BGBRK","Berkovitza",,"unlcdf:2, unlcdf:3",,"unlcdc:BG",,,"BGBRK"
"unlcd:BGBRS","Brestak",,"unlcdf:3","unlcds:BG03","unlcdc:BG","43.45","27.533333","BGBRS"
"unlcd:BGBRV","Borovo",,"unlcdf:3",,"unlcdc:BG","43.5","25.8","BGBRV"
"unlcd:BGBRZ","Breznik",,"unlcdf:3","unlcds:BG02","unlcdc:BG",,,"BGBRZ"
"unlcd:BGBSL","Byala Slatina",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:BG","43.466667","23.95","BGBSL"
"unlcd:BGBTE","Banite",,"unlcdf:3","unlcds:BG21","unlcdc:BG","41.616665","25.016666","BGBTE"
"unlcd:BGBTV","Brestovets",,"unlcdf:3",,"unlcdc:BG","43.35","24.6","BGBTV"
"unlcd:BGBUR","Zavet",,"unlcdf:3","unlcds:BG02","unlcdc:BG","42.833332","27.066668","BGBUR"
"unlcd:BGBUZ","Buzovgrad",,"unlcdf:3","unlcds:BG24","unlcdc:BG","42.566666","25.366667","BGBUZ"
"unlcd:BGBVO","Banevo",,"unlcdf:3","unlcds:BG02","unlcdc:BG","42.633335","27.4","BGBVO"
"unlcd:BGBYA","Byala",,"unlcdf:3","unlcds:BG18","unlcdc:BG","43.45","25.733334","BGBYA"
"unlcd:BGBYK","Belyakovets",,"unlcdf:3","unlcds:BG04","unlcdc:BG","43.1","25.583334","BGBYK"
"unlcd:BGBYL","Byala",,"unlcdf:3","unlcds:BG03","unlcdc:BG",,,"BGBYL"
"unlcd:BGCHE","Chepintsi",,"unlcdf:2, unlcdf:3",,"unlcdc:BG","42.766666","23.433332","BGCHE"
"unlcd:BGCHL","Chelopechene",,"unlcdf:3","unlcds:BG08","unlcdc:BG","43.55","28.316668","BGCHL"
"unlcd:BGCHR","Chakalarevo",,"unlcdf:3",,"unlcdc:BG","41.283333","25.283333","BGCHR"
"unlcd:BGCHU","Churukovo",,"unlcdf:3","unlcds:BG21","unlcdc:BG","41.85","24.433332","BGCHU"
"unlcd:BGCHV","Cherven Bryag",,"unlcdf:3","unlcds:BG15","unlcdc:BG","43.266666","24.066668","BGCHV"
"unlcd:BGCPA","Chepelare",,"unlcdf:3",,"unlcdc:BG",,,"BGCPA"
