"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BHAAL","A'ali",,"unlcdf:3","unlcds:BH15","unlcdc:BH","26.15","50.516666","BHAAL"
"unlcd:BHADA","Adliya",,"unlcdf:6",,"unlcdc:BH","26.216667","50.583332","BHADA"
"unlcd:BHAHD","Al Hidd",,"unlcdf:1, unlcdf:3, unlcdf:6, unlcdf:7","unlcds:BH15","unlcdc:BH","26.233334","50.65","BHAHD"
"unlcd:BHALA","Al Hajar",,"unlcdf:6",,"unlcdc:BH","26.2","50.5","BHALA"
"unlcd:BHAMA","Al Ma'amir",,"unlcdf:6",,"unlcdc:BH","26.133333","50.6","BHAMA"
"unlcd:BHAMH","Al Manamah",,"unlcdf:3, unlcdf:6","unlcds:BH13","unlcdc:BH","26.233334","50.566666","BHAMH"
"unlcd:BHBAH","Bahrain International Airport",,"unlcdf:4, unlcdf:5","unlcds:BH15","unlcdc:BH","26.266666","50.633335","BHBAH"
"unlcd:BHGBQ","Al Muharraq",,"unlcdf:1","unlcds:BH15","unlcdc:BH","26.25","50.6","BHGBQ"
"unlcd:BHISA","ISA Air Base",,"unlcdf:4","unlcds:BH14","unlcdc:BH","25.916666","50.583332","BHISA"
"unlcd:BHJAL","Jidd 'Ali",,"unlcdf:6",,"unlcdc:BH","26.166666","50.55","BHJAL"
"unlcd:BHJDF","Jidhafs",,"unlcdf:3","unlcds:BH17","unlcdc:BH","26.216667","20.533333","BHJDF"
"unlcd:BHKBS","Khalifa Bin Salman Port",,"unlcdf:1","unlcds:BH15","unlcdc:BH","26.2","50.616665","BHKBS"
"unlcd:BHKFC","King Fahed Causeway",,"unlcdf:B","unlcds:BH17","unlcdc:BH","26.183332","50.316666","BHKFC"
"unlcd:BHMIN","Mina Sulman Port",,"unlcdf:1","unlcds:BH13","unlcdc:BH","26.2","50.616665","BHMIN"
"unlcd:BHMTH","Madinat Hamad",,"unlcdf:6",,"unlcdc:BH","26.1","50.5","BHMTH"
"unlcd:BHQAL","Qalali",,"unlcdf:6","unlcds:BH15","unlcdc:BH","26.266666","50.483334","BHQAL"
"unlcd:BHRAJ","Ras Abu Jarjur",,"unlcdf:3","unlcds:BH14","unlcdc:BH","26.066668","50.616665","BHRAJ"
"unlcd:BHRIF","Riffa",,"unlcdf:3","unlcds:BH15","unlcdc:BH","26.116667","50.55","BHRIF"
"unlcd:BHSAN","Sanad",,"unlcdf:6","unlcds:BH15","unlcdc:BH","26.15","50.566666","BHSAN"
"unlcd:BHSIT","Sitrah",,"unlcdf:1","unlcds:BH16","unlcdc:BH","26.133333","50.616665","BHSIT"
"unlcd:BHTOW","Hamad Town",,"unlcdf:6",,"unlcdc:BH","26.1","50.5","BHTOW"
"unlcd:BHTUB","Tubli",,"unlcdf:6",,"unlcdc:BH","26.183332","50.533333","BHTUB"
"unlcd:BHUAH","Umm al Hassam",,"unlcdf:6",,"unlcdc:BH","26.2","50.583332","BHUAH"
