"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BIBBZ","Bubanza",,"unlcdf:3","unlcds:BIBB","unlcdc:BI","-3.0833333","29.383333","BIBBZ"
"unlcd:BIBJM","Bujumbura",,"unlcdf:4, unlcdf:5",,"unlcdc:BI",,,"BIBJM"
"unlcd:BIBRR","Bururi",,"unlcdf:3","unlcds:BIBR","unlcdc:BI","-3.95","29.616667","BIBRR"
"unlcd:BICBK","Cibitoke",,"unlcdf:1, unlcdf:3","unlcds:BIBM","unlcdc:BI","-3.3333333","29.366667","BICBK"
"unlcd:BICKZ","Cankuzo",,"unlcdf:3","unlcds:BICA","unlcdc:BI","-3.2166667","30.55","BICKZ"
"unlcd:BIGID","Gitega",,"unlcdf:4",,"unlcdc:BI",,,"BIGID"
"unlcd:BIKKB","Karuzi",,"unlcdf:3","unlcds:BIKR","unlcdc:BI","-3.1","30.15","BIKKB"
"unlcd:BIKRE","Kirundo",,"unlcdf:4",,"unlcdc:BI",,,"BIKRE"
"unlcd:BIKYZ","Kayanza",,"unlcdf:3","unlcds:BIKY","unlcdc:BI","-2.9166667","29.616667","BIKYZ"
"unlcd:BIMMB","Makamba",,"unlcdf:3","unlcds:BIMA","unlcdc:BI","-4.133333","29.8","BIMMB"
"unlcd:BIMUR","Muramvya",,"unlcdf:3","unlcds:BIMU","unlcdc:BI","-3.2666667","29.616667","BIMUR"
"unlcd:BIMWM","Mwaro",,"unlcdf:3","unlcds:BIMU","unlcdc:BI","-3.5166667","29.7","BIMWM"
"unlcd:BIMYG","Muyinga",,"unlcdf:3","unlcds:BIMY","unlcdc:BI","-2.8333333","30.333334","BIMYG"
"unlcd:BINGZ","Ngozi",,"unlcdf:3","unlcds:BING","unlcdc:BI","-2.9","29.816668","BINGZ"
"unlcd:BIRUM","Rumonge",,"unlcdf:3","unlcds:BIRM","unlcdc:BI","-3.9666667","29.433332","BIRUM"
"unlcd:BIRUT","Rutana",,"unlcdf:3","unlcds:BIRT","unlcdc:BI","-3.9166667","30.0","BIRUT"
"unlcd:BIRUY","Ruyigi",,"unlcdf:3","unlcds:BIRY","unlcdc:BI","-3.4666667","30.233334","BIRUY"
