"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BJAGT","Agbanta",,"unlcdf:3",,"unlcdc:BJ","6.616667","2.45","BJAGT"
"unlcd:BJAMV","Abomey-Calavi",,"unlcdf:3","unlcds:BJAQ","unlcdc:BJ","6.45","2.35","BJAMV"
"unlcd:BJBOH","Bohicon",,"unlcdf:2, unlcdf:3",,"unlcdc:BJ","7.2","2.0666666","BJBOH"
"unlcd:BJCOO","Cotonou",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:BJ",,,"BJCOO"
"unlcd:BJDA3","Ndali",,"unlcdf:3","unlcds:BJBO","unlcdc:BJ","9.85","2.7166667","BJDA3"
"unlcd:BJDDJ","Djidja",,"unlcdf:3","unlcds:BJZO","unlcdc:BJ","7.3333335","1.9333334","BJDDJ"
"unlcd:BJDJA","Djougou",,"unlcdf:4",,"unlcdc:BJ",,,"BJDJA"
"unlcd:BJGLA","Glazoué","Glazoue","unlcdf:2, unlcdf:3",,"unlcdc:BJ","7.9666667","2.3","BJGLA"
"unlcd:BJKDC","Kandi",,"unlcdf:4",,"unlcdc:BJ",,,"BJKDC"
"unlcd:BJLKS","Lokossa",,"unlcdf:3","unlcds:BJMO","unlcdc:BJ","6.633333","1.7166667","BJLKS"
"unlcd:BJNAE","Natitingou",,"unlcdf:4",,"unlcdc:BJ",,,"BJNAE"
"unlcd:BJOIH","Ouidah",,"unlcdf:3","unlcds:BJAQ","unlcdc:BJ","6.366667","2.0833333","BJOIH"
"unlcd:BJPKO","Parakou",,"unlcdf:4",,"unlcdc:BJ",,,"BJPKO"
"unlcd:BJPTN","Porto-Novo",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:BJOU","unlcdc:BJ","6.483333","2.6166668","BJPTN"
"unlcd:BJSEM","Seme Terminal",,"unlcdf:1",,"unlcdc:BJ",,,"BJSEM"
"unlcd:BJSVF","Savé","Save","unlcdf:4",,"unlcdc:BJ","8.033334","2.4833333","BJSVF"
"unlcd:BJTAN","Tanguiéta","Tanguieta","unlcdf:3",,"unlcdc:BJ","10.616667","1.2666667","BJTAN"
