"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BM5PE","Pembroke",,"unlcdf:3",,"unlcdc:BM","32.3","-64.76667","BM5PE"
"unlcd:BMBDA","Hamilton",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:BM",,,"BMBDA"
"unlcd:BMFPT","Freeport",,"unlcdf:1",,"unlcdc:BM",,,"BMFPT"
"unlcd:BMHBI","Harbour Island",,"unlcdf:1",,"unlcdc:BM","25.5","-76.63333","BMHBI"
"unlcd:BMKWF","Kings Wharf",,"unlcdf:1, unlcdf:3",,"unlcdc:BM",,,"BMKWF"
"unlcd:BMPA5","Paget Parish",,"unlcdf:3",,"unlcdc:BM","32.283333","-64.76667","BMPA5"
"unlcd:BMSAN","Sandys",,"unlcdf:1",,"unlcdc:BM","32.3","-64.86667","BMSAN"
"unlcd:BMSEV","Devonshire",,"unlcdf:1",,"unlcdc:BM","32.3","-64.75","BMSEV"
"unlcd:BMSGE","Saint George",,"unlcdf:1",,"unlcdc:BM","32.383335","-64.683334","BMSGE"
"unlcd:BMSOU","Southampton",,"unlcdf:1",,"unlcdc:BM","32.25","-64.85","BMSOU"
"unlcd:BMWA7","Warwick",,"unlcdf:3",,"unlcdc:BM","32.266666","-64.8","BMWA7"
