"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BOABA","Avaroa",,"unlcdf:2","unlcds:BOP","unlcdc:BO","-21.333334","-68.35","BOABA"
"unlcd:BOACH","Achacachi",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.05","-68.683334","BOACH"
"unlcd:BOACL","Achocalla",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.583334","-68.166664","BOACL"
"unlcd:BOALC","Alcalá","Alcala","unlcdf:3","unlcds:BOH","unlcdc:BO","-19.366667","-64.416664","BOALC"
"unlcd:BOALT","El Alto",,"unlcdf:2, unlcdf:3","unlcds:BOL","unlcdc:BO","-16.5","-68.166664","BOALT"
"unlcd:BOANC","Ancoraimes",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-15.9","-68.96667","BOANC"
"unlcd:BOAPB","Apolo",,"unlcdf:3, unlcdf:4","unlcds:BOL","unlcdc:BO","-14.716666","-68.416664","BOAPB"
"unlcd:BOAQL","Aiquile",,"unlcdf:6","unlcds:BOC","unlcdc:BO","-18.166666","-65.166664","BOAQL"
"unlcd:BOARC","Arica",,"unlcdf:3","unlcds:BON","unlcdc:BO","-9.766666","-65.88333","BOARC"
"unlcd:BOASC","Ascensión","Ascension","unlcdf:3, unlcdf:4","unlcds:BOS","unlcdc:BO","-15.7","-63.083332","BOASC"
"unlcd:BOASN","La Asunta",,"unlcdf:2","unlcds:BOL","unlcdc:BO","-16.033333","-67.166664","BOASN"
"unlcd:BOAUC","Aucapata",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-15.366667","-68.65","BOAUC"
"unlcd:BOAYO","Ayo Ayo",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.083334","-68.0","BOAYO"
"unlcd:BOAYT","Ayata",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-15.35","-68.75","BOAYT"
"unlcd:BOAZY","Azurduy",,"unlcdf:3","unlcds:BOH","unlcdc:BO","-20.1","-64.416664","BOAZY"
"unlcd:BOBAT","Batallas",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.333334","-68.5","BOBAT"
"unlcd:BOBEF","Bella Flor",,"unlcdf:3","unlcds:BON","unlcdc:BO","-11.1","-67.63333","BOBEF"
"unlcd:BOBJO","Bermejo",,"unlcdf:3, unlcdf:4","unlcds:BOT","unlcdc:BO","-22.65","-64.36667","BOBJO"
"unlcd:BOBPB","Bolpebra",,"unlcdf:3","unlcds:BON","unlcdc:BO","-10.933333","-69.583336","BOBPB"
"unlcd:BOBVK","Huacaraje",,"unlcdf:3, unlcdf:4","unlcds:BOB","unlcdc:BO","-13.55","-63.75","BOBVK"
"unlcd:BOBVL","Baures",,"unlcdf:3, unlcdf:4","unlcds:BOB","unlcdc:BO","-13.583333","-63.583332","BOBVL"
"unlcd:BOBYC","Yacuiba",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:BOT","unlcdc:BO","-22.033333","-63.683334","BOBYC"
"unlcd:BOCAI","Carapari",,"unlcdf:3","unlcds:BOT","unlcdc:BO","-21.666666","-65.21667","BOCAI"
"unlcd:BOCAL","Calamarca",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.9","-68.1","BOCAL"
"unlcd:BOCAM","Camiri",,"unlcdf:3, unlcdf:4","unlcds:BOS","unlcdc:BO","-20.1","-63.533333","BOCAM"
"unlcd:BOCAO","Calacoto",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.3","-68.65","BOCAO"
"unlcd:BOCAQ","Caquiaviri",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.016666","-68.61667","BOCAQ"
"unlcd:BOCAR","Carrasco",,"unlcdf:3",,"unlcdc:BO","-15.666667","-67.55","BOCAR"
"unlcd:BOCBB","Cochabamba",,"unlcdf:3, unlcdf:4, unlcdf:5","unlcds:BOC","unlcdc:BO","-17.383333","-66.15","BOCBB"
"unlcd:BOCCM","Calacoto",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.533333","-68.1","BOCCM"
"unlcd:BOCCO","Calacoto",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.283333","-67.8","BOCCO"
"unlcd:BOCCR","Coro Coro",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.166666","-68.45","BOCCR"
"unlcd:BOCEP","Concepción","Concepcion","unlcdf:3, unlcdf:4","unlcds:BOS","unlcdc:BO","-16.133333","-62.033333","BOCEP"
"unlcd:BOCHA","Charaña","Charana","unlcdf:3","unlcds:BOL","unlcdc:BO","-17.6","-69.46667","BOCHA"
"unlcd:BOCHM","Chuma",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-15.483334","-68.9","BOCHM"
"unlcd:BOCHR","Chacarilla",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-17.566668","-68.21667","BOCHR"
"unlcd:BOCHU","Chulumani",,"unlcdf:3","unlcds:BOL","unlcdc:BO","-16.4","-67.51667","BOCHU"
"unlcd:BOCIJ","Cobija",,"unlcdf:3, unlcdf:4","unlcds:BON","unlcdc:BO","-11.033334","-68.73333","BOCIJ"
