"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BSASD","Andros Town, Andros Island",,"unlcdf:1, unlcdf:4",,"unlcdc:BS",,,"BSASD"
"unlcd:BSATC","Arthur's Town, Cat Island",,"unlcdf:3, unlcdf:4","unlcds:BSCI","unlcdc:BS","24.633333","-75.7","BSATC"
"unlcd:BSAXP","Spring Point",,"unlcdf:4",,"unlcdc:BS",,,"BSAXP"
"unlcd:BSBIM","Bimini",,"unlcdf:4",,"unlcdc:BS",,,"BSBIM"
"unlcd:BSBKC","Bock Cay",,"unlcdf:1","unlcds:BSEX","unlcdc:BS","23.816668","-76.166664","BSBKC"
"unlcd:BSCAT","Cat Island",,"unlcdf:4",,"unlcdc:BS",,,"BSCAT"
"unlcd:BSCBT","Cockburn Town",,"unlcdf:1","unlcds:BSSS","unlcdc:BS","24.033333","-74.51667","BSCBT"
"unlcd:BSCCZ","Chub Cay, Berry Islands",,"unlcdf:1, unlcdf:4",,"unlcdc:BS",,,"BSCCZ"
"unlcd:BSCEL","Cape Eleuthera",,"unlcdf:1, unlcdf:4","unlcds:BSSE","unlcdc:BS","24.816668","-76.35","BSCEL"
"unlcd:BSCLP","Clifton Point",,"unlcdf:1",,"unlcdc:BS",,,"BSCLP"
"unlcd:BSCOC","Little Stirrup Cay",,"unlcdf:1","unlcds:BSBY","unlcdc:BS","25.816668","-77.933334","BSCOC"
"unlcd:BSCOX","Congo Town",,"unlcdf:1, unlcdf:4","unlcds:BSSA","unlcdc:BS","24.15","-77.53333","BSCOX"
"unlcd:BSCRI","Crooked Island",,"unlcdf:1, unlcdf:4",,"unlcdc:BS",,,"BSCRI"
"unlcd:BSCXY","Cat Cays",,"unlcdf:4",,"unlcdc:BS",,,"BSCXY"
"unlcd:BSDCT","Duncan Town",,"unlcdf:4",,"unlcdc:BS",,,"BSDCT"
"unlcd:BSELE","Eleuthera Island",,"unlcdf:1",,"unlcdc:BS",,,"BSELE"
"unlcd:BSELH","North Eleuthera",,"unlcdf:4",,"unlcdc:BS",,,"BSELH"
"unlcd:BSEXU","Great Exuma Island",,"unlcdf:1","unlcds:BSEX","unlcdc:BS","23.533333","-75.833336","BSEXU"
"unlcd:BSFPO","Freeport, Grand Bahama",,"unlcdf:1, unlcdf:4",,"unlcdc:BS",,,"BSFPO"
"unlcd:BSGBI","Grand Bahama",,"unlcdf:4",,"unlcdc:BS",,,"BSGBI"
"unlcd:BSGGT","George Town, Great Exuma Island",,"unlcdf:1, unlcdf:4",,"unlcdc:BS",,,"BSGGT"
