"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BWBBK","Kasane",,"unlcdf:4",,"unlcdc:BW",,,"BWBBK"
"unlcd:BWDUK","Dukwi",,"unlcdf:1, unlcdf:6","unlcds:BWCE","unlcdc:BW","-20.583334","26.533333","BWDUK"
"unlcd:BWFRW","Francistown",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:6","unlcds:BWNE","unlcdc:BW","-21.166666","27.516666","BWFRW"
"unlcd:BWGAB","Gaberones Camp",,"unlcdf:6",,"unlcdc:BW","-24.666666","25.916666","BWGAB"
"unlcd:BWGBE","Gaborone",,"unlcdf:3, unlcdf:4, unlcdf:5, unlcdf:6",,"unlcdc:BW","-24.666666","25.916666","BWGBE"
"unlcd:BWGNZ","Ghanzi",,"unlcdf:3, unlcdf:4",,"unlcdc:BW",,,"BWGNZ"
"unlcd:BWHUK","Hukuntsi",,"unlcdf:4",,"unlcdc:BW",,,"BWHUK"
"unlcd:BWJWA","Jwaneng",,"unlcdf:4",,"unlcdc:BW",,,"BWJWA"
"unlcd:BWKHW","Khwai River Lodge",,"unlcdf:4",,"unlcdc:BW",,,"BWKHW"
"unlcd:BWLET","Letlhakane",,"unlcdf:3",,"unlcdc:BW","-21.416666","25.583334","BWLET"
"unlcd:BWLOQ","Lobatse",,"unlcdf:4",,"unlcdc:BW",,,"BWLOQ"
"unlcd:BWMAH","Mahalapye",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:BW","-23.1","26.833334","BWMAH"
"unlcd:BWMGS","Mogoditshane",,"unlcdf:3","unlcds:BWKW","unlcdc:BW","-24.616667","25.85","BWMGS"
"unlcd:BWMUB","Maun",,"unlcdf:4",,"unlcdc:BW",,,"BWMUB"
"unlcd:BWORP","Orapa",,"unlcdf:4",,"unlcdc:BW",,,"BWORP"
"unlcd:BWPAL","Palapye",,"unlcdf:2, unlcdf:3",,"unlcdc:BW","-22.566668","27.133333","BWPAL"
"unlcd:BWPKW","Selebi-Phikwe",,"unlcdf:4",,"unlcdc:BW",,,"BWPKW"
"unlcd:BWRSA","Ramotswa",,"unlcdf:2, unlcdf:3",,"unlcdc:BW","-24.866667","25.816668","BWRSA"
"unlcd:BWSER","Serowe",,"unlcdf:3",,"unlcdc:BW","-22.383333","26.7","BWSER"
"unlcd:BWSUN","Sunnyside",,"unlcdf:0",,"unlcdc:BW",,,"BWSUN"
"unlcd:BWSVT","Savuti",,"unlcdf:4",,"unlcdc:BW",,,"BWSVT"
"unlcd:BWSWX","Shakawe",,"unlcdf:4",,"unlcdc:BW",,,"BWSWX"
"unlcd:BWSXN","Suapan",,"unlcdf:4",,"unlcdc:BW",,,"BWSXN"
"unlcd:BWTBY","Tsabong",,"unlcdf:4",,"unlcdc:BW",,,"BWTBY"
"unlcd:BWTLD","Tuli Lodge",,"unlcdf:4",,"unlcdc:BW",,,"BWTLD"
