"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BYASH","Ashmyany",,"unlcdf:3","unlcds:BYHR","unlcdc:BY","54.416668","25.916666","BYASH"
"unlcd:BYBAR","Barysaw",,"unlcdf:2, unlcdf:3","unlcds:BYMI","unlcdc:BY","54.216667","28.483334","BYBAR"
"unlcd:BYBER","Berëza","Bereza","unlcdf:3","unlcds:BYBR","unlcdc:BY","52.3","24.366667","BYBER"
"unlcd:BYBLA","Belousha",,"unlcdf:3","unlcds:BYBR","unlcdc:BY","51.95","26.966667","BYBLA"
"unlcd:BYBMO","Bol'shiye Motykaly",,"unlcdf:2, unlcdf:3","unlcds:BYBR","unlcdc:BY","52.2","23.583334","BYBMO"
"unlcd:BYBNV","Baranovichi",,"unlcdf:3","unlcds:BYHR","unlcdc:BY","53.666668","23.716667","BYBNV"
"unlcd:BYBOB","Bobruysk",,"unlcdf:3",,"unlcdc:BY","53.15","29.233334","BYBOB"
"unlcd:BYBOR","Borovlyany",,"unlcdf:3","unlcds:BYMI","unlcdc:BY","55.3","30.1","BYBOR"
"unlcd:BYBQT","Brest",,"unlcdf:2, unlcdf:3",,"unlcdc:BY",,,"BYBQT"
"unlcd:BYBZA","Berëzovka","Berezovka","unlcdf:3",,"unlcdc:BY","53.766666","25.516666","BYBZA"
"unlcd:BYCHK","Chashniki",,"unlcdf:3","unlcds:BYVI","unlcdc:BY","54.85","29.15","BYCHK"
"unlcd:BYCHV","Chavusi",,"unlcdf:3","unlcds:BYMA","unlcdc:BY","53.8","30.983334","BYCHV"
"unlcd:BYDEM","Demidov",,"unlcdf:3","unlcds:BYHO","unlcdc:BY","51.65","29.266666","BYDEM"
"unlcd:BYDRH","Drahichyn",,"unlcdf:3","unlcds:BYBR","unlcdc:BY","52.183334","25.15","BYDRH"
"unlcd:BYDRS","Dobrush",,"unlcdf:3","unlcds:BYHO","unlcdc:BY","52.4","31.316668","BYDRS"
"unlcd:BYDZK","Dzerzhinsk",,"unlcdf:3",,"unlcdc:BY",,,"BYDZK"
"unlcd:BYFAN","Fanipol",,"unlcdf:3","unlcds:BYMI","unlcdc:BY","53.683334","27.2","BYFAN"
"unlcd:BYGAT","Gatovo",,"unlcdf:2, unlcdf:3",,"unlcdc:BY","53.783333","27.616667","BYGAT"
"unlcd:BYGDO","Grodno",,"unlcdf:2, unlcdf:3","unlcds:BYHR","unlcdc:BY","53.666668","23.833334","BYGDO"
"unlcd:BYGME","Gomel",,"unlcdf:4",,"unlcdc:BY",,,"BYGME"
"unlcd:BYGNA","Grodna",,"unlcdf:4",,"unlcdc:BY",,,"BYGNA"
"unlcd:BYGRK","Gorodok",,"unlcdf:2, unlcdf:3","unlcds:BYVI","unlcdc:BY","55.45","29.983334","BYGRK"
"unlcd:BYKBY","Kobryn",,"unlcdf:2, unlcdf:3",,"unlcdc:BY","52.216667","24.35","BYKBY"
"unlcd:BYKDC","Kolyadichi",,"unlcdf:3","unlcds:BYMI","unlcdc:BY","53.833332","27.55","BYKDC"
