"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BZ4SA","Santa Elena",,"unlcdf:3","unlcds:BZCY","unlcdc:BZ","17.15","-89.05","BZ4SA"
"unlcd:BZBAR","Barranco",,"unlcdf:1",,"unlcdc:BZ","16.0","-88.916664","BZBAR"
"unlcd:BZBGK","Big Creek",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:BZSC","unlcdc:BZ","16.516666","-88.4","BZBGK"
"unlcd:BZBMP","Belmopan",,"unlcdf:3",,"unlcdc:BZ","17.266666","-88.78333","BZBMP"
"unlcd:BZBVC","Benque Viejo del Carmen",,"unlcdf:3","unlcds:BZCY","unlcdc:BZ","17.066668","-89.13333","BZBVC"
"unlcd:BZBVJ","Benque Viejo",,"unlcdf:6","unlcds:BZCZL","unlcdc:BZ","18.266666","-88.45","BZBVJ"
"unlcd:BZBZE","Belize City",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:BZ",,,"BZBZE"
"unlcd:BZCOL","Colinto",,"unlcdf:1",,"unlcdc:BZ",,,"BZCOL"
"unlcd:BZCRR","Crooked Tree",,"unlcdf:3","unlcds:BZBZ","unlcdc:BZ","17.766666","-88.53333","BZCRR"
"unlcd:BZCUK","Caye Caulker",,"unlcdf:4","unlcds:BZBZ","unlcdc:BZ","17.75","-88.05","BZCUK"
"unlcd:BZCYC","Caye Chapel",,"unlcdf:4","unlcds:BZBZ","unlcdc:BZ","17.7","-88.03333","BZCYC"
"unlcd:BZCZH","Corozal",,"unlcdf:4",,"unlcdc:BZ",,,"BZCZH"
"unlcd:BZDGA","Dangriga",,"unlcdf:1, unlcdf:3",,"unlcdc:BZ","16.966667","-88.21667","BZDGA"
"unlcd:BZINB","Independence Apt",,"unlcdf:3, unlcdf:4","unlcds:BZTOL","unlcdc:BZ","17.533333","-88.3","BZINB"
"unlcd:BZMDB","Melinda",,"unlcdf:4",,"unlcdc:BZ",,,"BZMDB"
"unlcd:BZMZE","Manatee Apt",,"unlcdf:3, unlcdf:4",,"unlcdc:BZ","17.066668","-89.583336","BZMZE"
"unlcd:BZORZ","Orange Walk",,"unlcdf:4",,"unlcdc:BZ",,,"BZORZ"
"unlcd:BZPLJ","Placencia",,"unlcdf:4","unlcds:BZSC","unlcdc:BZ","16.516666","-88.36667","BZPLJ"
"unlcd:BZPND","Punta Gorda",,"unlcdf:4",,"unlcdc:BZ",,,"BZPND"
"unlcd:BZSJX","Sartaneja",,"unlcdf:4","unlcds:BZCZL","unlcdc:BZ","18.35","-88.11667","BZSJX"
"unlcd:BZSPR","San Pedro",,"unlcdf:4",,"unlcdc:BZ",,,"BZSPR"
"unlcd:BZSQS","San Ignacio",,"unlcdf:4","unlcds:BZCY","unlcdc:BZ","17.15","-89.066666","BZSQS"
"unlcd:BZSTU","Santa Cruz",,"unlcdf:4","unlcds:BZCZL","unlcdc:BZ","18.266666","-88.45","BZSTU"
"unlcd:BZSVK","Silver Creek",,"unlcdf:4",,"unlcdc:BZ",,,"BZSVK"
"unlcd:BZTZA","Belize City Municipal Airport",,"unlcdf:4","unlcds:BZBZ","unlcdc:BZ","17.533333","-88.3","BZTZA"
