"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CA2GA","Gabriola",,"unlcdf:3","unlcds:CABC","unlcdc:CA","49.166668","-123.8","CA2GA"
"unlcd:CA2KS","Rosthern",,"unlcdf:3","unlcds:CASK","unlcdc:CA","52.65","-106.333336","CA2KS"
"unlcd:CA2SL","St. Louis",,"unlcdf:3","unlcds:CASK","unlcdc:CA","52.916668","-105.816666","CA2SL"
"unlcd:CA345","Goulais River",,"unlcdf:6","unlcds:CAON","unlcdc:CA","46.7","-84.433334","CA345"
"unlcd:CA4NG","Grand Pre",,"unlcdf:3","unlcds:CANS","unlcdc:CA","45.1","-64.28333","CA4NG"
"unlcd:CA5DV","Clive",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","52.483334","-113.45","CA5DV"
"unlcd:CA6CA","Searchmont",,"unlcdf:3","unlcds:CAON","unlcdc:CA","46.783333","-84.05","CA6CA"
"unlcd:CA6OD","Douglas Point",,"unlcdf:3","unlcds:CAON","unlcdc:CA","44.316666","-81.6","CA6OD"
"unlcd:CA6QC","Riviere-Ouelle",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","47.433334","-70.01667","CA6QC"
"unlcd:CA6SE","Senneville",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.433334","-73.96667","CA6SE"
"unlcd:CA7TK","Stoke",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.533333","-71.8","CA7TK"
"unlcd:CA8MT","Montreal-Ouest",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.45","-73.65","CA8MT"
"unlcd:CA9FR","Langford Station",,"unlcdf:3","unlcds:CABC","unlcdc:CA","48.45","-123.5","CA9FR"
"unlcd:CAAAB","Lac La Biche",,"unlcdf:1, unlcdf:6","unlcds:CAAB","unlcdc:CA","54.766666","-111.95","CAAAB"
"unlcd:CAAAC","Ailsa Craig",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.133335","-81.53333","CAAAC"
"unlcd:CAAAD","Arnaud",,"unlcdf:3","unlcds:CAMB","unlcdc:CA","49.25","-97.1","CAAAD"
"unlcd:CAAAL","Alert Bay",,"unlcdf:1","unlcds:CABC","unlcdc:CA",,,"CAAAL"
"unlcd:CAAAU","Causapscal",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","48.366665","-67.23333","CAAAU"
"unlcd:CAABB","Abbotsford",,"unlcdf:3","unlcds:CABC","unlcdc:CA",,,"CAABB"
"unlcd:CAABE","Abercrombie",,"unlcdf:3","unlcds:CANS","unlcdc:CA","45.633335","-62.683334","CAABE"
"unlcd:CAABG","Albert Bridge",,"unlcdf:3","unlcds:CANS","unlcdc:CA","46.016666","-60.05","CAABG"
"unlcd:CAABH","Ashburn",,"unlcdf:3, unlcdf:6","unlcds:CAON","unlcdc:CA","43.933334","-78.96667","CAABH"
"unlcd:CAABL","Amberly",,"unlcdf:1, unlcdf:6","unlcds:CAON","unlcdc:CA","44.05","-81.71667","CAABL"
"unlcd:CAABN","Alban",,"unlcdf:3","unlcds:CAON","unlcdc:CA","46.1","-80.61667","CAABN"
"unlcd:CAABO","Assiniboia",,"unlcdf:2, unlcdf:3","unlcds:CASK","unlcdc:CA","49.616665","-105.96667","CAABO"
"unlcd:CAABR","Rocky View County",,"unlcdf:1, unlcdf:3","unlcds:CAAB","unlcdc:CA","51.183334","-113.933334","CAABR"
"unlcd:CAABU","Melbourne",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.666668","-72.15","CAABU"
"unlcd:CAABV","Abram-Village",,"unlcdf:3","unlcds:CAPE","unlcdc:CA","46.45","-64.083336","CAABV"
"unlcd:CAACL","Ayer's Cliff",,"unlcdf:3, unlcdf:6","unlcds:CAQC","unlcdc:CA","45.166668","-72.03333","CAACL"
"unlcd:CAACO","Aulds Cove",,"unlcdf:3","unlcds:CANS","unlcdc:CA","45.65","-61.45","CAACO"
"unlcd:CAACT","Acton",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.633335","-80.01667","CAACT"
"unlcd:CAACV","Acton Vale",,"unlcdf:2, unlcdf:3","unlcds:CAQC","unlcdc:CA","45.6","-72.55","CAACV"
"unlcd:CAADE","Aldergrove",,"unlcdf:3, unlcdf:B","unlcds:CABC","unlcdc:CA","49.05","-122.46667","CAADE"
"unlcd:CAADH","Ardath",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CASK","unlcdc:CA","51.616665","-107.23333","CAADH"
"unlcd:CAADI","Saint-Adrien",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.816666","-71.71667","CAADI"
"unlcd:CAADL","Sainte-Anne-de-la-Perade",,"unlcdf:3, unlcdf:6","unlcds:CAQC","unlcdc:CA","46.583332","-72.2","CAADL"
"unlcd:CAADM","Saint-Augustin-Deux-Montagnes",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.616665","-73.98333","CAADM"
"unlcd:CAADP","Sainte-Anne-des-Plaines",,"unlcdf:2, unlcdf:3","unlcds:CAQC","unlcdc:CA","45.766666","-73.816666","CAADP"
"unlcd:CAADR","Sainte-Anne-de-la-Rochelle",,"unlcdf:3, unlcdf:6","unlcds:CAQC","unlcdc:CA","45.283333","-72.35","CAADR"
"unlcd:CAADV","Advocate Harbour",,"unlcdf:3","unlcds:CANS","unlcdc:CA","45.333332","-64.78333","CAADV"
"unlcd:CAAEO","Ma-Ma-O Beach",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","52.966667","-113.95","CAAEO"
"unlcd:CAAES","Saint-Arsène","Saint-Arsene","unlcdf:3","unlcds:CAQC","unlcdc:CA","47.916668","-69.433334","CAAES"
"unlcd:CAAGI","Agincourt",,"unlcdf:2, unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAAGI"
"unlcd:CAAGR","Ange Gardien de Rouville",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.35","-72.933334","CAAGR"
"unlcd:CAAGU","Aguathuna",,"unlcdf:1, unlcdf:3","unlcds:CANL","unlcdc:CA","48.55","-58.766666","CAAGU"
"unlcd:CAAGY","Argyle",,"unlcdf:3","unlcds:CANS","unlcdc:CA","43.8","-65.85","CAAGY"
"unlcd:CAAGZ","Agassiz",,"unlcdf:2, unlcdf:3","unlcds:CABC","unlcdc:CA","49.233334","-121.76667","CAAGZ"
"unlcd:CAAHH","Algonquin Highlands",,"unlcdf:3","unlcds:CAON","unlcdc:CA","45.4","-78.75","CAAHH"
"unlcd:CAAHL","Apple Hill",,"unlcdf:1","unlcds:CAON","unlcdc:CA",,,"CAAHL"
"unlcd:CAAHN","Acheson",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CAAB","unlcdc:CA","53.55","-113.78333","CAAHN"
"unlcd:CAAID","Alnwick/Haldimand",,"unlcdf:6","unlcds:CAON","unlcdc:CA","44.083332","-78.03333","CAAID"
"unlcd:CAAIR","Airdrie",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","51.283333","-114.01667","CAAIR"
"unlcd:CAAIT","Saint-Anicet",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.116665","-74.36667","CAAIT"
"unlcd:CAAJN","Aston-Jonction",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","46.166668","-72.23333","CAAJN"
"unlcd:CAAJU","Anjou",,"unlcdf:2, unlcdf:3","unlcds:CAQC","unlcdc:CA",,,"CAAJU"
"unlcd:CAAJX","Ajax",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAAJX"
"unlcd:CAAKL","Aklavik",,"unlcdf:3","unlcds:CANT","unlcdc:CA","68.21667","-135.0","CAAKL"
"unlcd:CAAKN","Arkona",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.066666","-81.833336","CAAKN"
"unlcd:CAAKV","Akulivik Apt",,"unlcdf:3, unlcdf:4","unlcds:CAQC","unlcdc:CA","60.816666","-78.13333","CAAKV"
"unlcd:CAALD","Alexander",,"unlcdf:3","unlcds:CAMB","unlcdc:CA","49.816666","-100.3","CAALD"
"unlcd:CAALE","Allardville",,"unlcdf:3","unlcds:CANB","unlcdc:CA","47.466667","-65.48333","CAALE"
"unlcd:CAALF","Alfred",,"unlcdf:2","unlcds:CAON","unlcdc:CA","45.55","-74.86667","CAALF"
"unlcd:CAALH","Alhambra",,"unlcdf:2, unlcdf:3","unlcds:CAAB","unlcdc:CA","52.366665","-114.666664","CAALH"
"unlcd:CAALI","Alix",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","52.4","-113.183334","CAALI"
"unlcd:CAALK","Adlavik",,"unlcdf:1, unlcdf:3","unlcds:CANL","unlcdc:CA","54.916668","-58.916668","CAALK"
"unlcd:CAALL","Allanburg",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.066666","-79.2","CAALL"
"unlcd:CAALM","Alma",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.716667","-80.5","CAALM"
"unlcd:CAALN","Allan",,"unlcdf:2, unlcdf:3","unlcds:CASK","unlcdc:CA","51.9","-106.066666","CAALN"
"unlcd:CAALO","L'Anse-au-Loup",,"unlcdf:1, unlcdf:3","unlcds:CANL","unlcdc:CA","51.516666","-56.833332","CAALO"
"unlcd:CAALP","Algonquin Park",,"unlcdf:3","unlcds:CAON","unlcdc:CA","45.55","-78.566666","CAALP"
"unlcd:CAALT","Alton",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAALT"
"unlcd:CAALV","Atholville",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:CANB","unlcdc:CA","47.983334","-66.71667","CAALV"
"unlcd:CAAMA","Alliston",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAAMA"
"unlcd:CAAMB","Saint-Ambroise",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","48.55","-71.316666","CAAMB"
"unlcd:CAAME","Armena",,"unlcdf:2, unlcdf:3","unlcds:CAAB","unlcdc:CA","53.116665","-112.95","CAAME"
"unlcd:CAAMH","Amherstburg",,"unlcdf:1","unlcds:CAON","unlcdc:CA",,,"CAAMH"
"unlcd:CAAMN","Amherst",,"unlcdf:2, unlcdf:3","unlcds:CANS","unlcdc:CA","45.816666","-64.2","CAAMN"
"unlcd:CAAMQ","Amqui",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","48.466667","-67.433334","CAAMQ"
"unlcd:CAAMR","Sainte-Angele-de-Merici",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","48.516666","-68.066666","CAAMR"
"unlcd:CAAMT","Almonte",,"unlcdf:6","unlcds:CAON","unlcdc:CA","45.216667","-76.2","CAAMT"
"unlcd:CAANA","Saint-Anaclet",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","48.483334","-68.433334","CAANA"
"unlcd:CAANB","Andys Bay",,"unlcdf:1","unlcds:CABC","unlcdc:CA",,,"CAANB"
"unlcd:CAANC","Ancaster",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAANC"
"unlcd:CAANF","Anfield",,"unlcdf:3","unlcds:CANB","unlcdc:CA","46.916668","-67.5","CAANF"
"unlcd:CAANI","Annacis Island",,"unlcdf:3","unlcds:CABC","unlcdc:CA","49.166668","-122.96667","CAANI"
"unlcd:CAANL","Anola",,"unlcdf:2, unlcdf:3","unlcds:CAMB","unlcdc:CA","49.866665","-96.65","CAANL"
"unlcd:CAANN","Asphodel-Norwood",,"unlcdf:3","unlcds:CAON","unlcdc:CA","44.35","-78.0","CAANN"
"unlcd:CAANP","Arnprior",,"unlcdf:3","unlcds:CAON","unlcdc:CA","45.433334","-76.35","CAANP"
"unlcd:CAANT","Antigonish",,"unlcdf:3","unlcds:CANS","unlcdc:CA","45.616665","-61.983334","CAANT"
"unlcd:CAANZ","Anzac",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:CAAB","unlcdc:CA","56.433334","-111.03333","CAANZ"
"unlcd:CAAPA","Napan",,"unlcdf:3","unlcds:CANB","unlcdc:CA","46.883335","-65.5","CAAPA"
"unlcd:CAAPH","Saint-Alphonse",,"unlcdf:3",,"unlcdc:CA","45.3","-72.78333","CAAPH"
"unlcd:CAAPI","Appin",,"unlcdf:3","unlcds:CAON","unlcdc:CA","38.883335","-9.033334","CAAPI"
"unlcd:CAAPO","Apohaqui",,"unlcdf:3","unlcds:CANB","unlcdc:CA","45.7","-65.583336","CAAPO"
"unlcd:CAAPT","Saint-Agapit",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","46.55","-71.433334","CAAPT"
"unlcd:CAAQC","Saint-Ambroise-De-Kildare",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","46.083332","-73.55","CAAQC"
"unlcd:CAAQP","Sambro",,"unlcdf:3","unlcds:CANS","unlcdc:CA","44.466667","-63.6","CAAQP"
"unlcd:CAAQW","Roseneath",,"unlcdf:3","unlcds:CAPE","unlcdc:CA","46.216667","-62.616665","CAAQW"
"unlcd:CAARB","Arctic Bay",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:CANU","unlcdc:CA","73.03333","-85.166664","CAARB"
"unlcd:CAARC","Arnold's Cove",,"unlcdf:1, unlcdf:3","unlcds:CANL","unlcdc:CA","47.766666","-53.983334","CAARC"
"unlcd:CAARE","Saint-Marc-sur-Richelieu",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.683334","-73.2","CAARE"
"unlcd:CAARG","Arborg",,"unlcdf:2, unlcdf:3","unlcds:CAMB","unlcdc:CA","50.883335","-97.21667","CAARG"
"unlcd:CAARI","Arichat",,"unlcdf:1, unlcdf:3","unlcds:CANS","unlcdc:CA","45.516666","-61.016666","CAARI"
"unlcd:CAARM","Armstrong",,"unlcdf:2, unlcdf:3","unlcds:CABC","unlcdc:CA","50.433334","-119.183334","CAARM"
"unlcd:CAARO","Air Ronge",,"unlcdf:3","unlcds:CASK","unlcdc:CA","55.066666","-105.316666","CAARO"
"unlcd:CAART","Arthabaska",,"unlcdf:3","unlcds:CAQC","unlcdc:CA",,,"CAART"
"unlcd:CAARU","Arundel",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.966667","-74.61667","CAARU"
"unlcd:CAARX","Ariss",,"unlcdf:3","unlcds:CAON","unlcdc:CA","43.583332","-80.36667","CAARX"
"unlcd:CAASB","Asbestos",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.766666","-71.933334","CAASB"
"unlcd:CAASK","Alexis Creek",,"unlcdf:3","unlcds:CABC","unlcdc:CA","52.083332","-123.28333","CAASK"
"unlcd:CAASO","Alvinston",,"unlcdf:3","unlcds:CAON","unlcdc:CA","42.816666","-81.86667","CAASO"
"unlcd:CAASQ","Asquith",,"unlcdf:1, unlcdf:6","unlcds:CASK","unlcdc:CA","52.116665","-107.21667","CAASQ"
"unlcd:CAASS","Ardrossan",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","53.55","-113.13333","CAASS"
"unlcd:CAASW","Watson",,"unlcdf:3","unlcds:CASK","unlcdc:CA","52.116665","-104.51667","CAASW"
"unlcd:CAASY","Aldersyde",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","50.666668","-113.86667","CAASY"
"unlcd:CAATA","Astra",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAATA"
"unlcd:CAATB","Athabasca",,"unlcdf:3","unlcds:CAAB","unlcdc:CA","54.716667","-113.26667","CAATB"
"unlcd:CAATH","Arthur",,"unlcdf:2, unlcdf:3","unlcds:CAON","unlcdc:CA","43.833332","-80.53333","CAATH"
"unlcd:CAATL","Atlin",,"unlcdf:3","unlcds:CABC","unlcdc:CA","59.566666","-133.7","CAATL"
"unlcd:CAATO","Alberton",,"unlcdf:3","unlcds:CAPE","unlcdc:CA","46.816666","-64.05","CAATO"
"unlcd:CAATS","Athens",,"unlcdf:3","unlcds:CAON","unlcdc:CA","44.616665","-75.95","CAATS"
"unlcd:CAAUL","Aulac",,"unlcdf:3","unlcds:CANB","unlcdc:CA","45.866665","-64.28333","CAAUL"
"unlcd:CAAUQ","Austin",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.183334","-72.28333","CAAUQ"
"unlcd:CAAUR","Aurora",,"unlcdf:3","unlcds:CAON","unlcdc:CA",,,"CAAUR"
"unlcd:CAAUS","Austin",,"unlcdf:3","unlcds:CAMB","unlcdc:CA","49.95","-98.933334","CAAUS"
"unlcd:CAAUX","Pointe-aux-Outardes",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","49.05","-68.433334","CAAUX"
"unlcd:CAAVL","Avonlea",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CASK","unlcdc:CA","50.016666","-105.066666","CAAVL"
"unlcd:CAAVM","Angusville",,"unlcdf:3","unlcds:CAMB","unlcdc:CA","50.733334","-101.01667","CAAVM"
"unlcd:CAAVO","Avondale",,"unlcdf:1, unlcdf:3","unlcds:CANL","unlcdc:CA","47.416668","-53.2","CAAVO"
"unlcd:CAAVP","Avonport",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:CANS","unlcdc:CA","45.1","-64.25","CAAVP"
"unlcd:CAAVY","Acadia Valley",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CAAB","unlcdc:CA","51.15","-110.2","CAAVY"
"unlcd:CAAWB","Saint-Augustin-de-Woburn",,"unlcdf:3","unlcds:CAQC","unlcdc:CA","45.383335","-70.85","CAAWB"
"unlcd:CAAWD","Atwood",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CAON","unlcdc:CA","43.666668","-81.01667","CAAWD"
