"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CDANG","Ango",,"unlcdf:3",,"unlcdc:CD","4.016667","25.866667","CDANG"
"unlcd:CDARU","Aru",,"unlcdf:3","unlcds:CDOR","unlcdc:CD","2.8666668","30.833334","CDARU"
"unlcd:CDBAN","Basongo",,"unlcdf:4",,"unlcdc:CD",,,"CDBAN"
"unlcd:CDBDT","Gbadolite",,"unlcdf:4",,"unlcdc:CD",,,"CDBDT"
"unlcd:CDBDV","Moba",,"unlcdf:4",,"unlcdc:CD",,,"CDBDV"
"unlcd:CDBKY","Bukavu",,"unlcdf:4",,"unlcdc:CD",,,"CDBKY"
"unlcd:CDBMB","Bumba",,"unlcdf:4",,"unlcdc:CD",,,"CDBMB"
"unlcd:CDBNB","Boende",,"unlcdf:4",,"unlcdc:CD",,,"CDBNB"
"unlcd:CDBNC","Beni",,"unlcdf:4",,"unlcdc:CD",,,"CDBNC"
"unlcd:CDBNW","Banana",,"unlcdf:1, unlcdf:3",,"unlcdc:CD","6.016667","12.4","CDBNW"
"unlcd:CDBOA","Boma",,"unlcdf:1, unlcdf:4",,"unlcdc:CD",,,"CDBOA"
"unlcd:CDBSU","Basankusu",,"unlcdf:4",,"unlcdc:CD",,,"CDBSU"
"unlcd:CDBUT","Butembo",,"unlcdf:3","unlcds:CDNK","unlcdc:CD","0.15","29.283333","CDBUT"
"unlcd:CDBUX","Bunia",,"unlcdf:4",,"unlcdc:CD",,,"CDBUX"
"unlcd:CDBZU","Buta",,"unlcdf:4",,"unlcdc:CD",,,"CDBZU"
"unlcd:CDDIC","Dili",,"unlcdf:4",,"unlcdc:CD",,,"CDDIC"
"unlcd:CDFBM","Lubumbashi",,"unlcdf:2, unlcdf:4, unlcdf:5",,"unlcdc:CD",,,"CDFBM"
"unlcd:CDFDU","Bandundu",,"unlcdf:4",,"unlcdc:CD",,,"CDFDU"
"unlcd:CDFIH","Kinshasa",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:CD",,,"CDFIH"
"unlcd:CDFKI","Kisangani",,"unlcdf:4",,"unlcdc:CD",,,"CDFKI"
