"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CFAIG","Yalinga",,"unlcdf:4",,"unlcdc:CF",,,"CFAIG"
"unlcd:CFALI","Alindao",,"unlcdf:5",,"unlcdc:CF",,,"CFALI"
"unlcd:CFBAB","Baboua",,"unlcdf:5",,"unlcdc:CF",,,"CFBAB"
"unlcd:CFBAO","Baoro",,"unlcdf:5",,"unlcdc:CF",,,"CFBAO"
"unlcd:CFBBT","Berbérati","Berberati","unlcdf:4",,"unlcdc:CF","4.266667","15.783334","CFBBT"
"unlcd:CFBBY","Bambari",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBBY"
"unlcd:CFBCF","Bouca",,"unlcdf:4",,"unlcdc:CF",,,"CFBCF"
"unlcd:CFBEM","Bossembélé","Bossembele","unlcdf:4, unlcdf:5",,"unlcdc:CF","5.266667","17.65","CFBEM"
"unlcd:CFBGF","Bangui",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBGF"
"unlcd:CFBGU","Bangassou",,"unlcdf:4",,"unlcdc:CF",,,"CFBGU"
"unlcd:CFBIV","Bria",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBIV"
"unlcd:CFBMF","Bakouma",,"unlcdf:4",,"unlcdc:CF",,,"CFBMF"
"unlcd:CFBOC","Bocaranga",,"unlcdf:5",,"unlcdc:CF","6.9666667","15.633333","CFBOC"
"unlcd:CFBOD","Boda",,"unlcdf:5",,"unlcdc:CF",,,"CFBOD"
"unlcd:CFBOG","Bogoto",,"unlcdf:3",,"unlcdc:CF","4.95","17.05","CFBOG"
"unlcd:CFBOP","Bouar",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBOP"
"unlcd:CFBOZ","Bozoum",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBOZ"
"unlcd:CFBSN","Bossangoa",,"unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBSN"
"unlcd:CFBTG","Batangafo",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFBTG"
"unlcd:CFCRF","Carnot",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFCRF"
"unlcd:CFDEK","Dekoa",,"unlcdf:5",,"unlcdc:CF",,,"CFDEK"
"unlcd:CFGDA","Gounda",,"unlcdf:4",,"unlcdc:CF",,,"CFGDA"
"unlcd:CFGDI","Gordil",,"unlcdf:4",,"unlcdc:CF",,,"CFGDI"
"unlcd:CFGRI","Grimari",,"unlcdf:5",,"unlcdc:CF",,,"CFGRI"
"unlcd:CFIMO","Zemio",,"unlcdf:4",,"unlcdc:CF",,,"CFIMO"
"unlcd:CFIRO","Birao",,"unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFIRO"
"unlcd:CFKAB","Kaga Bandoro",,"unlcdf:5",,"unlcdc:CF",,,"CFKAB"
"unlcd:CFKEM","Kembé","Kembe","unlcdf:5",,"unlcdc:CF",,,"CFKEM"
"unlcd:CFKOL","Koumala",,"unlcdf:4",,"unlcdc:CF",,,"CFKOL"
"unlcd:CFKWD","Kawadjia",,"unlcdf:4",,"unlcdc:CF",,,"CFKWD"
"unlcd:CFMKI","Mboki",,"unlcdf:3, unlcdf:4, unlcdf:5","unlcds:CFHM","unlcdc:CF","5.3166666","25.966667","CFMKI"
"unlcd:CFMOB","Mobaye",,"unlcdf:5",,"unlcdc:CF",,,"CFMOB"
"unlcd:CFMON","Mongoumba",,"unlcdf:5",,"unlcdc:CF",,,"CFMON"
"unlcd:CFNDL","Ndélé","Ndele","unlcdf:4, unlcdf:5",,"unlcdc:CF",,,"CFNDL"
"unlcd:CFNOL","Nola",,"unlcdf:5",,"unlcdc:CF",,,"CFNOL"
"unlcd:CFOBO","Obo",,"unlcdf:5",,"unlcdc:CF",,,"CFOBO"
"unlcd:CFODA","Ouadda",,"unlcdf:4",,"unlcdc:CF",,,"CFODA"
"unlcd:CFODJ","Ouanda Djallé","Ouanda Djalle","unlcdf:4",,"unlcdc:CF","8.9","22.8","CFODJ"
"unlcd:CFPAO","Paoua",,"unlcdf:5",,"unlcdc:CF",,,"CFPAO"
"unlcd:CFRFA","Rafai",,"unlcdf:4",,"unlcdc:CF",,,"CFRFA"
"unlcd:CFSIB","Sibut",,"unlcdf:5",,"unlcdc:CF",,,"CFSIB"
"unlcd:CFTOG","Togo",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:CF","5.5","21.716667","CFTOG"
