"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CH3DV","Villette",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.483334","6.7","CH3DV"
"unlcd:CH3JK","Arbaz",,"unlcdf:3","unlcds:CHVS","unlcdc:CH","46.283333","7.383333","CH3JK"
"unlcd:CH4CE","Céligny","Celigny","unlcdf:3","unlcds:CHGE","unlcdc:CH","46.35","6.2","CH4CE"
"unlcd:CH4VM","Valeyres-sous-Montagny",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.8","6.616667","CH4VM"
"unlcd:CH5BM","Beinwil am See",,"unlcdf:3","unlcds:CHAG","unlcdc:CH","47.266666","8.2","CH5BM"
"unlcd:CH5FK","Frauenkappelen",,"unlcdf:3","unlcds:CHBE","unlcdc:CH","46.95","7.3333335","CH5FK"
"unlcd:CH7AU","Unterentfelden",,"unlcdf:3","unlcds:CHAG","unlcdc:CH","47.366665","8.033334","CH7AU"
"unlcd:CHA8T","Avegno",,"unlcdf:3","unlcds:CHTI","unlcdc:CH","46.2","8.733334","CHA8T"
"unlcd:CHAAB","Aarburg",,"unlcdf:3","unlcds:CHAG","unlcdc:CH","47.3","7.883333","CHAAB"
"unlcd:CHAAR","Aarau",,"unlcdf:3","unlcds:CHAG","unlcdc:CH",,,"CHAAR"
"unlcd:CHABB","L'Abbaye",,"unlcdf:2, unlcdf:3","unlcds:CHVD","unlcdc:CH","46.65","6.3166666","CHABB"
"unlcd:CHABD","Arbedo",,"unlcdf:3","unlcds:CHTI","unlcdc:CH","46.2","9.05","CHABD"
"unlcd:CHABG","Aarberg",,"unlcdf:3","unlcds:CHBE","unlcdc:CH","47.05","7.2833333","CHABG"
"unlcd:CHABL","Aesch",,"unlcdf:2, unlcdf:3","unlcds:CHLU","unlcdc:CH","47.266666","8.25","CHABL"
"unlcd:CHABO","Aubonne",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.483334","6.4","CHABO"
"unlcd:CHABT","Abtwil",,"unlcdf:3","unlcds:CHSG","unlcdc:CH","47.416668","9.316667","CHABT"
"unlcd:CHACL","Aclens",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.566666","6.5166664","CHACL"
"unlcd:CHACQ","Acquarossa",,"unlcdf:3","unlcds:CHTI","unlcdc:CH","46.45","8.95","CHACQ"
"unlcd:CHADF","Arisdorf",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.516666","7.7666664","CHADF"
"unlcd:CHADI","Adligenswil",,"unlcdf:3","unlcds:CHLU","unlcdc:CH","47.066666","8.366667","CHADI"
"unlcd:CHADL","Adelboden",,"unlcdf:3","unlcds:CHBE","unlcdc:CH","46.483334","7.5666666","CHADL"
"unlcd:CHADO","Ardon",,"unlcdf:2, unlcdf:3","unlcds:CHVS","unlcdc:CH","46.216667","7.25","CHADO"
"unlcd:CHADW","Adliswil",,"unlcdf:2, unlcdf:3","unlcds:CHZH","unlcdc:CH","47.316666","8.516666","CHADW"
"unlcd:CHAEH","Aesch bei Birmensdorf",,"unlcdf:3","unlcds:CHZH","unlcdc:CH","47.333332","8.433333","CHAEH"
"unlcd:CHAES","Aesch",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.466667","7.6","CHAES"
"unlcd:CHAFF","Affeltrangen",,"unlcdf:2, unlcdf:3","unlcds:CHTG","unlcdc:CH","47.516666","9.033334","CHAFF"
"unlcd:CHAFH","Alchenflueh",,"unlcdf:3","unlcds:CHBE","unlcdc:CH","47.066666","7.5666666","CHAFH"
"unlcd:CHAFT","Affoltern am Albis",,"unlcdf:3","unlcds:CHZH","unlcdc:CH","47.283333","8.433333","CHAFT"
"unlcd:CHAGE","Anieres",,"unlcdf:3, unlcdf:6","unlcds:CHGE","unlcdc:CH","46.283333","6.2166667","CHAGE"
"unlcd:CHAGG","Arnegg",,"unlcdf:3","unlcds:CHSG","unlcdc:CH","47.433334","9.25","CHAGG"
"unlcd:CHAGO","Agno",,"unlcdf:3","unlcds:CHTI","unlcdc:CH","45.983334","8.85","CHAGO"
"unlcd:CHAGT","Augst",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.516666","7.7","CHAGT"
"unlcd:CHAGU","Gontenschwil",,"unlcdf:3","unlcds:CHAG","unlcdc:CH","47.266666","8.133333","CHAGU"
"unlcd:CHAHF","Altishofen",,"unlcdf:3","unlcds:CHLU","unlcdc:CH","47.2","7.9666667","CHAHF"
"unlcd:CHAIE","Affoltern im Emmental",,"unlcdf:2, unlcdf:3","unlcds:CHBE","unlcdc:CH","47.066666","7.7333336","CHAIE"
"unlcd:CHAIG","Aigle",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.316666","6.9666667","CHAIG"
"unlcd:CHAIR","Airolo",,"unlcdf:2, unlcdf:3","unlcds:CHTI","unlcdc:CH","46.533333","8.6","CHAIR"
"unlcd:CHALE","Alle",,"unlcdf:3, unlcdf:6","unlcds:CHJU","unlcdc:CH","47.433334","7.133333","CHALE"
"unlcd:CHALL","Allaman",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.466667","6.4","CHALL"
"unlcd:CHALT","Altendorf",,"unlcdf:3","unlcds:CHSZ","unlcdc:CH","47.183334","8.833333","CHALT"
"unlcd:CHALZ","Alberswil",,"unlcdf:6","unlcds:CHLU","unlcdc:CH","47.15","8.0","CHALZ"
"unlcd:CHAND","Andwil",,"unlcdf:3","unlcds:CHSG","unlcdc:CH","47.433334","9.266666","CHAND"
"unlcd:CHANT","St. Antoni",,"unlcdf:3","unlcds:CHFR","unlcdc:CH","46.816666","7.266667","CHANT"
"unlcd:CHANW","Anwil",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.45","7.9333334","CHANW"
"unlcd:CHAOC","Arconciel",,"unlcdf:3","unlcds:CHFR","unlcdc:CH","46.75","7.116667","CHAOC"
"unlcd:CHAPD","Alpnach Dorf",,"unlcdf:3","unlcds:CHOW","unlcdc:CH","46.933334","8.266666","CHAPD"
"unlcd:CHAPL","Apples",,"unlcdf:2, unlcdf:3","unlcds:CHVD","unlcdc:CH","46.55","6.4333334","CHAPL"
"unlcd:CHAPP","Appenzell",,"unlcdf:3","unlcds:CHAI","unlcdc:CH","47.333332","9.4","CHAPP"
"unlcd:CHARB","Altdorf",,"unlcdf:3",,"unlcdc:CH",,,"CHARB"
"unlcd:CHARC","Arch",,"unlcdf:3","unlcds:CHBE","unlcdc:CH","47.15","7.4166665","CHARC"
"unlcd:CHARF","Aadorf",,"unlcdf:3","unlcds:CHTG","unlcdc:CH","47.483334","8.9","CHARF"
"unlcd:CHARH","Arth",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CHSZ","unlcdc:CH","47.066666","8.516666","CHARH"
"unlcd:CHARL","Arolla",,"unlcdf:3","unlcds:CHVS","unlcdc:CH","46.033333","7.483333","CHARL"
"unlcd:CHARS","Arosa",,"unlcdf:3","unlcds:CHGR","unlcdc:CH","46.783333","9.666667","CHARS"
"unlcd:CHARZ","Arzier",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.466667","6.2","CHARZ"
"unlcd:CHAS2","Mettlen",,"unlcdf:3","unlcds:CHTG","unlcdc:CH","47.533333","9.116667","CHAS2"
"unlcd:CHASC","Ascona",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:CHTI","unlcdc:CH","46.15","8.766666","CHASC"
"unlcd:CHASH","Arlesheim",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.483334","7.616667","CHASH"
"unlcd:CHASN","Altstätten","Altstatten","unlcdf:3","unlcds:CHSG","unlcdc:CH","47.383335","9.533334","CHASN"
"unlcd:CHASS","Assens",,"unlcdf:3","unlcds:CHVD","unlcdc:CH","46.616665","6.616667","CHASS"
"unlcd:CHASW","Allschwil",,"unlcdf:3","unlcds:CHBL","unlcdc:CH","47.533333","7.5333333","CHASW"
"unlcd:CHAT2","Athenaz",,"unlcdf:3","unlcds:CHGE","unlcdc:CH","46.15","5.9833336","CHAT2"
"unlcd:CHATH","Alpthal",,"unlcdf:6","unlcds:CHSZ","unlcdc:CH","47.066666","8.7","CHATH"
"unlcd:CHATN","Altnau",,"unlcdf:3","unlcds:CHTG","unlcdc:CH","47.116665","9.25","CHATN"
"unlcd:CHATR","Altenrhein",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:CHSG","unlcdc:CH","47.483334","9.55","CHATR"
"unlcd:CHATT","Pratteln",,"unlcdf:3","unlcds:CHBL","unlcdc:CH",,,"CHATT"
"unlcd:CHATU","Aristau",,"unlcdf:3","unlcds:CHAG","unlcdc:CH","47.283333","8.366667","CHATU"
