"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CIABJ","Abidjan",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:CIAB","unlcdc:CI","5.3333335","-4.016667","CIABJ"
"unlcd:CIABO","Aboisso",,"unlcdf:4",,"unlcdc:CI","5.4666667","-3.2","CIABO"
"unlcd:CIADZ","Adzopé","Adzope","unlcdf:3",,"unlcdc:CI","6.1","-3.85","CIADZ"
"unlcd:CIAFI","Amalfi",,"unlcdf:4",,"unlcdc:CI",,,"CIAFI"
"unlcd:CIAGB","Agboville",,"unlcdf:2, unlcdf:3",,"unlcdc:CI","5.9333334","-4.2166667","CIAGB"
"unlcd:CIASK","Yamoussoukro",,"unlcdf:4",,"unlcdc:CI",,,"CIASK"
"unlcd:CIASS","Assinie-Mafia",,"unlcdf:1, unlcdf:3",,"unlcdc:CI","5.116667","-3.2833333","CIASS"
"unlcd:CIBAO","Baobab Terminal",,"unlcdf:1, unlcdf:3",,"unlcdc:CI","4.95","-4.55","CIBAO"
"unlcd:CIBBV","Grand-Béréby","Grand-Bereby","unlcdf:4","unlcds:CI09","unlcdc:CI","4.6666665","-7.0666666","CIBBV"
"unlcd:CIBDK","Bondoukou",,"unlcdf:4",,"unlcdc:CI",,,"CIBDK"
"unlcd:CIBGG","Bongouanou",,"unlcdf:4",,"unlcdc:CI","6.65","-4.2","CIBGG"
"unlcd:CIBGV","Bingerville",,"unlcdf:3","unlcds:CI01","unlcdc:CI","5.35","-3.9","CIBGV"
"unlcd:CIBON","Bonoua",,"unlcdf:3",,"unlcdc:CI","5.266667","-3.6","CIBON"
"unlcd:CIBQO","Bouna",,"unlcdf:4",,"unlcdc:CI","9.266666","-3.0","CIBQO"
"unlcd:CIBRZ","Borotou",,"unlcdf:4",,"unlcdc:CI","8.733334","-7.483333","CIBRZ"
"unlcd:CIBUU","Buyo",,"unlcdf:4",,"unlcdc:CI","6.266667","-7.05","CIBUU"
"unlcd:CIBXI","Boundiali",,"unlcdf:4",,"unlcdc:CI","9.516666","-6.483333","CIBXI"
"unlcd:CIBYK","Bouaké","Bouake","unlcdf:4",,"unlcdc:CI",,,"CIBYK"
"unlcd:CICOD","Cocody",,"unlcdf:6",,"unlcdc:CI","5.35","-4.0","CICOD"
"unlcd:CIDAB","Dabou",,"unlcdf:1, unlcdf:3",,"unlcdc:CI","5.3166666","-4.366667","CIDAB"
"unlcd:CIDIM","Dimbokro",,"unlcdf:4",,"unlcdc:CI","6.65","-4.6666665","CIDIM"
"unlcd:CIDIV","Divo",,"unlcdf:4",,"unlcdc:CI","5.8333335","-5.35","CIDIV"
"unlcd:CIDJB","Djibi",,"unlcdf:3","unlcds:CI01","unlcdc:CI","5.45","-3.9833333","CIDJB"
"unlcd:CIDJO","Daloa",,"unlcdf:4",,"unlcdc:CI",,,"CIDJO"
"unlcd:CIDNC","Danane",,"unlcdf:4",,"unlcdc:CI","7.25","-8.15","CIDNC"
"unlcd:CIESP","Espoir",,"unlcdf:1",,"unlcdc:CI","5.0666666","-4.383333","CIESP"
"unlcd:CIFEK","Ferkessédougou","Ferkessedougou","unlcdf:4, unlcdf:5",,"unlcdc:CI","9.6","-5.2","CIFEK"
"unlcd:CIFRE","Fresco",,"unlcdf:1, unlcdf:3",,"unlcdc:CI","5.0833335","-5.5666666","CIFRE"
"unlcd:CIGBA","Gbabam",,"unlcdf:1",,"unlcdc:CI","5.4666667","-5.5833335","CIGBA"
"unlcd:CIGGN","Gagnoa",,"unlcdf:3, unlcdf:4",,"unlcdc:CI","6.133333","-5.9333334","CIGGN"
"unlcd:CIGGO","Guiglo",,"unlcdf:3, unlcdf:4",,"unlcdc:CI","6.5333333","-7.483333","CIGGO"
"unlcd:CIGLU","Grand Lahou",,"unlcdf:1, unlcdf:3",,"unlcdc:CI","5.133333","-5.016667","CIGLU"
"unlcd:CIGUI","Guiembé","Guiembe","unlcdf:2, unlcdf:3","unlcds:CISV","unlcdc:CI","9.233334","-5.7166667","CIGUI"
"unlcd:CIHGO","Korhogo",,"unlcdf:4",,"unlcdc:CI",,,"CIHGO"
"unlcd:CIJAC","Jacqueville",,"unlcdf:1",,"unlcdc:CI","5.2","-4.4166665","CIJAC"
"unlcd:CIKEO","Odienné","Odienne","unlcdf:4",,"unlcdc:CI","9.5","-7.5666666","CIKEO"
"unlcd:CIKOS","Kosagi",,"unlcdf:1",,"unlcdc:CI","8.216666","-8.1","CIKOS"
"unlcd:CIKOU","Koumassi",,"unlcdf:3","unlcds:CI01","unlcdc:CI","5.2833333","-3.9666667","CIKOU"
"unlcd:CIKTC","Katiola",,"unlcdf:4",,"unlcdc:CI","9.65","-7.616667","CIKTC"
