"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CLA2T","Domeyko",,"unlcdf:3","unlcds:CLAT","unlcdc:CL","-28.95","-70.88333","CLA2T"
"unlcd:CLABB","Alto Bío Bío","Alto Bio Bio","unlcdf:3","unlcds:CLBI","unlcdc:CL","-38.716667","-71.13333","CLABB"
"unlcd:CLACH","Achao",,"unlcdf:1","unlcds:CLLL","unlcdc:CL","-42.45","-73.51667","CLACH"
"unlcd:CLADC","Alto del Carmen",,"unlcdf:3","unlcds:CLAT","unlcdc:CL","-28.766666","-70.5","CLADC"
"unlcd:CLAGN","Paso Agua Negra-Juntas de Toro/Vicuña","Paso Agua Negra-Juntas de Toro/Vicuna","unlcdf:3, unlcdf:B","unlcds:CLCO","unlcdc:CL","-30.2","-69.833336","CLAGN"
"unlcd:CLAHP","Alto Hospicio",,"unlcdf:3","unlcds:CLTA","unlcdc:CL","-20.25","-70.11667","CLAHP"
"unlcd:CLALG","Algarrobo",,"unlcdf:3","unlcds:CLVS","unlcdc:CL","-33.366665","-71.666664","CLALG"
"unlcd:CLALH","Alhué","Alhue","unlcdf:3","unlcds:CLRM","unlcdc:CL","-34.033333","-71.1","CLALH"
"unlcd:CLAND","Andacollo",,"unlcdf:3","unlcds:CLCO","unlcdc:CL","-30.216667","-71.083336","CLAND"
"unlcd:CLANF","Antofagasta",,"unlcdf:1, unlcdf:4","unlcds:CLAN","unlcdc:CL","-23.633333","-70.38333","CLANF"
"unlcd:CLANG","Angol",,"unlcdf:2, unlcdf:3","unlcds:CLAR","unlcdc:CL","-37.8","-72.71667","CLANG"
"unlcd:CLANT","Antuco",,"unlcdf:3","unlcds:CLBI","unlcdc:CL","-37.333332","-71.683334","CLANT"
"unlcd:CLAON","Paso Abra Oriente de Napa/Pica",,"unlcdf:3, unlcdf:B","unlcds:CLTA","unlcdc:CL","-20.55","-68.583336","CLAON"
"unlcd:CLARA","Arauco",,"unlcdf:1, unlcdf:3","unlcds:CLBI","unlcdc:CL","-37.25","-73.316666","CLARA"
"unlcd:CLARI","Arica",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:CLAP","unlcdc:CL","-18.483334","-70.316666","CLARI"
"unlcd:CLAYA","Ayacara",,"unlcdf:1","unlcds:CLLL","unlcdc:CL","-42.3","-72.78333","CLAYA"
"unlcd:CLB7X","Charrua",,"unlcdf:3","unlcds:CLBI","unlcdc:CL","-37.1","-72.28333","CLB7X"
"unlcd:CLBAG","Bahía San Gregorio","Bahia San Gregorio","unlcdf:1","unlcds:CLMA","unlcdc:CL","-52.616665","-70.13333","CLBAG"
"unlcd:CLBAL","Balmaceda",,"unlcdf:3","unlcds:CLAN","unlcdc:CL","-25.066668","-69.73333","CLBAL"
"unlcd:CLBAQ","Baquedano",,"unlcdf:3","unlcds:CLAN","unlcdc:CL","-23.333334","-69.85","CLBAQ"
