"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CMBEL","Bélabo","Belabo","unlcdf:2, unlcdf:3","unlcds:CMES","unlcdc:CM","4.9333334","13.3","CMBEL"
"unlcd:CMBFX","Bafoussam",,"unlcdf:3, unlcdf:4",,"unlcdc:CM",,,"CMBFX"
"unlcd:CMBLC","Bali",,"unlcdf:4",,"unlcdc:CM",,,"CMBLC"
"unlcd:CMBNB","Bonabéri","Bonaberi","unlcdf:3","unlcds:CMLT","unlcdc:CM","4.0833335","9.65","CMBNB"
"unlcd:CMBPC","Bamenda",,"unlcdf:4",,"unlcdc:CM","5.9333334","10.166667","CMBPC"
"unlcd:CMBTA","Bertoua",,"unlcdf:4",,"unlcdc:CM","4.5833335","13.683333","CMBTA"
"unlcd:CMBUA","Buea",,"unlcdf:3",,"unlcdc:CM",,,"CMBUA"
"unlcd:CMCMO","Campo",,"unlcdf:0",,"unlcdc:CM",,,"CMCMO"
"unlcd:CMDLA","Douala",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:CM",,,"CMDLA"
"unlcd:CMDSC","Dschang",,"unlcdf:4",,"unlcdc:CM",,,"CMDSC"
"unlcd:CMEBT","Ebomé Terminal","Ebome Terminal","unlcdf:2, unlcdf:3",,"unlcdc:CM","2.8","9.816667","CMEBT"
"unlcd:CMEBW","Ebolowa",,"unlcdf:4",,"unlcdc:CM",,,"CMEBW"
"unlcd:CMEDA","Edéa","Edea","unlcdf:2, unlcdf:3",,"unlcdc:CM","3.7666667","10.116667","CMEDA"
"unlcd:CMEKO","Ekok",,"unlcdf:5","unlcds:CMSW","unlcdc:CM","5.8","8.883333","CMEKO"
"unlcd:CMFOM","Foumban",,"unlcdf:4",,"unlcdc:CM","5.7166667","10.916667","CMFOM"
"unlcd:CMGOU","Garoua",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:CMNO","unlcdc:CM","9.3","13.4","CMGOU"
"unlcd:CMGRB","Garoua Boulaï","Garoua Boulai","unlcdf:3, unlcdf:5","unlcds:CMES","unlcdc:CM","5.883333","14.55","CMGRB"
"unlcd:CMGXX","Yagoua",,"unlcdf:4",,"unlcdc:CM","10.35","15.233334","CMGXX"
"unlcd:CMKBI","Kribi",,"unlcdf:1, unlcdf:4",,"unlcdc:CM",,,"CMKBI"
"unlcd:CMKLE","Kaele",,"unlcdf:4",,"unlcdc:CM","10.116667","14.433333","CMKLE"
"unlcd:CMKOB","Koutaba",,"unlcdf:4",,"unlcdc:CM",,,"CMKOB"
"unlcd:CMKOL","Kole Terminal",,"unlcdf:1",,"unlcdc:CM",,,"CMKOL"
"unlcd:CMKSI","Kousséri","Kousseri","unlcdf:5","unlcds:CMEN","unlcdc:CM","12.066667","15.016666","CMKSI"
"unlcd:CMKUM","Kumba",,"unlcdf:1, unlcdf:6","unlcds:CMSW","unlcdc:CM","4.633333","9.433333","CMKUM"
"unlcd:CMKYE","Kye-Ossi",,"unlcdf:5","unlcds:CMSU","unlcdc:CM","2.25","11.25","CMKYE"
"unlcd:CMLIM","Limbe",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CM","4.016667","9.216666","CMLIM"
"unlcd:CMLIT","Limboh Terminal",,"unlcdf:1",,"unlcdc:CM",,,"CMLIT"
"unlcd:CMMBA","Mbalmayo",,"unlcdf:3","unlcds:CMCE","unlcdc:CM","3.5166667","11.5","CMMBA"
"unlcd:CMMGA","Meiganga",,"unlcdf:3","unlcds:CMAD","unlcdc:CM","6.5166664","14.3","CMMGA"
"unlcd:CMMMF","Mamfe",,"unlcdf:4",,"unlcdc:CM",,,"CMMMF"
"unlcd:CMMOR","Mora",,"unlcdf:5","unlcds:CMEN","unlcdc:CM","11.033334","14.133333","CMMOR"
"unlcd:CMMOU","Moudi Terminal",,"unlcdf:1, unlcdf:3",,"unlcdc:CM","4.116667","8.483334","CMMOU"
"unlcd:CMMSG","Massongo Terminal",,"unlcdf:7",,"unlcdc:CM","4.2166667","8.783334","CMMSG"
"unlcd:CMMVR","Maroua",,"unlcdf:4",,"unlcdc:CM",,,"CMMVR"
"unlcd:CMNDP","Ndop",,"unlcdf:3","unlcds:CMNW","unlcdc:CM","6.0","10.416667","CMNDP"
"unlcd:CMNGE","Ngaoundéré","Ngaoundere","unlcdf:2, unlcdf:3","unlcds:CMAD","unlcdc:CM","7.3166666","13.583333","CMNGE"
"unlcd:CMNKS","Nkongsamba",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:CM","4.9333334","9.933333","CMNKS"
"unlcd:CMOUR","Batouri",,"unlcdf:4",,"unlcdc:CM",,,"CMOUR"
"unlcd:CMTKC","Tiko",,"unlcdf:1, unlcdf:4",,"unlcdc:CM",,,"CMTKC"
"unlcd:CMVIC","Victoria",,"unlcdf:3","unlcds:CMSW","unlcdc:CM","4.0","9.183333","CMVIC"
"unlcd:CMYAO","Yaoundé","Yaounde","unlcdf:4, unlcdf:5","unlcds:CMCE","unlcdc:CM","3.8666668","11.516666","CMYAO"
