"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CNAAT","Altay",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:CNXJ","unlcdc:CN","47.866665","88.11667","CNAAT"
"unlcd:CNACH","Lin",,"unlcdf:3","unlcds:CN13","unlcdc:CN","38.033333","114.816666","CNACH"
"unlcd:CNACX","Xingyi",,"unlcdf:4","unlcds:CNYN","unlcdc:CN","25.05","104.98333","CNACX"
"unlcd:CNAGG","Dagang",,"unlcdf:3","unlcds:CNGD","unlcdc:CN","22.8","113.4","CNAGG"
"unlcd:CNAHK","Aheitubieke",,"unlcdf:3","unlcds:CNXJ","unlcdc:CN",,,"CNAHK"
"unlcd:CNAID","Aidian",,"unlcdf:3","unlcds:CNGX","unlcdc:CN","21.816668","107.01667","CNAID"
"unlcd:CNAIN","Huaiyin",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:CNJS","unlcdc:CN","33.633335","119.01667","CNAIN"
"unlcd:CNAJG","Aojiang Pt",,"unlcdf:1","unlcds:CNZJ","unlcdc:CN","27.583334","120.45","CNAJG"
"unlcd:CNAKA","Ankang",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:CNSN","unlcdc:CN",,,"CNAKA"
"unlcd:CNAKL","Alatawshankou",,"unlcdf:2, unlcdf:3, unlcdf:7","unlcds:CNXJ","unlcdc:CN","45.183334","82.433334","CNAKL"
"unlcd:CNAKU","Aksu",,"unlcdf:4","unlcds:CNXJ","unlcdc:CN","38.666668","75.666664","CNAKU"
"unlcd:CNALI","Dali",,"unlcdf:3","unlcds:CNGD","unlcdc:CN","23.116667","113.083336","CNALI"
"unlcd:CNANG","Huangxian",,"unlcdf:1, unlcdf:6","unlcds:CN33","unlcdc:CN","29.55","121.566666","CNANG"
"unlcd:CNANH","Sanhe",,"unlcdf:3","unlcds:CNGD","unlcdc:CN","21.2","109.85","CNANH"
"unlcd:CNANI","Nanpi",,"unlcdf:3","unlcds:CN13","unlcdc:CN","38.033333","116.7","CNANI"
"unlcd:CNANJ","Anji",,"unlcdf:3, unlcdf:6","unlcds:CNZJ","unlcdc:CN","30.633333","119.666664","CNANJ"
"unlcd:CNANN","Anning",,"unlcdf:2, unlcdf:3","unlcds:CNYN","unlcdc:CN","24.9","102.48333","CNANN"
"unlcd:CNANP","Anping",,"unlcdf:2","unlcds:CNLN","unlcdc:CN","41.15","123.083336","CNANP"
"unlcd:CNANQ","Anqiu",,"unlcdf:1, unlcdf:3","unlcds:CNSD","unlcdc:CN","36.416668","119.183334","CNANQ"
"unlcd:CNANS","Anshun",,"unlcdf:2, unlcdf:3","unlcds:CNGZ","unlcdc:CN","26.25","105.933334","CNANS"
"unlcd:CNANT","Anting",,"unlcdf:1, unlcdf:6","unlcds:CNSH","unlcdc:CN","31.3","121.15","CNANT"
"unlcd:CNAOG","Anshan Teng'ao Apt",,"unlcdf:4, unlcdf:6","unlcds:CNLN","unlcdc:CN","41.166668","123.03333","CNAOG"
"unlcd:CNAOY","Shaoyang",,"unlcdf:3","unlcds:CN43","unlcdc:CN","27.233334","111.46667","CNAOY"
"unlcd:CNAPP","Anpu",,"unlcdf:1","unlcds:CNGD","unlcdc:CN","21.383333","109.833336","CNAPP"
"unlcd:CNAQG","Anqing",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:CNAH","unlcdc:CN","30.516666","117.03333","CNAQG"
"unlcd:CNARS","Aershan",,"unlcdf:3","unlcds:CNNM","unlcdc:CN",,,"CNARS"
"unlcd:CNART","Arhaxat",,"unlcdf:3","unlcds:CNNM","unlcdc:CN",,,"CNART"
"unlcd:CNASM","Asjman",,"unlcdf:3","unlcds:CN11","unlcdc:CN",,,"CNASM"
"unlcd:CNASN","Anshan",,"unlcdf:2","unlcds:CNLN","unlcdc:CN","41.116665","123.0","CNASN"
