"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CO8SG","San Carlos de Guaroa",,"unlcdf:3","unlcds:COMET","unlcdc:CO","3.7","-73.23333","CO8SG"
"unlcd:CO9FC","Facatativa",,"unlcdf:3","unlcds:COCUN","unlcdc:CO","4.8166666","-74.36667","CO9FC"
"unlcd:COAAS","Acacías","Acacias","unlcdf:6","unlcds:COMET","unlcdc:CO","3.9833333","-73.75","COAAS"
"unlcd:COABL","Aguasblancas",,"unlcdf:3","unlcds:COCES","unlcdc:CO","10.216666","-73.48333","COABL"
"unlcd:COACD","Acandi",,"unlcdf:4","unlcds:COANT","unlcdc:CO","8.533334","-77.23333","COACD"
"unlcd:COACL","Aguaclara",,"unlcdf:4","unlcds:CONAR","unlcdc:CO","1.7166667","-78.78333","COACL"
"unlcd:COACM","Arica",,"unlcdf:1, unlcdf:3",,"unlcdc:CO","-2.1166666","-71.73333","COACM"
"unlcd:COACR","Araracuara",,"unlcdf:4","unlcds:COMET","unlcdc:CO","4.1666665","-72.96667","COACR"
"unlcd:COADN","Andes",,"unlcdf:4","unlcds:COANT","unlcdc:CO","5.65","-75.86667","COADN"
"unlcd:COADZ","San Andres Island",,"unlcdf:4",,"unlcdc:CO",,,"COADZ"
"unlcd:COAFI","Amalfi",,"unlcdf:4","unlcds:COANT","unlcdc:CO","6.9166665","-75.066666","COAFI"
"unlcd:COAGC","Aguachica",,"unlcdf:3","unlcds:COCES","unlcdc:CO","8.3","-73.61667","COAGC"
"unlcd:COAGD","Agrado",,"unlcdf:3",,"unlcdc:CO","2.25","-75.933334","COAGD"
"unlcd:COAGU","Aguadas",,"unlcdf:3","unlcds:COCAL","unlcdc:CO","5.6","-75.45","COAGU"
"unlcd:COAGY","Armero Guayabal",,"unlcdf:3","unlcds:COTOL","unlcdc:CO","5.0333333","-74.88333","COAGY"
"unlcd:COAND","Andalucia",,"unlcdf:3",,"unlcdc:CO","5.2166667","-74.11667","COAND"
"unlcd:COANT","San Antero",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","9.366667","-75.75","COANT"
"unlcd:COAPA","La Apartada",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","8.1","-75.36667","COAPA"
"unlcd:COAPI","Apiay",,"unlcdf:4","unlcds:COMET","unlcdc:CO","4.0833335","-73.566666","COAPI"
"unlcd:COAPO","Apartado",,"unlcdf:4",,"unlcdc:CO",,,"COAPO"
"unlcd:COAQA","Antioquia",,"unlcdf:6","unlcds:COANT","unlcdc:CO","6.55","-75.816666","COAQA"
"unlcd:COARA","Aracataca",,"unlcdf:3","unlcds:COMAG","unlcdc:CO","10.583333","-74.183334","COARA"
"unlcd:COARE","Arenal",,"unlcdf:3","unlcds:COBOL","unlcdc:CO","8.466666","-73.95","COARE"
"unlcd:COARF","Acaricuara",,"unlcdf:4","unlcds:COVAU","unlcdc:CO","0.7","-70.23333","COARF"
"unlcd:COARI","Ariguani",,"unlcdf:3","unlcds:COCES","unlcdc:CO","10.25","-74.0","COARI"
"unlcd:COARJ","Arjona",,"unlcdf:3","unlcds:COCES","unlcdc:CO","9.533334","-73.9","COARJ"
"unlcd:COARO","Arboletas",,"unlcdf:4","unlcds:COANT","unlcdc:CO","8.833333","-76.416664","COARO"
"unlcd:COARQ","Arauquita",,"unlcdf:4","unlcds:COARA","unlcdc:CO","7.016667","-71.433334","COARQ"
"unlcd:COASR","Astrea",,"unlcdf:3",,"unlcdc:CO","9.5","-73.96667","COASR"
"unlcd:COAUC","Arauca",,"unlcdf:4",,"unlcdc:CO",,,"COAUC"
"unlcd:COAXM","Armenia",,"unlcdf:4",,"unlcdc:CO",,,"COAXM"
"unlcd:COAYA","Ayapel",,"unlcdf:3",,"unlcdc:CO","8.316667","-75.13333","COAYA"
"unlcd:COAYC","Ayacucho",,"unlcdf:4",,"unlcdc:CO",,,"COAYC"
"unlcd:COAYG","Yaguara",,"unlcdf:3, unlcdf:4","unlcds:COHUI","unlcdc:CO","1.05","-73.933334","COAYG"
"unlcd:COAYI","Yai (Yarinacocha)",,"unlcdf:4","unlcds:CONAR","unlcdc:CO","-0.38333333","-72.26667","COAYI"
"unlcd:COAZT","Zapatoca",,"unlcdf:3, unlcdf:4","unlcds:COSAN","unlcdc:CO","6.8166666","-73.28333","COAZT"
"unlcd:COBAA","Barbosa",,"unlcdf:3","unlcds:COANT","unlcdc:CO","6.4333334","-75.316666","COBAA"
"unlcd:COBAC","Barranca de Upia",,"unlcdf:4","unlcds:COCAS","unlcdc:CO","4.5833335","-72.96667","COBAC"
"unlcd:COBAL","Balboa",,"unlcdf:1","unlcds:COCAU","unlcdc:CO","2.0333333","-77.21667","COBAL"
"unlcd:COBAQ","Barranquilla",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:CO",,,"COBAQ"
"unlcd:COBAR","Baranoa",,"unlcdf:3","unlcds:COATL","unlcdc:CO","10.783334","-74.916664","COBAR"
"unlcd:COBAY","Bayunca",,"unlcdf:3","unlcds:COBOL","unlcdc:CO","10.533334","-75.4","COBAY"
"unlcd:COBCC","Boca Chica",,"unlcdf:6","unlcds:COCAS","unlcdc:CO",,,"COBCC"
"unlcd:COBEC","Becerril",,"unlcdf:3","unlcds:COCES","unlcdc:CO","9.7","-73.28333","COBEC"
"unlcd:COBER","Berrugas",,"unlcdf:3","unlcds:COSUC","unlcdc:CO","9.7","-75.61667","COBER"
"unlcd:COBET","Betania",,"unlcdf:3",,"unlcdc:CO","5.75","-75.98333","COBET"
"unlcd:COBGA","Bucaramanga",,"unlcdf:4",,"unlcdc:CO",,,"COBGA"
"unlcd:COBHF","Bahía Cupica","Bahia Cupica","unlcdf:4","unlcds:COCHO","unlcdc:CO","6.55","-77.333336","COBHF"
"unlcd:COBLO","Bello",,"unlcdf:3","unlcds:COANT","unlcdc:CO","6.3333335","-75.55","COBLO"
"unlcd:COBOG","Bogotá","Bogota","unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:COCUN","unlcdc:CO","4.6","-74.083336","COBOG"
"unlcd:COBOS","Bosconia",,"unlcdf:3","unlcds:COCES","unlcdc:CO","9.966666","-73.88333","COBOS"
"unlcd:COBRR","Barrancas",,"unlcdf:3","unlcds:COLAG","unlcdc:CO","10.95","-72.78333","COBRR"
"unlcd:COBSC","Bahia Solano",,"unlcdf:4","unlcds:COCHO","unlcdc:CO","6.233333","-77.416664","COBSC"
"unlcd:COBUE","Buena Vista",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","8.216666","-75.48333","COBUE"
"unlcd:COBUG","Buga",,"unlcdf:3",,"unlcdc:CO","2.1833334","-77.88333","COBUG"
"unlcd:COBUN","Buenaventura",,"unlcdf:1, unlcdf:4",,"unlcdc:CO",,,"COBUN"
"unlcd:COCAJ","Cajica",,"unlcdf:6","unlcds:COCUN","unlcdc:CO","4.9166665","-74.03333","COCAJ"
"unlcd:COCAL","Calamar",,"unlcdf:3","unlcds:COBOL","unlcdc:CO","9.0","-74.36667","COCAL"
"unlcd:COCAM","Camarones",,"unlcdf:3","unlcds:COLAG","unlcdc:CO","11.416667","-73.05","COCAM"
"unlcd:COCAN","Candelaria",,"unlcdf:6","unlcds:COVAC","unlcdc:CO","3.4","-76.333336","COCAN"
"unlcd:COCAP","Cachipay",,"unlcdf:3",,"unlcdc:CO","5.0","-72.53333","COCAP"
"unlcd:COCAQ","Caucasia",,"unlcdf:4","unlcds:COANT","unlcdc:CO","7.9833336","-75.2","COCAQ"
"unlcd:COCAS","Casacará","Casacara","unlcdf:3","unlcds:COCES","unlcdc:CO","9.816667","-73.25","COCAS"
"unlcd:COCAU","Cauca",,"unlcdf:3, unlcdf:6","unlcds:COCAU","unlcdc:CO","2.5666666","-76.76667","COCAU"
"unlcd:COCCA","Centro Alegre",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","8.166667","-75.63333","COCCA"
"unlcd:COCCO","Carimagua",,"unlcdf:4","unlcds:COCAS","unlcdc:CO","4.5666666","-71.333336","COCCO"
"unlcd:COCDO","Ciénaga de Oro","Cienaga de Oro","unlcdf:3","unlcds:COCOR","unlcdc:CO","8.866667","-75.61667","COCDO"
"unlcd:COCER","Cereté","Cerete","unlcdf:3","unlcds:COCOR","unlcdc:CO","8.883333","-75.78333","COCER"
"unlcd:COCGA","Cogua",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","5.0666666","-73.98333","COCGA"
"unlcd:COCHG","Chimichagua",,"unlcdf:3","unlcds:COCES","unlcdc:CO","9.25","-73.816666","COCHG"
"unlcd:COCHI","Chia",,"unlcdf:6","unlcds:COCUN","unlcdc:CO","4.866667","-74.066666","COCHI"
"unlcd:COCHN","Chiriguaná","Chiriguana","unlcdf:3","unlcds:COCES","unlcdc:CO","9.366667","-73.583336","COCHN"
"unlcd:COCHQ","Chiquinquirá","Chiquinquira","unlcdf:3","unlcds:COBOY","unlcdc:CO","5.616667","-73.816666","COCHQ"
"unlcd:COCHU","Chinú","Chinu","unlcdf:3","unlcds:COCOR","unlcdc:CO","9.1","-75.38333","COCHU"
"unlcd:COCIE","Cienaga",,"unlcdf:0",,"unlcdc:CO",,,"COCIE"
"unlcd:COCIM","Cimitarra",,"unlcdf:4",,"unlcdc:CO",,,"COCIM"
"unlcd:COCJD","Candilejas",,"unlcdf:4","unlcds:COCAQ","unlcdc:CO","2.0666666","-74.583336","COCJD"
"unlcd:COCLC","Campo de La Cruz",,"unlcdf:3","unlcds:COATL","unlcdc:CO","10.383333","-74.88333","COCLC"
"unlcd:COCLO","Cali",,"unlcdf:4",,"unlcdc:CO",,,"COCLO"
"unlcd:COCNR","Contecar",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:COBOL","unlcdc:CO","10.383333","-75.51667","COCNR"
"unlcd:COCOG","Condoto",,"unlcdf:4","unlcds:COCHO","unlcdc:CO","5.0833335","-76.61667","COCOG"
"unlcd:COCOL","Colomboy",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","8.75","-75.5","COCOL"
"unlcd:COCOR","Cotorra",,"unlcdf:3","unlcds:COCOR","unlcdc:CO","9.05","-75.8","COCOR"
"unlcd:COCOT","Cota",,"unlcdf:6","unlcds:COCUN","unlcdc:CO","4.8166666","-74.1","COCOT"
"unlcd:COCOV","Covenas Offshore Terminal",,"unlcdf:1","unlcds:COSUC","unlcdc:CO","9.5","-75.73333","COCOV"
"unlcd:COCPB","Capurgana",,"unlcdf:4","unlcds:COCHO","unlcdc:CO","8.633333","-77.333336","COCPB"
"unlcd:COCPL","Chaparral",,"unlcdf:4","unlcds:COTOL","unlcdc:CO","3.7","-75.75","COCPL"
"unlcd:COCQT","Caquetania",,"unlcdf:4",,"unlcdc:CO","2.0333333","-74.21667","COCQT"
"unlcd:COCRC","Cartago",,"unlcdf:1, unlcdf:4",,"unlcdc:CO",,,"COCRC"
"unlcd:COCSR","Casuarito",,"unlcdf:4","unlcds:COVID","unlcdc:CO","5.8333335","-68.13333","COCSR"
"unlcd:COCTG","Cartagena",,"unlcdf:1, unlcdf:4",,"unlcdc:CO",,,"COCTG"
"unlcd:COCUC","Cucuta",,"unlcdf:4",,"unlcdc:CO",,,"COCUC"
"unlcd:COCUI","Currillo",,"unlcdf:4","unlcds:COCAQ","unlcdc:CO","1.0333333","-75.88333","COCUI"
"unlcd:COCUO","Caruru",,"unlcdf:4","unlcds:COVAU","unlcdc:CO","1.0333333","-71.23333","COCUO"
"unlcd:COCUR","Curumaní","Curumani","unlcdf:3","unlcds:COCES","unlcdc:CO","9.2","-73.53333","COCUR"
"unlcd:COCVE","Coveñas","Covenas","unlcdf:4","unlcds:COSUC","unlcdc:CO","9.416667","-75.7","COCVE"
"unlcd:COCZU","Corozal",,"unlcdf:4",,"unlcdc:CO",,,"COCZU"
"unlcd:CODAB","Dabeiba",,"unlcdf:3",,"unlcdc:CO","7.0","-76.26667","CODAB"
"unlcd:CODQS","Dos Quebradas",,"unlcdf:3","unlcds:CORIS","unlcdc:CO","4.8333335","-75.666664","CODQS"
"unlcd:CODUE","Duitama",,"unlcdf:3","unlcds:COBOY","unlcdc:CO","5.8166666","-73.01667","CODUE"
"unlcd:CODUR","Durania",,"unlcdf:3",,"unlcdc:CO","10.033334","-73.88333","CODUR"
"unlcd:CODZI","Codazzi",,"unlcdf:4","unlcds:COVID","unlcdc:CO","9.6","-73.45","CODZI"
"unlcd:COEBG","El Bagre",,"unlcdf:4",,"unlcdc:CO",,,"COEBG"
"unlcd:COEBQ","El Bosque",,"unlcdf:1",,"unlcdc:CO",,,"COEBQ"
"unlcd:COECB","El Carmen de Bolívar","El Carmen de Bolivar","unlcdf:2, unlcdf:3","unlcds:COBOL","unlcdc:CO","9.716666","-75.11667","COECB"
"unlcd:COECO","El Encanto",,"unlcdf:4","unlcds:COAMA","unlcdc:CO","-1.6166667","-73.23333","COECO"
"unlcd:COECR","El Charco",,"unlcdf:4","unlcds:CONAR","unlcdc:CO","2.4666667","-78.01667","COECR"
"unlcd:COEES","El Espino",,"unlcdf:3",,"unlcdc:CO","6.4666667","-72.5","COEES"
"unlcd:COEJA","Barrancabermeja",,"unlcdf:1, unlcdf:4",,"unlcdc:CO",,,"COEJA"
"unlcd:COELB","El Banco",,"unlcdf:4","unlcds:COMAG","unlcdc:CO","9.033334","-73.96667","COELB"
"unlcd:COELJ","El Recréo","El Recreo","unlcdf:4","unlcds:COHUI","unlcdc:CO","2.3333333","-75.933334","COELJ"
"unlcd:COELP","El Paso",,"unlcdf:3","unlcds:COCES","unlcdc:CO","9.65","-73.75","COELP"
"unlcd:COENV","Envigado",,"unlcdf:1, unlcdf:3","unlcds:COANT","unlcdc:CO",,,"COENV"
"unlcd:COEPI","El Penón","El Penon","unlcdf:3","unlcds:COMAG","unlcdc:CO","10.4","-74.816666","COEPI"
"unlcd:COESN","El Santuario",,"unlcdf:3","unlcds:COANT","unlcdc:CO","6.133333","-75.25","COESN"
"unlcd:COEUO","Paratebueno",,"unlcdf:4",,"unlcdc:CO",,,"COEUO"
"unlcd:COEYP","El Yopal",,"unlcdf:4","unlcds:COCAS","unlcdc:CO","5.3333335","-72.36667","COEYP"
