"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CRABA","Abangaritos",,"unlcdf:3","unlcds:CRP","unlcdc:CR","10.116667","-85.01667","CRABA"
"unlcd:CRABG","Abangares",,"unlcdf:1, unlcdf:6","unlcds:CRG","unlcdc:CR","10.283334","-84.95","CRABG"
"unlcd:CRAFS","Florencia de San Carlos",,"unlcdf:6","unlcds:CRA","unlcdc:CR","10.366667","-84.48333","CRAFS"
"unlcd:CRAGU","Aguas Zarcas",,"unlcdf:3, unlcdf:6","unlcds:CRL","unlcdc:CR","9.9","-83.13333","CRAGU"
"unlcd:CRAJU","Alajuela",,"unlcdf:2, unlcdf:3","unlcds:CRA","unlcdc:CR","10.016666","-84.21667","CRAJU"
"unlcd:CRAJZ","Aranjuez",,"unlcdf:3","unlcds:CRP","unlcdc:CR","10.066667","-84.78333","CRAJZ"
"unlcd:CRALI","Alajuelita",,"unlcdf:3","unlcds:CRSJ","unlcdc:CR","9.9","-84.1","CRALI"
"unlcd:CRANA","Santa Ana",,"unlcdf:3","unlcds:CRSJ","unlcdc:CR","9.933333","-84.183334","CRANA"
"unlcd:CRAPO","Pital Con Desvio",,"unlcdf:6","unlcds:CRA","unlcdc:CR","10.433333","-84.26667","CRAPO"
"unlcd:CRASL","Santa Rosa de Pocosol",,"unlcdf:6","unlcds:CRA","unlcdc:CR","10.083333","-84.26667","CRASL"
"unlcd:CRATE","Atenas",,"unlcdf:3","unlcds:CRA","unlcdc:CR","9.983334","-84.38333","CRATE"
"unlcd:CRATM","Altamira",,"unlcdf:3, unlcdf:6","unlcds:CRA","unlcdc:CR","10.466666","-84.35","CRATM"
"unlcd:CRAZA","Aguas Zarcas",,"unlcdf:3, unlcdf:6","unlcds:CRA","unlcdc:CR","10.383333","-84.35","CRAZA"
"unlcd:CRBAG","Bagaces",,"unlcdf:3, unlcdf:6","unlcds:CRG","unlcdc:CR","10.533334","-85.25","CRBAG"
"unlcd:CRBAI","Buenos Aires",,"unlcdf:4",,"unlcdc:CR","8.866667","-83.5","CRBAI"
"unlcd:CRBAL","Boca Arenal",,"unlcdf:6","unlcds:CRA","unlcdc:CR","10.533334","-84.48333","CRBAL"
"unlcd:CRBAR","Barranca",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:CRP","unlcdc:CR","9.983334","-84.71667","CRBAR"
"unlcd:CRBAT","Batan",,"unlcdf:1","unlcds:CRL","unlcdc:CR",,,"CRBAT"
"unlcd:CRBAV","Barva",,"unlcdf:6","unlcds:CRH","unlcdc:CR","10.166667","-85.333336","CRBAV"
"unlcd:CRBBA","Boca Barranca",,"unlcdf:3","unlcds:CRP","unlcdc:CR","9.966666","-84.73333","CRBBA"
"unlcd:CRBBD","Barbudal",,"unlcdf:3","unlcds:CRG","unlcdc:CR","10.216666","-85.11667","CRBBD"
