"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CUANT","Antilla",,"unlcdf:2, unlcdf:3",,"unlcdc:CU","20.833334","-75.85","CUANT"
"unlcd:CUAVI","Maximo Gomez Apt",,"unlcdf:4",,"unlcdc:CU","22.016666","-78.78333","CUAVI"
"unlcd:CUBAN","Banes",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","20.966667","-75.71667","CUBAN"
"unlcd:CUBCA","Baracoa",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUBCA"
"unlcd:CUBHO","Bahía Honda","Bahia Honda","unlcdf:1",,"unlcdc:CU","22.9","-83.166664","CUBHO"
"unlcd:CUBOG","Boca Grande",,"unlcdf:1",,"unlcdc:CU","21.583334","-78.666664","CUBOG"
"unlcd:CUBOQ","Boqueron",,"unlcdf:2, unlcdf:3",,"unlcdc:CU","22.166666","-79.01667","CUBOQ"
"unlcd:CUBUF","Bufadero",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.566668","-77.23333","CUBUF"
"unlcd:CUBWW","Las Brujas",,"unlcdf:4",,"unlcdc:CU","23.616667","-18.316668","CUBWW"
"unlcd:CUBYM","Bayamo",,"unlcdf:4",,"unlcdc:CU",,,"CUBYM"
"unlcd:CUCAB","Cabañas","Cabanas","unlcdf:1",,"unlcdc:CU","22.983334","-82.916664","CUCAB"
"unlcd:CUCAI","Caibarién","Caibarien","unlcdf:1",,"unlcdc:CU","22.516666","-79.46667","CUCAI"
"unlcd:CUCAR","Cárdenas","Cardenas","unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","23.033333","-81.2","CUCAR"
"unlcd:CUCAS","Casilda",,"unlcdf:1, unlcdf:3",,"unlcdc:CU","21.766666","-80.0","CUCAS"
"unlcd:CUCCC","Cayo Coco",,"unlcdf:4",,"unlcdc:CU","22.5","-78.5","CUCCC"
"unlcd:CUCEI","Ceiba Hueca",,"unlcdf:1, unlcdf:3",,"unlcdc:CU","20.216667","-77.333336","CUCEI"
"unlcd:CUCFG","Cienfuegos",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUCFG"
"unlcd:CUCMW","Camagüey","Camaguey","unlcdf:1, unlcdf:4",,"unlcdc:CU","21.383333","-77.916664","CUCMW"
"unlcd:CUCYO","Cayo Largo del Sur",,"unlcdf:4",,"unlcdc:CU","21.616667","-81.55","CUCYO"
"unlcd:CUGAO","Los Canos Apt/Guantanamo",,"unlcdf:4",,"unlcdc:CU",,,"CUGAO"
"unlcd:CUGER","Nueva Gerona",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUGER"
"unlcd:CUGIB","Gibara",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:6",,"unlcdc:CU","21.1","-76.13333","CUGIB"
"unlcd:CUGUB","Guantanamo Bay",,"unlcdf:1, unlcdf:3",,"unlcdc:CU",,,"CUGUB"
"unlcd:CUGYB","Guayabal",,"unlcdf:1",,"unlcdc:CU",,,"CUGYB"
"unlcd:CUHAV","La Habana",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:CU03","unlcdc:CU","23.116667","-82.35","CUHAV"
"unlcd:CUHOG","Holguin",,"unlcdf:4",,"unlcdc:CU",,,"CUHOG"
"unlcd:CUICR","Nicaro",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUICR"
"unlcd:CUIDS","Isabela de Sagua",,"unlcdf:1",,"unlcdc:CU",,,"CUIDS"
"unlcd:CUJUC","Júcaro","Jucaro","unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.633333","-78.85","CUJUC"
"unlcd:CULCL","La Coloma",,"unlcdf:4",,"unlcdc:CU","22.333334","-83.63333","CULCL"
"unlcd:CUMAR","Mariel",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:CU","23.0","-82.75","CUMAR"
"unlcd:CUMEL","Media Luna",,"unlcdf:1, unlcdf:3",,"unlcdc:CU","20.15","-77.433334","CUMEL"
"unlcd:CUMIR","Miramar",,"unlcdf:3",,"unlcdc:CU","23.116667","-82.416664","CUMIR"
"unlcd:CUMJG","Mayajigua",,"unlcdf:4","unlcds:CU07","unlcdc:CU","21.75","-79.0","CUMJG"
"unlcd:CUMLG","Melgarejo",,"unlcdf:2, unlcdf:3","unlcds:CU13","unlcdc:CU","20.05","-75.933334","CUMLG"
"unlcd:CUMNT","Puerto Manatí","Puerto Manati","unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.366667","-76.833336","CUMNT"
"unlcd:CUMOA","Moa",,"unlcdf:4",,"unlcdc:CU",,,"CUMOA"
"unlcd:CUMOR","Morón","Moron","unlcdf:2, unlcdf:3","unlcds:CU08","unlcdc:CU","22.1","-78.61667","CUMOR"
"unlcd:CUMZO","Manzanillo",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUMZO"
"unlcd:CUNBW","Guantanamo Nas Apt",,"unlcdf:4",,"unlcdc:CU",,,"CUNBW"
"unlcd:CUNIQ","Niquero",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","20.05","-77.583336","CUNIQ"
"unlcd:CUNVT","Nuevitas",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.55","-77.26667","CUNVT"
"unlcd:CUPAL","Palo Alto",,"unlcdf:1, unlcdf:3",,"unlcdc:CU","21.6","-78.96667","CUPAL"
"unlcd:CUPAS","Puerto de Pastelillo",,"unlcdf:1, unlcdf:3",,"unlcdc:CU","21.55","-77.21667","CUPAS"
"unlcd:CUPIL","Pilón","Pilon","unlcdf:2, unlcdf:3",,"unlcdc:CU","20.85","-75.816666","CUPIL"
"unlcd:CUPPA","Puerto Padre",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.2","-76.6","CUPPA"
"unlcd:CUPST","Preston",,"unlcdf:4",,"unlcdc:CU","20.75","-75.65","CUPST"
"unlcd:CUPTA","Puerto Tarafa",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.566668","-77.25","CUPTA"
"unlcd:CUQCO","Colon",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:CU",,,"CUQCO"
"unlcd:CUQMA","Matanzas",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUQMA"
"unlcd:CUQPD","Pinar del Rio",,"unlcdf:4",,"unlcdc:CU","22.416666","-83.666664","CUQPD"
"unlcd:CUQSN","San Nicolas Bari",,"unlcdf:4",,"unlcdc:CU","22.75","-81.916664","CUQSN"
"unlcd:CURSL","Sagua la Grande",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:CU","22.8","-80.066666","CURSL"
"unlcd:CUSCS","Santa Cruz del Sur",,"unlcdf:1",,"unlcdc:CU",,,"CUSCS"
"unlcd:CUSCU","Santiago de Cuba",,"unlcdf:1, unlcdf:4",,"unlcdc:CU",,,"CUSCU"
"unlcd:CUSDT","Sagua de Tánamo","Sagua de Tanamo","unlcdf:1","unlcds:CU11","unlcdc:CU","20.583334","-75.23333","CUSDT"
"unlcd:CUSNJ","San Julian",,"unlcdf:4",,"unlcdc:CU","22.066668","-84.15","CUSNJ"
"unlcd:CUSNU","Santa Clara",,"unlcdf:1",,"unlcdc:CU",,,"CUSNU"
"unlcd:CUSZJ","Siguanea",,"unlcdf:4","unlcds:CU99","unlcdc:CU","21.616667","-82.95","CUSZJ"
"unlcd:CUTAN","Tánamo","Tanamo","unlcdf:3",,"unlcdc:CU","20.683332","-75.35","CUTAN"
"unlcd:CUTDZ","Tunas de Zaza",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.633333","-79.55","CUTDZ"
"unlcd:CUTND","Trinidad",,"unlcdf:3, unlcdf:4",,"unlcdc:CU",,,"CUTND"
"unlcd:CUUMA","Punta de Maisi",,"unlcdf:3, unlcdf:4","unlcds:CU14","unlcdc:CU","20.25","-74.15","CUUMA"
"unlcd:CUUPA","Punta Alegre",,"unlcdf:4",,"unlcdc:CU","22.366667","-78.8","CUUPA"
"unlcd:CUUSS","Santi Spiritus",,"unlcdf:3, unlcdf:4",,"unlcdc:CU","21.916666","-79.433334","CUUSS"
"unlcd:CUVDO","Vedado",,"unlcdf:3",,"unlcdc:CU","23.133333","-83.38333","CUVDO"
"unlcd:CUVIT","Puerto da Vita",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CU","21.083334","-75.96667","CUVIT"
"unlcd:CUVRA","Varadero",,"unlcdf:3, unlcdf:4","unlcds:CU04","unlcdc:CU","23.15","-81.25","CUVRA"
"unlcd:CUVTU","Las Tunas",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:CU10","unlcdc:CU","20.95","-76.95","CUVTU"
