"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CV4SM","Santiago",,"unlcdf:3","unlcds:CVMA","unlcdc:CV","15.133333","-23.533333","CV4SM"
"unlcd:CVASS","Assomada",,"unlcdf:3","unlcds:CVCA","unlcdc:CV","15.1","-23.683332","CVASS"
"unlcd:CVBVC","Boa Vista",,"unlcdf:4",,"unlcdc:CV","2.8333333","-60.683334","CVBVC"
"unlcd:CVBVR","Brava",,"unlcdf:4",,"unlcdc:CV","-31.666666","-56.583332","CVBVR"
"unlcd:CVGRA","Porto Grande",,"unlcdf:1","unlcds:CVSV","unlcdc:CV","16.866667","-25.0","CVGRA"
"unlcd:CVMIN","Mindelo",,"unlcdf:1, unlcdf:3","unlcds:CVSV","unlcdc:CV","16.883333","-25.0","CVMIN"
"unlcd:CVMMO","Maio",,"unlcdf:4",,"unlcdc:CV",,,"CVMMO"
"unlcd:CVMTI","Mosteiros",,"unlcdf:4",,"unlcdc:CV",,,"CVMTI"
"unlcd:CVNTO","Santo Antao",,"unlcdf:4",,"unlcdc:CV",,,"CVNTO"
"unlcd:CVPAL","Palmeira",,"unlcdf:0",,"unlcdc:CV",,,"CVPAL"
"unlcd:CVPLM","Pedra de Lume",,"unlcdf:0",,"unlcdc:CV",,,"CVPLM"
"unlcd:CVPOI","Porto Inglez",,"unlcdf:3","unlcds:CVMA","unlcdc:CV","15.133333","-23.216667","CVPOI"
"unlcd:CVPON","Porto Novo",,"unlcdf:0",,"unlcdc:CV",,,"CVPON"
"unlcd:CVPOP","Porto Preguica",,"unlcdf:0",,"unlcdc:CV",,,"CVPOP"
"unlcd:CVRAI","Praia",,"unlcdf:1, unlcdf:4",,"unlcdc:CV",,,"CVRAI"
"unlcd:CVSAM","Santa Maria",,"unlcdf:0",,"unlcdc:CV",,,"CVSAM"
"unlcd:CVSAR","Sal Rei",,"unlcdf:0",,"unlcdc:CV",,,"CVSAR"
"unlcd:CVSFL","Sao Filipe",,"unlcdf:4","unlcds:CVSF","unlcdc:CV","14.9","-24.516666","CVSFL"
"unlcd:CVSID","Ilha do Sal",,"unlcdf:4","unlcds:CVSL","unlcdc:CV","16.75","-22.916666","CVSID"
"unlcd:CVSNE","Sao Nicolau",,"unlcdf:4",,"unlcdc:CV",,,"CVSNE"
"unlcd:CVTAR","Tarrafal",,"unlcdf:0",,"unlcdc:CV",,,"CVTAR"
"unlcd:CVVXE","Sao Vicente",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:CV",,,"CVVXE"
