"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CWBUB","Bullenbaai",,"unlcdf:1",,"unlcdc:CW","12.166667","-69.0","CWBUB"
"unlcd:CWCRB","Caracas Baai",,"unlcdf:1",,"unlcdc:CW","12.066667","-68.85","CWCRB"
"unlcd:CWCUR","Curaçao","Curacao","unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:CW","12.166667","-69.0","CWCUR"
"unlcd:CWDGT","Dominguito",,"unlcdf:6",,"unlcdc:CW","12.1","-68.9","CWDGT"
"unlcd:CWEMM","Emmastad",,"unlcdf:3",,"unlcdc:CW","12.133333","-68.916664","CWEMM"
"unlcd:CWFUI","Fuikbaai",,"unlcdf:1",,"unlcdc:CW","12.05","-68.816666","CWFUI"
"unlcd:CWGBG","Grote Berg",,"unlcdf:6",,"unlcdc:CW","12.183333","-68.98333","CWGBG"
"unlcd:CWOTB","Otrobanda",,"unlcdf:3",,"unlcdc:CW","12.133333","-68.95","CWOTB"
"unlcd:CWPUN","Punda",,"unlcdf:3",,"unlcdc:CW","12.1","-68.916664","CWPUN"
"unlcd:CWSFF","Suffisant Dorp",,"unlcdf:6",,"unlcdc:CW","12.15","-68.916664","CWSFF"
"unlcd:CWSMB","Sint Michielsbaai",,"unlcdf:1",,"unlcdc:CW","12.15","-68.98333","CWSMB"
"unlcd:CWSTR","Santa Rosa",,"unlcdf:3",,"unlcdc:CW","12.116667","-68.88333","CWSTR"
"unlcd:CWWIL","Willemstad",,"unlcdf:1",,"unlcdc:CW","12.1","-68.916664","CWWIL"
"unlcd:CWZEE","Zeelandia",,"unlcdf:6",,"unlcdc:CW","12.116667","-68.9","CWZEE"
