"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CYAKT","Akrotiri",,"unlcdf:1, unlcdf:4","unlcds:CY02","unlcdc:CY","34.6","32.95","CYAKT"
"unlcd:CYANM","Ayia Napa",,"unlcdf:1, unlcdf:3","unlcds:CY04","unlcdc:CY","34.983334","34.0","CYANM"
"unlcd:CYDHK","Dhekelia",,"unlcdf:1, unlcdf:3","unlcds:CY03","unlcdc:CY","34.983334","33.75","CYDHK"
"unlcd:CYEPK","Episkopi",,"unlcdf:4","unlcds:CY02","unlcdc:CY","34.666668","32.9","CYEPK"
"unlcd:CYFMG","Famagusta",,"unlcdf:1, unlcdf:3","unlcds:CY04","unlcdc:CY","35.1","33.95","CYFMG"
"unlcd:CYKAR","Karavostasi",,"unlcdf:1","unlcds:CY01","unlcdc:CY","35.133335","32.833332","CYKAR"
"unlcd:CYKKT","Kokkinotrimithia",,"unlcdf:3","unlcds:CY01","unlcdc:CY","35.15","33.2","CYKKT"
"unlcd:CYKYR","Kyrenia",,"unlcdf:1","unlcds:CY06","unlcdc:CY","35.333332","33.333332","CYKYR"
"unlcd:CYLAT","Latchi",,"unlcdf:1, unlcdf:3","unlcds:CY05","unlcdc:CY","35.033333","32.4","CYLAT"
"unlcd:CYLCA","Larnaca",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:CY03","unlcdc:CY","34.916668","33.616665","CYLCA"
"unlcd:CYLMS","Limassol",,"unlcdf:1, unlcdf:3, unlcdf:5","unlcds:CY02","unlcdc:CY","34.683334","33.05","CYLMS"
"unlcd:CYMOI","Moni",,"unlcdf:1, unlcdf:3","unlcds:CY02","unlcdc:CY","34.733334","33.2","CYMOI"
"unlcd:CYNIC","Nicosia",,"unlcdf:1, unlcdf:5","unlcds:CY01","unlcdc:CY","35.166668","33.366665","CYNIC"
"unlcd:CYPFO","Paphos",,"unlcdf:1, unlcdf:4","unlcds:CY05","unlcdc:CY","34.766666","32.416668","CYPFO"
"unlcd:CYVAS","Vasilikos",,"unlcdf:1","unlcds:CY03","unlcdc:CY","34.716667","33.316666","CYVAS"
"unlcd:CYZYY","Zyyi",,"unlcdf:1","unlcds:CY03","unlcdc:CY","34.733334","33.333332","CYZYY"
