"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:CZ2NC","Hranice",,"unlcdf:3","unlcds:CZLI","unlcdc:CZ","50.733334","15.433333","CZ2NC"
"unlcd:CZ3LZ","Machova",,"unlcdf:3","unlcds:CZZL","unlcdc:CZ","49.25","17.55","CZ3LZ"
"unlcd:CZ4PO","Polesovice",,"unlcdf:3","unlcds:CZZL","unlcdc:CZ","49.033333","17.333334","CZ4PO"
"unlcd:CZ5MJ","Nove Mlyny",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.866665","16.733334","CZ5MJ"
"unlcd:CZ5PV","Pastviny",,"unlcdf:3","unlcds:CZPA","unlcdc:CZ","50.083332","16.55","CZ5PV"
"unlcd:CZ7JK","Psáry","Psary","unlcdf:3","unlcds:CZST","unlcdc:CZ","49.933334","14.516666","CZ7JK"
"unlcd:CZ7OW","Srbská","Srbska","unlcdf:3","unlcds:CZLI","unlcdc:CZ","50.966667","15.216666","CZ7OW"
"unlcd:CZ8KJ","Dubnany",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.916668","17.1","CZ8KJ"
"unlcd:CZ8PL","Novy Saldorf",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.833332","16.066668","CZ8PL"
"unlcd:CZ9YI","Strílky","Strilky","unlcdf:3","unlcds:CZZL","unlcdc:CZ","49.15","17.216667","CZ9YI"
"unlcd:CZAAA","Svatava",,"unlcdf:3","unlcds:CZKA","unlcdc:CZ","50.183334","12.633333","CZAAA"
"unlcd:CZADP","Adrspach",,"unlcdf:3","unlcds:CZKA","unlcdc:CZ","50.616665","16.1","CZADP"
"unlcd:CZALB","Albrechtice",,"unlcdf:3","unlcds:CZLI","unlcdc:CZ","50.75","15.3","CZALB"
"unlcd:CZAMV","Adamov",,"unlcdf:3",,"unlcdc:CZ","49.316666","16.666666","CZAMV"
"unlcd:CZANA","Planá","Plana","unlcdf:2, unlcdf:3","unlcds:CZPL","unlcdc:CZ","49.866665","12.733334","CZANA"
"unlcd:CZAQW","Chvalovice",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.783333","16.083334","CZAQW"
"unlcd:CZASA","As",,"unlcdf:2, unlcdf:3, unlcdf:B",,"unlcdc:CZ",,,"CZASA"
"unlcd:CZATH","Tichá","Ticha","unlcdf:3","unlcds:CZMO","unlcdc:CZ","49.566666","18.233334","CZATH"
"unlcd:CZATN","Asten",,"unlcdf:3","unlcds:CZOL","unlcdc:CZ","48.216667","14.416667","CZATN"
"unlcd:CZB3R","Bor",,"unlcdf:3","unlcds:CZKA","unlcdc:CZ","50.183334","12.466666","CZB3R"
"unlcd:CZBAB","Babice",,"unlcdf:6","unlcds:CZZL","unlcdc:CZ","49.116665","17.483334","CZBAB"
"unlcd:CZBAJ","Bakov nad Jizerou",,"unlcdf:2, unlcdf:3","unlcds:CZST","unlcdc:CZ","50.483334","14.933333","CZBAJ"
"unlcd:CZBAN","Bánov","Banov","unlcdf:3",,"unlcdc:CZ","48.983334","17.716667","CZBAN"
"unlcd:CZBAR","Bartosovice",,"unlcdf:1, unlcdf:3","unlcds:CZMO","unlcdc:CZ","49.666668","18.05","CZBAR"
"unlcd:CZBAT","Batnovice",,"unlcdf:3","unlcds:CZKR","unlcdc:CZ","50.516666","16.05","CZBAT"
"unlcd:CZBAV","Bavorov",,"unlcdf:3","unlcds:CZJC","unlcdc:CZ","49.116665","14.083333","CZBAV"
"unlcd:CZBBC","Babice",,"unlcdf:1, unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.983334","16.4","CZBBC"
"unlcd:CZBBE","Dolní Berkovice","Dolni Berkovice","unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CZ","50.383335","14.433333","CZBBE"
"unlcd:CZBBY","Brumov-Bylnice",,"unlcdf:3",,"unlcdc:CZ","49.1","18.016666","CZBBY"
"unlcd:CZBCV","Bucovice",,"unlcdf:3",,"unlcdc:CZ","49.15","17.0","CZBCV"
"unlcd:CZBDA","Bozí Dar","Bozi Dar","unlcdf:2",,"unlcdc:CZ","50.416668","12.9","CZBDA"
"unlcd:CZBDC","Bohdalice",,"unlcdf:1","unlcds:CZJM","unlcdc:CZ",,,"CZBDC"
"unlcd:CZBDH","Bedihost",,"unlcdf:6","unlcds:CZOL","unlcdc:CZ","49.45","17.15","CZBDH"
"unlcd:CZBDI","Bridlicna",,"unlcdf:3",,"unlcdc:CZ","49.916668","17.366667","CZBDI"
"unlcd:CZBEE","Bechyne",,"unlcdf:3","unlcds:CZJC","unlcdc:CZ","49.3","14.483334","CZBEE"
"unlcd:CZBEL","Belotín","Belotin","unlcdf:3","unlcds:CZOL","unlcdc:CZ","49.583332","17.816668","CZBEL"
"unlcd:CZBEN","Benesov",,"unlcdf:2, unlcdf:3",,"unlcdc:CZ",,,"CZBEN"
"unlcd:CZBER","Beroun",,"unlcdf:2, unlcdf:3",,"unlcdc:CZ",,,"CZBER"
"unlcd:CZBES","Bestovice",,"unlcdf:3","unlcds:CZPA","unlcdc:CZ","50.016666","16.216667","CZBES"
"unlcd:CZBHD","Bohdanec",,"unlcdf:3",,"unlcdc:CZ",,,"CZBHD"
"unlcd:CZBHT","Bohutín","Bohutin","unlcdf:3","unlcds:CZST","unlcdc:CZ","49.65","13.95","CZBHT"
"unlcd:CZBHV","Bochov",,"unlcdf:3","unlcds:CZKA","unlcdc:CZ","50.15","13.05","CZBHV"
"unlcd:CZBIL","Bila",,"unlcdf:3, unlcdf:B",,"unlcdc:CZ",,,"CZBIL"
"unlcd:CZBIO","Bílovec","Bilovec","unlcdf:2, unlcdf:3","unlcds:CZMO","unlcdc:CZ","49.766666","18.033333","CZBIO"
"unlcd:CZBIP","Bily Potok",,"unlcdf:3, unlcdf:B",,"unlcdc:CZ",,,"CZBIP"
"unlcd:CZBIS","Brniste",,"unlcdf:3","unlcds:CZ51","unlcdc:CZ","50.733334","14.7","CZBIS"
"unlcd:CZBKE","Boskovice",,"unlcdf:6","unlcds:CZJM","unlcdc:CZ","49.483334","16.666666","CZBKE"
"unlcd:CZBKV","Bojkovice",,"unlcdf:3","unlcds:CZZL","unlcdc:CZ","49.033333","17.816668","CZBKV"
"unlcd:CZBKY","Mlade Buky",,"unlcdf:6","unlcds:CZKR","unlcdc:CZ","50.6","15.85","CZBKY"
"unlcd:CZBLA","Blansko",,"unlcdf:2, unlcdf:3",,"unlcdc:CZ",,,"CZBLA"
"unlcd:CZBLC","Bilcice",,"unlcdf:3",,"unlcdc:CZ","49.866665","17.566668","CZBLC"
"unlcd:CZBLE","Boletice",,"unlcdf:3","unlcds:CZJC","unlcdc:CZ","48.816666","14.216666","CZBLE"
"unlcd:CZBLH","Belohrad",,"unlcdf:3","unlcds:CZ20","unlcdc:CZ","49.7","14.2","CZBLH"
"unlcd:CZBLJ","Blatnice",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.95","17.45","CZBLJ"
"unlcd:CZBLN","Bílina","Bilina","unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:CZ","50.55","13.766666","CZBLN"
"unlcd:CZBLO","Blovice",,"unlcdf:3",,"unlcdc:CZ","49.566666","13.533334","CZBLO"
"unlcd:CZBLR","Boleradice",,"unlcdf:3","unlcds:CZJM","unlcdc:CZ","48.966667","16.816668","CZBLR"
"unlcd:CZBLS","Blsany",,"unlcdf:3","unlcds:CZUS","unlcdc:CZ","50.216667","13.466666","CZBLS"
"unlcd:CZBLT","Bolatice",,"unlcdf:3","unlcds:CZMO","unlcdc:CZ","49.966667","18.083334","CZBLT"
"unlcd:CZBLU","Bludov",,"unlcdf:3","unlcds:CZOL","unlcdc:CZ","49.95","16.933332","CZBLU"
"unlcd:CZBLV","Buchlovice",,"unlcdf:6","unlcds:CZZL","unlcdc:CZ","45.083332","17.333334","CZBLV"
"unlcd:CZBNB","Budisov nad Budisovkou",,"unlcdf:6","unlcds:CZMO","unlcdc:CZ","49.8","17.633333","CZBNB"
"unlcd:CZBNJ","Benátky nad Jizerou","Benatky nad Jizerou","unlcdf:2, unlcdf:3","unlcds:CZST","unlcdc:CZ","50.283333","14.833333","CZBNJ"
"unlcd:CZBNL","Brandys nad Labem",,"unlcdf:3",,"unlcdc:CZ","50.183334","14.666667","CZBNL"
"unlcd:CZBNO","Bernartice nad Odrou",,"unlcdf:3","unlcds:CZMO","unlcdc:CZ","49.616665","17.95","CZBNO"
"unlcd:CZBNP","Bystrice nad Pernstejnem",,"unlcdf:3","unlcds:CZVY","unlcdc:CZ","49.516666","16.266666","CZBNP"
"unlcd:CZBNR","Bela nad Radbuzou",,"unlcdf:6","unlcds:CZPL","unlcdc:CZ","49.6","12.716666","CZBNR"
"unlcd:CZBNS","Brezová nad Svitavou","Brezova nad Svitavou","unlcdf:3","unlcds:CZPA","unlcdc:CZ","49.65","16.516666","CZBNS"
"unlcd:CZBNT","Bruntál","Bruntal","unlcdf:3",,"unlcdc:CZ","49.983334","17.45","CZBNT"
"unlcd:CZBNY","Borotín","Borotin","unlcdf:3","unlcds:CZ64","unlcdc:CZ","49.583332","16.666666","CZBNY"
"unlcd:CZBO5","Borsov",,"unlcdf:3","unlcds:CZVY","unlcdc:CZ","49.4","15.433333","CZBO5"
"unlcd:CZBOA","Bocanovice",,"unlcdf:3",,"unlcdc:CZ","49.55","18.716667","CZBOA"
"unlcd:CZBOH","Bohumin",,"unlcdf:2, unlcdf:3, unlcdf:B",,"unlcdc:CZ",,,"CZBOH"
"unlcd:CZBOK","Borohrádek","Borohradek","unlcdf:3","unlcds:CZKR","unlcdc:CZ","50.1","16.1","CZBOK"
"unlcd:CZBOL","Bolatice",,"unlcdf:1, unlcdf:3",,"unlcdc:CZ",,,"CZBOL"
"unlcd:CZBOO","Bolehost",,"unlcdf:3","unlcds:CZKR","unlcdc:CZ","50.216667","16.083334","CZBOO"
"unlcd:CZBOR","Bor u Tachova",,"unlcdf:2, unlcdf:3",,"unlcdc:CZ",,,"CZBOR"
"unlcd:CZBOU","Bohuslavice",,"unlcdf:6","unlcds:CZKR","unlcdc:CZ","50.316666","16.083334","CZBOU"
"unlcd:CZBOV","Borovany",,"unlcdf:2, unlcdf:3",,"unlcdc:CZ","48.916668","14.666667","CZBOV"
"unlcd:CZBOZ","Bozicany",,"unlcdf:3","unlcds:CZKA","unlcdc:CZ","50.266666","12.783334","CZBOZ"
"unlcd:CZBPB","Belá pod Bezdezem","Bela pod Bezdezem","unlcdf:3","unlcds:CZST","unlcdc:CZ","50.5","14.8","CZBPB"
"unlcd:CZBPH","Bystrice",,"unlcdf:3",,"unlcdc:CZ","49.633335","18.733334","CZBPH"
"unlcd:CZBPK","Belá pod Kozákovem","Bela pod Kozakovem","unlcdf:3","unlcds:CZLI","unlcdc:CZ","50.583332","15.183333","CZBPK"
