"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:DE222","Brandscheid/Westerwald",,"unlcdf:3","unlcds:DERP","unlcdc:DE","50.566666","7.9166665","DE222"
"unlcd:DE223","Brandshagen",,"unlcdf:3","unlcds:DEMV","unlcdc:DE","54.25","13.183333","DE223"
"unlcd:DE225","Braschwitz",,"unlcdf:3","unlcds:DEST","unlcdc:DE","51.516666","12.066667","DE225"
"unlcd:DE226","Bräsen","Brasen","unlcdf:3","unlcds:DEST","unlcdc:DE","51.966667","12.383333","DE226"
"unlcd:DE229","Braunfels",,"unlcdf:3","unlcds:DEHE","unlcdc:DE","50.516666","8.4","DE229"
"unlcd:DE22B","Böllen","Bollen","unlcdf:3","unlcds:DEBW","unlcdc:DE","47.8","7.85","DE22B"
"unlcd:DE22E","Eicklingen",,"unlcdf:3","unlcds:DENI","unlcdc:DE","52.55","10.183333","DE22E"
"unlcd:DE232","Braunichswalde",,"unlcdf:3","unlcds:DETH","unlcdc:DE","50.8","12.216666","DE232"
"unlcd:DE233","Braunlage",,"unlcdf:3","unlcds:DENI","unlcdc:DE","51.733334","10.616667","DE233"
"unlcd:DE234","Bräunrode","Braunrode","unlcdf:3","unlcds:DEST","unlcdc:DE","51.633335","11.4","DE234"
"unlcd:DE235","Braunsbach",,"unlcdf:3","unlcds:DEBW","unlcdc:DE","49.2","9.783334","DE235"
"unlcd:DE236","Braunsberg",,"unlcdf:3","unlcds:DEBB","unlcdc:DE","53.05","12.833333","DE236"
"unlcd:DE237","Braunschwende",,"unlcdf:3","unlcds:DEST","unlcdc:DE","51.583332","11.233334","DE237"
"unlcd:DE238","Braunsdorf bei Freital",,"unlcdf:3","unlcds:DESN","unlcdc:DE","51.016666","13.566667","DE238"
"unlcd:DE239","Braunsdorf bei Zeulenroda",,"unlcdf:3","unlcds:DETH","unlcdc:DE","50.733334","11.916667","DE239"
"unlcd:DE23A","Leinatal",,"unlcdf:1, unlcdf:6","unlcds:DETH","unlcdc:DE","50.9","10.633333","DE23A"
"unlcd:DE23B","Bollenbach/Hunsrück","Bollenbach/Hunsruck","unlcdf:3","unlcds:DERP","unlcdc:DE","49.833332","7.35","DE23B"
"unlcd:DE243","Bräunsdorf/Limbach-Oberfrohna","Braunsdorf/Limbach-Oberfrohna","unlcdf:3","unlcds:DESN","unlcdc:DE","50.866665","12.7","DE243"
"unlcd:DE244","Bräunsdorf/Oberschöna","Braunsdorf/Oberschona","unlcdf:3","unlcds:DESN","unlcdc:DE","50.95","13.216666","DE244"
"unlcd:DE245","Braunshorn",,"unlcdf:3","unlcds:DERP","unlcdc:DE","50.083332","7.5166664","DE245"
"unlcd:DE246","Braunsroda (Heldrungen)",,"unlcdf:3","unlcds:DETH","unlcdc:DE","51.3","11.25","DE246"
"unlcd:DE247","Braunsroda bei Naumburg/Saale",,"unlcdf:3","unlcds:DEST","unlcdc:DE","51.166668","11.516666","DE247"
"unlcd:DE248","Braunweiler",,"unlcdf:3","unlcds:DERP","unlcdc:DE","49.866665","7.75","DE248"
"unlcd:DE249","Brauweiler",,"unlcdf:3","unlcds:DERP","unlcdc:DE","49.816666","7.5","DE249"
"unlcd:DE24B","Böllenborn","Bollenborn","unlcdf:3","unlcds:DERP","unlcdc:DE","49.1","7.9333334","DE24B"
"unlcd:DE252","Brebel",,"unlcdf:3","unlcds:DESH","unlcdc:DE","54.633335","9.75","DE252"
"unlcd:DE25B","Bollendorf",,"unlcdf:3","unlcds:DERP","unlcdc:DE","49.85","6.366667","DE25B"
"unlcd:DE26B","Bollensdorf",,"unlcdf:3","unlcds:DEBB","unlcdc:DE","51.833332","13.383333","DE26B"
"unlcd:DE26S","Sennestadt",,"unlcdf:3","unlcds:DENW","unlcdc:DE","51.95","8.616667","DE26S"
"unlcd:DE26T","Wilhelmsburg",,"unlcdf:3","unlcds:DEHH","unlcdc:DE","53.5","10.0","DE26T"
"unlcd:DE27B","Bolleroda",,"unlcdf:3","unlcds:DETH","unlcdc:DE","51.016666","10.4","DE27B"
"unlcd:DE28B","Bollersdorf",,"unlcdf:3","unlcds:DEBB","unlcdc:DE","52.583332","14.05","DE28B"
"unlcd:DE29B","Bollewick",,"unlcdf:3","unlcds:DEMV","unlcdc:DE","53.35","12.583333","DE29B"
"unlcd:DE2AA","Alleshausen",,"unlcdf:3","unlcds:DEBW","unlcdc:DE","48.1","9.616667","DE2AA"
"unlcd:DE2AB","Allstedt",,"unlcdf:3","unlcds:DEST","unlcdc:DE","51.4","11.383333","DE2AB"
"unlcd:DE2AD","Alt Kätwin","Alt Katwin","unlcdf:3","unlcds:DEMV","unlcdc:DE","53.966667","12.316667","DE2AD"
"unlcd:DE2AE","Alt Poorstorf",,"unlcdf:3","unlcds:DEMV","unlcdc:DE","53.95","11.75","DE2AE"
"unlcd:DE2AF","Alt Tucheband",,"unlcdf:3","unlcds:DEBB","unlcdc:DE","52.533333","14.516666","DE2AF"
"unlcd:DE2AG","Altenahr",,"unlcdf:3","unlcds:DERP","unlcdc:DE","50.516666","7.0","DE2AG"
"unlcd:DE2AH","Altenbuch",,"unlcdf:3","unlcds:DEBY","unlcdc:DE","49.833332","9.4","DE2AH"
"unlcd:DE2AI","Altenhausen",,"unlcdf:3","unlcds:DEST","unlcdc:DE","52.25","11.25","DE2AI"
"unlcd:DE2AJ","Altenriet",,"unlcdf:3","unlcds:DEBW","unlcdc:DE","48.583332","9.216666","DE2AJ"
"unlcd:DE2AK","Altersbach",,"unlcdf:3","unlcds:DETH","unlcdc:DE","50.7","10.533334","DE2AK"
"unlcd:DE2AL","Altheimersberg",,"unlcdf:3","unlcds:DEBY","unlcdc:DE","48.916668","10.933333","DE2AL"
"unlcd:DE2AM","Altlay",,"unlcdf:3","unlcds:DERP","unlcdc:DE","49.983334","7.266667","DE2AM"
"unlcd:DE2AN","Altrich",,"unlcdf:3","unlcds:DERP","unlcdc:DE","49.95","6.9166665","DE2AN"
"unlcd:DE2AO","Altwigshagen",,"unlcdf:3","unlcds:DEMV","unlcdc:DE","53.7","13.833333","DE2AO"
"unlcd:DE2AP","Ammelstädt","Ammelstadt","unlcdf:3","unlcds:DETH","unlcdc:DE","50.733334","11.316667","DE2AP"
"unlcd:DE2AQ","Anderbeck",,"unlcdf:3","unlcds:DEST","unlcdc:DE","51.983334","10.933333","DE2AQ"
