"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:DK2DH","Tisvildeleje",,"unlcdf:2, unlcdf:3","unlcds:DK84","unlcdc:DK","56.05","12.083333","DK2DH"
"unlcd:DK2NK","Refsvindinge",,"unlcdf:3","unlcds:DK83","unlcdc:DK","55.283333","10.683333","DK2NK"
"unlcd:DKAAB","Åbenrå","Abenra","unlcdf:1, unlcdf:3","unlcds:DK83","unlcdc:DK","55.033333","9.433333","DKAAB"
"unlcd:DKAAE","Aarre",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.566666","8.666667","DKAAE"
"unlcd:DKAAF","Aalbaek",,"unlcdf:6","unlcds:DK81","unlcdc:DK","57.583332","10.4","DKAAF"
"unlcd:DKAAG","Bjaeverskov",,"unlcdf:6","unlcds:DK85","unlcdc:DK","55.45","12.033334","DKAAG"
"unlcd:DKAAH","Barrit",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.716667","9.9","DKAAH"
"unlcd:DKAAI","Oelsted",,"unlcdf:6","unlcds:DK84","unlcdc:DK","55.916668","120.71667","DKAAI"
"unlcd:DKAAJ","Ebberup",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.233334","9.966666","DKAAJ"
"unlcd:DKAAK","Fanoe",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.433334","8.383333","DKAAK"
"unlcd:DKAAL","Aalborg",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:DK81","unlcdc:DK","57.033333","90.916664","DKAAL"
"unlcd:DKAAM","Fakse",,"unlcdf:6","unlcds:DK85","unlcdc:DK","55.25","12.133333","DKAAM"
"unlcd:DKAAN","Glesborg",,"unlcdf:6","unlcds:DK82","unlcdc:DK","56.483334","10.733334","DKAAN"
"unlcd:DKAAO","Hurup Thy",,"unlcdf:6","unlcds:DK82","unlcdc:DK","56.75","8.416667","DKAAO"
"unlcd:DKAAP","Aarup",,"unlcdf:2, unlcdf:3",,"unlcdc:DK",,,"DKAAP"
"unlcd:DKAAR","Aarhus",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:DK82","unlcdc:DK","56.15","10.216666","DKAAR"
"unlcd:DKAAS","Vorbasse",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.633335","9.083333","DKAAS"
"unlcd:DKAAT","Lystrup",,"unlcdf:6","unlcds:DK82","unlcdc:DK","56.5","10.483334","DKAAT"
"unlcd:DKAAU","Langholt",,"unlcdf:6","unlcds:DK81","unlcdc:DK","57.1","10.083333","DKAAU"
"unlcd:DKAAV","Oure",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.116665","10.733334","DKAAV"
"unlcd:DKAAW","Oelgod",,"unlcdf:6","unlcds:DK83","unlcdc:DK","55.816666","8.616667","DKAAW"
"unlcd:DKAAZ","Reersoe",,"unlcdf:6","unlcds:DK85","unlcdc:DK","54.783333","11.633333","DKAAZ"
"unlcd:DKABA","Sønder Bjert","Sonder Bjert","unlcdf:6","unlcds:DK83","unlcdc:DK","55.25","11.4","DKABA"
"unlcd:DKABB","Stilling",,"unlcdf:6","unlcds:DK82","unlcdc:DK","56.066666","10.0","DKABB"
"unlcd:DKABE","Auning",,"unlcdf:6","unlcds:DK82","unlcdc:DK","56.433334","10.383333","DKABE"
"unlcd:DKABJ","Kirke Hyllinge",,"unlcdf:6","unlcds:DK85","unlcdc:DK","55.7","11.916667","DKABJ"
"unlcd:DKABK","Ålebæk","Alebak","unlcdf:3","unlcds:DK81","unlcdc:DK","57.016666","10.266666","DKABK"
"unlcd:DKABT","Albertslund",,"unlcdf:0",,"unlcdc:DK",,,"DKABT"
"unlcd:DKABY","Askeby",,"unlcdf:3","unlcds:DK83","unlcdc:DK","55.516666","10.216666","DKABY"
"unlcd:DKADN","Arden",,"unlcdf:3",,"unlcdc:DK",,,"DKADN"
"unlcd:DKAED","Agedrup",,"unlcdf:3","unlcds:DK83","unlcdc:DK","55.416668","10.5","DKAED"
"unlcd:DKAEY","Aalestrup",,"unlcdf:2, unlcdf:3",,"unlcdc:DK",,,"DKAEY"
"unlcd:DKAGD","Agerbæk","Agerbak","unlcdf:3","unlcds:DK83","unlcdc:DK","55.6","8.8","DKAGD"
"unlcd:DKAGE","Allinge",,"unlcdf:1, unlcdf:3",,"unlcdc:DK","55.266666","14.8","DKAGE"
"unlcd:DKAGH","Agger Havn",,"unlcdf:1, unlcdf:3",,"unlcdc:DK",,,"DKAGH"
"unlcd:DKAGO","Agersø","Agerso","unlcdf:1",,"unlcdc:DK",,,"DKAGO"
