"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:DOAZS","Samana International Apt",,"unlcdf:4","unlcds:DO20","unlcdc:DO","19.266666","-69.73333","DOAZS"
"unlcd:DOAZU","Azua",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:DO02","unlcdc:DO","18.45","-70.73333","DOAZU"
"unlcd:DOBAN","Baní","Bani","unlcdf:1, unlcdf:3",,"unlcdc:DO","18.283333","-70.333336","DOBAN"
"unlcd:DOBAV","Bavaro",,"unlcdf:1","unlcds:DO18","unlcdc:DO","-18.716667","-68.45","DOBAV"
"unlcd:DOBCC","Boca Chica",,"unlcdf:1",,"unlcdc:DO",,,"DOBCC"
"unlcd:DOBNO","Bonao",,"unlcdf:6","unlcds:DO28","unlcdc:DO","18.933332","-70.4","DOBNO"
"unlcd:DOBQL","Barcequillo",,"unlcdf:1","unlcds:DO21","unlcdc:DO","18.433332","-70.03333","DOBQL"
"unlcd:DOBRX","Barahona",,"unlcdf:1, unlcdf:4",,"unlcdc:DO",,,"DOBRX"
"unlcd:DOCAI","Catalina Island",,"unlcdf:1","unlcds:DO12","unlcdc:DO","18.366667","-69.0","DOCAI"
"unlcd:DOCAL","Cayo Levantado",,"unlcdf:1","unlcds:DO20","unlcdc:DO","19.2","-69.316666","DOCAL"
"unlcd:DOCAU","Caucedo",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:DO01","unlcdc:DO","18.416666","-69.63333","DOCAU"
"unlcd:DOCBJ","Cabo Rojo",,"unlcdf:1, unlcdf:4",,"unlcdc:DO",,,"DOCBJ"
"unlcd:DOCDC","Casa de Campo",,"unlcdf:1","unlcds:DO12","unlcdc:DO","18.4","-68.9","DOCDC"
"unlcd:DOCTI","Cotuí","Cotui","unlcdf:3","unlcds:DO24","unlcdc:DO","19.05","-70.15","DOCTI"
"unlcd:DODAJ","Dajabón","Dajabon","unlcdf:3",,"unlcdc:DO","19.55","-71.7","DODAJ"
"unlcd:DOEPI","Ensanche Piantini",,"unlcdf:3","unlcds:DO32","unlcdc:DO","18.466667","-69.95","DOEPI"
"unlcd:DOEPS","El Portillo/Samana",,"unlcdf:4","unlcds:DO20","unlcdc:DO","19.333334","-69.5","DOEPS"
"unlcd:DOESP","Esperanza",,"unlcdf:7",,"unlcdc:DO","18.566668","-71.51667","DOESP"
"unlcd:DOGAZ","Gaspar Hernandez",,"unlcdf:3","unlcds:DO09","unlcdc:DO","-19.616667","-70.28333","DOGAZ"
"unlcd:DOGRA","Guerra",,"unlcdf:6","unlcds:DO01","unlcdc:DO","18.55","-69.7","DOGRA"
"unlcd:DOGRB","Gurabo",,"unlcdf:3","unlcds:DO25","unlcdc:DO","-19.333334","-70.78333","DOGRB"
"unlcd:DOGYB","Guayubín","Guayubin","unlcdf:2","unlcds:DO15","unlcdc:DO","-19.616667","-71.316666","DOGYB"
"unlcd:DOHAI","Rio Haina",,"unlcdf:1",,"unlcdc:DO",,,"DOHAI"
"unlcd:DOHAN","Hato Nuevo",,"unlcdf:3","unlcds:DO29","unlcdc:DO","18.783333","-69.71667","DOHAN"
"unlcd:DOHDY","Hato del Yaque",,"unlcdf:6",,"unlcdc:DO","19.466667","-70.76667","DOHDY"
"unlcd:DOHIG","Higüey","Higuey","unlcdf:1","unlcds:DO21","unlcdc:DO","18.45","-70.26667","DOHIG"
"unlcd:DOHMR","Hato Mayor del Rey",,"unlcdf:3","unlcds:DO30","unlcdc:DO","-18.766666","-69.25","DOHMR"
"unlcd:DOINA","Haina",,"unlcdf:1",,"unlcdc:DO","18.416666","-69.98333","DOINA"
"unlcd:DOJBC","Jarabacoa",,"unlcdf:6","unlcds:DO13","unlcdc:DO","19.116667","-70.63333","DOJBC"
"unlcd:DOJDL","Juan Dolio",,"unlcdf:6",,"unlcdc:DO","18.416666","-69.416664","DOJDL"
"unlcd:DOJIM","Jimaní","Jimani","unlcdf:3",,"unlcdc:DO","18.483334","-71.85","DOJIM"
"unlcd:DOJQB","Higuero",,"unlcdf:4","unlcds:DO01","unlcdc:DO","18.566668","-69.98333","DOJQB"
"unlcd:DOLAL","Los Alcarrizos",,"unlcdf:7",,"unlcdc:DO","18.516666","-70.166664","DOLAL"
"unlcd:DOLAV","La Vega",,"unlcdf:7",,"unlcdc:DO","19.216667","-70.51667","DOLAV"
"unlcd:DOLCS","Las Calderas",,"unlcdf:6","unlcds:DO17","unlcdc:DO","18.216667","-70.5","DOLCS"
"unlcd:DOLCY","Licey",,"unlcdf:6","unlcds:DO25","unlcdc:DO","19.45","-70.63333","DOLCY"
"unlcd:DOLGY","Los Guayabos",,"unlcdf:3","unlcds:DO17","unlcdc:DO","18.6","-70.51667","DOLGY"
"unlcd:DOLPD","Los Prados",,"unlcdf:3","unlcds:DO32","unlcdc:DO","18.466667","-69.95","DOLPD"
"unlcd:DOLRM","La Romana",,"unlcdf:1",,"unlcdc:DO",,,"DOLRM"
"unlcd:DOLUP","Luperon",,"unlcdf:6","unlcds:DO18","unlcdc:DO","19.9","-70.95","DOLUP"
"unlcd:DOLVC","Constanza",,"unlcdf:6","unlcds:DO13","unlcdc:DO","18.916666","-70.75","DOLVC"
"unlcd:DOMAN","Manzanillo",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:DO","19.7","-71.75","DOMAN"
"unlcd:DOMAO","Mao",,"unlcdf:6","unlcds:DO27","unlcdc:DO","19.566668","-71.833336","DOMAO"
"unlcd:DOMCA","Moca",,"unlcdf:6",,"unlcdc:DO","19.383333","-70.51667","DOMCA"
"unlcd:DOMCR","San Fernando de Monte Cristi",,"unlcdf:3",,"unlcdc:DO","19.85","-71.65","DOMCR"
"unlcd:DOMPT","Monte Plata",,"unlcdf:3","unlcds:DO29","unlcdc:DO","18.8","-69.78333","DOMPT"
"unlcd:DOMTZ","Matanza",,"unlcdf:3","unlcds:DO25","unlcdc:DO","19.4","-70.666664","DOMTZ"
"unlcd:DONAG","Nagua",,"unlcdf:6",,"unlcdc:DO","19.383333","-69.833336","DONAG"
"unlcd:DONEI","Neiba",,"unlcdf:2, unlcdf:3","unlcds:DO03","unlcdc:DO","18.483334","-71.416664","DONEI"
"unlcd:DONGA","Nigua",,"unlcdf:6",,"unlcdc:DO","18.366667","-70.05","DONGA"
"unlcd:DOOCO","Ocoa Bay",,"unlcdf:1",,"unlcdc:DO","18.616667","-71.083336","DOOCO"
"unlcd:DOPAL","Puerto Palenque",,"unlcdf:1, unlcdf:3",,"unlcdc:DO","18.233334","-70.15","DOPAL"
"unlcd:DOPCN","Punta Cana",,"unlcdf:3","unlcds:DO22","unlcdc:DO","18.8","-71.566666","DOPCN"
"unlcd:DOPDB","Pedro Brand",,"unlcdf:6","unlcds:DO01","unlcdc:DO","18.533333","-70.1","DOPDB"
"unlcd:DOPDR","Pedernales",,"unlcdf:1",,"unlcdc:DO",,,"DOPDR"
"unlcd:DOPIA","Piedra Blanca",,"unlcdf:3","unlcds:DO28","unlcdc:DO","-18.833334","-70.3","DOPIA"
"unlcd:DOPIL","Piloto",,"unlcdf:6","unlcds:DO15","unlcdc:DO","19.6","-71.2","DOPIL"
"unlcd:DOPIM","Pimentel",,"unlcdf:2, unlcdf:3, unlcdf:6",,"unlcdc:DO","19.183332","-70.1","DOPIM"
"unlcd:DOPLB","Palabe",,"unlcdf:3","unlcds:DO01","unlcdc:DO","18.483334","-70.066666","DOPLB"
"unlcd:DOPOP","Puerto Plata",,"unlcdf:1",,"unlcdc:DO",,,"DOPOP"
"unlcd:DOPUD","Puerto Duarte",,"unlcdf:0",,"unlcdc:DO",,,"DOPUD"
"unlcd:DOPUJ","Punta Cana Apt",,"unlcdf:3, unlcdf:4",,"unlcdc:DO","18.566668","-68.35","DOPUJ"
"unlcd:DOPUO","Puerto Libertador",,"unlcdf:1",,"unlcdc:DO",,,"DOPUO"
"unlcd:DOPVA","Puerto Viejo de Azua",,"unlcdf:1",,"unlcdc:DO","18.333334","-70.833336","DOPVA"
"unlcd:DOSAL","Salcedo",,"unlcdf:3",,"unlcdc:DO","19.416666","-70.38333","DOSAL"
"unlcd:DOSAM","Santa Bárbara de Samaná","Santa Barbara de Samana","unlcdf:3",,"unlcdc:DO","19.2","-69.316666","DOSAM"
"unlcd:DOSCL","San Carlos",,"unlcdf:6",,"unlcdc:DO","18.483334","-69.9","DOSCL"
"unlcd:DOSCR","San Cristobal",,"unlcdf:3",,"unlcdc:DO",,,"DOSCR"
