"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:DZ2ON","Oran Dry Port",,"unlcdf:1, unlcdf:6","unlcds:DZ31","unlcdc:DZ","35.683334","-0.6333333","DZ2ON"
"unlcd:DZA8L","Ain Benian",,"unlcdf:3","unlcds:DZ42","unlcdc:DZ","36.8","2.9166667","DZA8L"
"unlcd:DZAAE","Annaba (ex Bone)",,"unlcdf:1, unlcdf:4",,"unlcdc:DZ",,,"DZAAE"
"unlcd:DZADA","Aïn Defla","Ain Defla","unlcdf:3","unlcds:DZ44","unlcdc:DZ","36.266666","1.9666667","DZADA"
"unlcd:DZAIN","'Aïn Benian","'Ain Benian","unlcdf:6","unlcds:DZ42","unlcdc:DZ","36.8","2.9166667","DZAIN"
"unlcd:DZALG","Alger (Algiers)",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5, unlcdf:6","unlcds:DZ16","unlcdc:DZ","36.75","3.05","DZALG"
"unlcd:DZANI","L'Arbaa Naït Irathen","L'Arbaa Nait Irathen","unlcdf:3",,"unlcdc:DZ","36.633335","4.1833334","DZANI"
"unlcd:DZATT","Ain Touta",,"unlcdf:3","unlcds:DZ05","unlcdc:DZ","35.366665","5.883333","DZATT"
"unlcd:DZATY","Ain Taya",,"unlcdf:6","unlcds:DZ16","unlcdc:DZ","36.783333","3.2833333","DZATY"
"unlcd:DZAZA","Tipaza",,"unlcdf:3","unlcds:DZ01","unlcdc:DZ",,,"DZAZA"
"unlcd:DZAZO","Aïn Zaouia","Ain Zaouia","unlcdf:3","unlcds:DZ15","unlcdc:DZ","36.533333","3.8833332","DZAZO"
"unlcd:DZAZR","Adrar",,"unlcdf:4","unlcds:DZ01","unlcdc:DZ","27.866667","-0.28333333","DZAZR"
"unlcd:DZAZW","Arzew",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:DZ","35.866665","-0.31666666","DZAZW"
"unlcd:DZBEK","Bordj El Kiffan",,"unlcdf:3","unlcds:DZ16","unlcdc:DZ","36.733334","3.1833334","DZBEK"
"unlcd:DZBHA","Bethioua",,"unlcdf:1","unlcds:DZ31","unlcdc:DZ","35.8","-0.26666668","DZBHA"
"unlcd:DZBIM","Bir Mourad Raïs","Bir Mourad Rais","unlcdf:3","unlcds:DZ42","unlcdc:DZ","36.733334","3.0333333","DZBIM"
"unlcd:DZBIR","Birtouta",,"unlcdf:3","unlcds:DZ42","unlcdc:DZ","36.65","3.0","DZBIR"
"unlcd:DZBIU","Bouinane",,"unlcdf:1, unlcdf:3","unlcds:DZ09","unlcdc:DZ",,,"DZBIU"
"unlcd:DZBJA","Bejaia (ex Bougie)",,"unlcdf:1, unlcdf:4",,"unlcdc:DZ",,,"DZBJA"
"unlcd:DZBLD","Blida",,"unlcdf:6","unlcds:DZ09","unlcdc:DZ","36.466667","2.8166666","DZBLD"
"unlcd:DZBLJ","Batna",,"unlcdf:4","unlcds:DZ05","unlcdc:DZ","35.55","6.1666665","DZBLJ"
"unlcd:DZBMR","Beni Mered",,"unlcdf:6",,"unlcdc:DZ","36.516666","2.85","DZBMR"
"unlcd:DZBMW","Bordj Badj Mokthar",,"unlcdf:4",,"unlcdc:DZ",,,"DZBMW"
"unlcd:DZBNN","Bouinan",,"unlcdf:3","unlcds:DZ09","unlcdc:DZ","36.516666","2.9833333","DZBNN"
"unlcd:DZBO7","Sour El Ghozlane",,"unlcdf:3","unlcds:DZ10","unlcdc:DZ","36.15","3.6833334","DZBO7"
"unlcd:DZBOM","Bordj Menaïel","Bordj Menaiel","unlcdf:2, unlcdf:3",,"unlcdc:DZ","36.733334","3.7","DZBOM"
"unlcd:DZBOR","Bordj Bou Arreridj",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:DZ34","unlcdc:DZ","36.066666","4.7666664","DZBOR"
"unlcd:DZBOU","Boumerdas",,"unlcdf:3","unlcds:DZ35","unlcdc:DZ","36.766666","3.4666667","DZBOU"
"unlcd:DZBRK","Baraki",,"unlcdf:3","unlcds:DZ42","unlcdc:DZ","36.666668","3.0833333","DZBRK"
"unlcd:DZBSF","Benisaf",,"unlcdf:1",,"unlcdc:DZ","35.283333","-1.3833333","DZBSF"
"unlcd:DZBSK","Biskra",,"unlcdf:4",,"unlcdc:DZ","34.85","5.7333336","DZBSK"
"unlcd:DZBTA","Bethoula",,"unlcdf:1",,"unlcdc:DZ",,,"DZBTA"
"unlcd:DZBUJ","Ain Eddis Apt/Bou Saada",,"unlcdf:4","unlcds:DZ28","unlcdc:DZ","35.316666","4.35","DZBUJ"
"unlcd:DZCAN","Canastel",,"unlcdf:3","unlcds:DZ31","unlcdc:DZ","35.75","-0.55","DZCAN"
"unlcd:DZCBH","Bechar",,"unlcdf:4","unlcds:DZ08","unlcdc:DZ","31.616667","-2.2166667","DZCBH"
"unlcd:DZCEA","Cheghoum-el-Aid",,"unlcdf:3","unlcds:DZ43","unlcdc:DZ","36.15","6.15","DZCEA"
"unlcd:DZCHE","Cherchell",,"unlcdf:1, unlcdf:3",,"unlcdc:DZ","36.6","2.2","DZCHE"
"unlcd:DZCHF","Chiffa",,"unlcdf:6","unlcds:DZ09","unlcdc:DZ","36.45","2.7333333","DZCHF"
"unlcd:DZCLE","La Calle",,"unlcdf:3",,"unlcdc:DZ",,,"DZCLE"
"unlcd:DZCLF","Chlef",,"unlcdf:3, unlcdf:6","unlcds:DZ02","unlcdc:DZ","36.15","1.3333334","DZCLF"
"unlcd:DZCOL","Collo",,"unlcdf:1, unlcdf:3",,"unlcdc:DZ","37.016666","6.55","DZCOL"
"unlcd:DZCTN","Chetouane",,"unlcdf:3","unlcds:DZ13","unlcdc:DZ","34.916668","-1.2833333","DZCTN"
"unlcd:DZCZL","Constantine",,"unlcdf:4",,"unlcdc:DZ",,,"DZCZL"
"unlcd:DZD2H","Bir Mourad Rais",,"unlcdf:3","unlcds:DZ16","unlcdc:DZ","36.733334","3.0333333","DZD2H"
