"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ECARE","Arenillas",,"unlcdf:3","unlcds:ECO","unlcdc:EC","-3.55","-80.066666","ECARE"
"unlcd:ECATF","Ambato",,"unlcdf:3, unlcdf:4",,"unlcdc:EC",,,"ECATF"
"unlcd:ECATI","Atuntaqui",,"unlcdf:3","unlcds:ECI","unlcdc:EC","0.33333334","-78.21667","ECATI"
"unlcd:ECAYO","Puerto Ayora, Isla Santa Cruz",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-0.75","-90.316666","ECAYO"
"unlcd:ECBAL","Balzar",,"unlcdf:3","unlcds:ECG","unlcdc:EC","-1.3666667","-79.9","ECBAL"
"unlcd:ECBAQ","Puerto Baquerizo Moreno",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-0.9","-89.6","ECBAQ"
"unlcd:ECBAS","Banos",,"unlcdf:3","unlcds:ECT","unlcdc:EC","-1.4","-78.416664","ECBAS"
"unlcd:ECBBA","Baba",,"unlcdf:3","unlcds:ECR","unlcdc:EC","-1.7833333","-79.666664","ECBBA"
"unlcd:ECBHA","Bahía de Caráquez","Bahia de Caraquez","unlcdf:1, unlcdf:4","unlcds:ECM","unlcdc:EC","-0.55","-80.5","ECBHA"
"unlcd:ECBLI","Bartolome Island",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-0.28333333","-90.55","ECBLI"
"unlcd:ECBOD","Samborondon",,"unlcdf:6",,"unlcdc:EC","-2.1833334","-79.88333","ECBOD"
"unlcd:ECBUF","Buena Fe",,"unlcdf:3","unlcds:ECR","unlcdc:EC","-0.9","-79.48333","ECBUF"
"unlcd:ECBYO","Babahoyo",,"unlcdf:3","unlcds:ECR","unlcdc:EC",,,"ECBYO"
"unlcd:ECCAR","Pedro Carbo",,"unlcdf:1, unlcdf:3",,"unlcdc:EC",,,"ECCAR"
"unlcd:ECCAT","Caleta Tagus",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-0.25","-91.36667","ECCAT"
"unlcd:ECCAY","Cayambe",,"unlcdf:3","unlcds:ECP","unlcdc:EC","0.5","-78.13333","ECCAY"
"unlcd:ECCHA","Chanduy",,"unlcdf:3","unlcds:ECG","unlcdc:EC","-2.4166667","-80.666664","ECCHA"
"unlcd:ECCHG","Chongón","Chongon","unlcdf:3, unlcdf:6","unlcds:ECG","unlcdc:EC","-2.2333333","-80.066666","ECCHG"
"unlcd:ECCHI","Cumandá","Cumanda","unlcdf:3","unlcds:ECH","unlcdc:EC","-2.2","-79.13333","ECCHI"
"unlcd:ECCHM","Chambo",,"unlcdf:6","unlcds:ECH","unlcdc:EC","1.7333333","-78.583336","ECCHM"
"unlcd:ECCLE","Clementina",,"unlcdf:3","unlcds:ECR","unlcdc:EC","-1.7833333","-79.46667","ECCLE"
"unlcd:ECCMM","Coronel Marcelino Mariduena",,"unlcdf:3","unlcds:ECG","unlcdc:EC","-2.2","-79.416664","ECCMM"
"unlcd:ECCNT","Canuto",,"unlcdf:3","unlcds:ECM","unlcdc:EC","-0.8","-80.11667","ECCNT"
"unlcd:ECCRT","Cerecita",,"unlcdf:3","unlcds:ECG","unlcdc:EC","-2.35","-80.28333","ECCRT"
"unlcd:ECCTI","Cotacachi",,"unlcdf:6","unlcds:ECI","unlcdc:EC","0.3","-78.26667","ECCTI"
"unlcd:ECCTM","Catarama",,"unlcdf:3","unlcds:ECR","unlcdc:EC","-1.5833333","-79.46667","ECCTM"
"unlcd:ECCUA","Cumbaya",,"unlcdf:3","unlcds:ECP","unlcdc:EC","-0.2","-78.433334","ECCUA"
"unlcd:ECCUE","Cuenca",,"unlcdf:3, unlcdf:4","unlcds:ECA","unlcdc:EC","-2.8833332","-78.98333","ECCUE"
"unlcd:ECDAL","Daule",,"unlcdf:3",,"unlcdc:EC","-1.8333333","-79.933334","ECDAL"
"unlcd:ECDUN","Durán","Duran","unlcdf:1","unlcds:ECG","unlcdc:EC","-2.2","-79.833336","ECDUN"
"unlcd:ECEBL","Balao",,"unlcdf:1",,"unlcdc:EC",,,"ECEBL"
"unlcd:ECEGO","El Guabo",,"unlcdf:6",,"unlcdc:EC","-2.65","-79.71667","ECEGO"
"unlcd:ECELC","El Carmen",,"unlcdf:3, unlcdf:6","unlcds:ECM","unlcdc:EC","-0.26666668","-79.433334","ECELC"
"unlcd:ECEMP","El Empalme",,"unlcdf:3","unlcds:ECG","unlcdc:EC","-1.05","-79.61667","ECEMP"
"unlcd:ECEQA","Quininde",,"unlcdf:6","unlcds:ECE","unlcdc:EC","0.33333334","-79.46667","ECEQA"
"unlcd:ECEQB","Bucay",,"unlcdf:6","unlcds:ECG","unlcdc:EC","-2.6833334","-79.666664","ECEQB"
"unlcd:ECEQC","Chone",,"unlcdf:6","unlcds:ECM","unlcdc:EC","-0.68333334","-80.1","ECEQC"
"unlcd:ECEQD","El Triunfo",,"unlcdf:6","unlcds:ECT","unlcdc:EC","-1.3","-78.4","ECEQD"
"unlcd:ECEQH","El Quinche",,"unlcdf:3","unlcds:ECP","unlcdc:EC","-0.1","-78.28333","ECEQH"
"unlcd:ECESM","Esmeraldas",,"unlcdf:1, unlcdf:4","unlcds:ECE","unlcdc:EC","0.98333335","-79.7","ECESM"
"unlcd:ECESP","Espanola Island",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-1.3833333","-89.683334","ECESP"
"unlcd:ECFLO","Floreana Island",,"unlcdf:1","unlcds:ECW","unlcdc:EC","-1.3","-90.433334","ECFLO"
"unlcd:ECGBB","Guayllabamba",,"unlcdf:3","unlcds:ECP","unlcdc:EC","-0.5","-78.333336","ECGBB"
"unlcd:ECGNO","Guano",,"unlcdf:6","unlcds:ECH","unlcdc:EC","-1.5833333","-78.63333","ECGNO"
"unlcd:ECGPS","Galapagos Islands",,"unlcdf:4",,"unlcdc:EC",,,"ECGPS"
"unlcd:ECGUA","Guayas",,"unlcdf:1, unlcdf:6","unlcds:ECG","unlcdc:EC","-0.96666664","-79.55","ECGUA"
"unlcd:ECGUO","Gualaceo",,"unlcdf:3","unlcds:ECA","unlcdc:EC","-2.9","-78.78333","ECGUO"
"unlcd:ECGYE","Guayaquil",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:ECG","unlcdc:EC","-2.1666667","-79.9","ECGYE"
