"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:EEAAR","Aaravete",,"unlcdf:3","unlcds:EE52","unlcdc:EE","59.133335","25.75","EEAAR"
"unlcd:EEAAV","Aaviku",,"unlcdf:3","unlcds:EE37","unlcdc:EE",,,"EEAAV"
"unlcd:EEABJ","Abaja Sadam",,"unlcdf:1","unlcds:EE74","unlcdc:EE","58.366665","22.016666","EEABJ"
"unlcd:EEABR","Abruka",,"unlcdf:1","unlcds:EE74","unlcdc:EE","58.166668","22.533333","EEABR"
"unlcd:EEADV","Admirali Väikesadam","Admirali Vaikesadam","unlcdf:1","unlcds:EE68","unlcdc:EE","58.533333","23.683332","EEADV"
"unlcd:EEAEA","Tamsalu",,"unlcdf:6","unlcds:EE60","unlcdc:EE","59.15","26.1","EEAEA"
"unlcd:EEAEB","Aasmäe","Aasmae","unlcdf:6","unlcds:EE37","unlcdc:EE","59.233334","24.5","EEAEB"
"unlcd:EEAEC","Alatskivi",,"unlcdf:6","unlcds:EE79","unlcdc:EE","58.583332","27.133333","EEAEC"
"unlcd:EEAEE","Põdra","Podra","unlcdf:3, unlcdf:6","unlcds:EE79","unlcdc:EE","58.483334","27.066668","EEAEE"
"unlcd:EEAEF","Parksepa",,"unlcdf:6","unlcds:EE87","unlcdc:EE","57.9","26.966667","EEAEF"
"unlcd:EEAEG","Rapla",,"unlcdf:6","unlcds:EE71","unlcdc:EE","59.0","24.783333","EEAEG"
"unlcd:EEAEH","Tabasalu",,"unlcdf:6","unlcds:EE37","unlcdc:EE","59.416668","24.516666","EEAEH"
"unlcd:EEAEI","Püssi","Pussi","unlcdf:6","unlcds:EE45","unlcdc:EE","59.35","27.033333","EEAEI"
"unlcd:EEAEN","Aegna",,"unlcdf:1","unlcds:EE37","unlcdc:EE","59.566666","24.75","EEAEN"
"unlcd:EEAHJ","Ahja",,"unlcdf:3","unlcds:EE64","unlcdc:EE","58.2","27.066668","EEAHJ"
"unlcd:EEAHO","Ahoi Jõesadam","Ahoi Joesadam","unlcdf:1","unlcds:EE74","unlcdc:EE","58.216667","22.366667","EEAHO"
"unlcd:EEAKS","Alajõe Kalasadam","Alajoe Kalasadam","unlcdf:1","unlcds:EE45","unlcdc:EE","59.0","27.433332","EEAKS"
"unlcd:EEALJ","Alajõe","Alajoe","unlcdf:0","unlcds:EE45","unlcdc:EE","59.016666","27.433332","EEALJ"
"unlcd:EEALU","Alliku",,"unlcdf:2, unlcdf:3","unlcds:EE37","unlcdc:EE","59.35","24.55","EEALU"
"unlcd:EEAMB","Ambla",,"unlcdf:3","unlcds:EE52","unlcdc:EE","59.183334","25.833334","EEAMB"
"unlcd:EEANT","Antsla",,"unlcdf:3","unlcds:EE87","unlcdc:EE","57.833332","26.516666","EEANT"
"unlcd:EEAPL","Abja-Paluoja",,"unlcdf:3","unlcds:EE84","unlcdc:EE","58.116665","25.383333","EEAPL"
"unlcd:EEARD","Ardu",,"unlcdf:3","unlcds:EE37","unlcdc:EE","59.1","25.366667","EEARD"
"unlcd:EEARK","Arkna",,"unlcdf:3","unlcds:EE45","unlcdc:EE","59.566666","26.366667","EEARK"
"unlcd:EEARU","Aruküla","Arukula","unlcdf:3","unlcds:EE37","unlcdc:EE","59.183334","24.466667","EEARU"
"unlcd:EEASE","Aseri",,"unlcdf:1, unlcdf:3","unlcds:EE45","unlcdc:EE","59.45","26.866667","EEASE"
"unlcd:EEASV","Aseri Väikesadam","Aseri Vaikesadam","unlcdf:1","unlcds:EE60","unlcdc:EE","59.45","26.866667","EEASV"
"unlcd:EEATL","Atla",,"unlcdf:1","unlcds:EE74","unlcdc:EE","58.3","21.9","EEATL"
"unlcd:EEAUD","Audru",,"unlcdf:3","unlcds:EE68","unlcdc:EE","58.4","24.366667","EEAUD"
"unlcd:EEBEK","Bekkeri",,"unlcdf:1, unlcdf:B","unlcds:EE37","unlcdc:EE","59.45","24.65","EEBEK"
"unlcd:EEDIR","Dirhami",,"unlcdf:1, unlcdf:B","unlcds:EE56","unlcdc:EE","59.216667","23.5","EEDIR"
"unlcd:EEDOB","Doberani",,"unlcdf:0","unlcds:EE68","unlcdc:EE","58.383335","24.366667","EEDOB"
"unlcd:EEEBA","Ebavere",,"unlcdf:3","unlcds:EE59","unlcdc:EE","59.116665","26.233334","EEEBA"
"unlcd:EEEIS","Eisma",,"unlcdf:1","unlcds:EE60","unlcdc:EE","59.566666","26.3","EEEIS"
"unlcd:EEELV","Elva",,"unlcdf:3","unlcds:EE79","unlcdc:EE","58.233334","26.416666","EEELV"
"unlcd:EEERV","Ervu",,"unlcdf:6","unlcds:EE79","unlcdc:EE",,,"EEERV"
