"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:EG6HB","An Nubariyah",,"unlcdf:3","unlcds:EGBH","unlcdc:EG","30.65","30.066668","EG6HB"
"unlcd:EGAAC","El'Arish",,"unlcdf:3, unlcdf:4",,"unlcdc:EG",,,"EGAAC"
"unlcd:EGABE","Al Bahr El Ahmer",,"unlcdf:6",,"unlcdc:EG",,,"EGABE"
"unlcd:EGABS","Abu Simbel",,"unlcdf:4",,"unlcdc:EG",,,"EGABS"
"unlcd:EGADA","Al Adabiyah",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:EG","29.866667","32.466667","EGADA"
"unlcd:EGAGN","Abu Ghosoun",,"unlcdf:1, unlcdf:3",,"unlcdc:EG","24.45","35.2","EGAGN"
"unlcd:EGAGZ","Al Jizah (Giza)",,"unlcdf:3","unlcds:EGGZ","unlcdc:EG","30.0","31.216667","EGAGZ"
"unlcd:EGAHM","Al Haram",,"unlcdf:6","unlcds:EGGZ","unlcdc:EG","29.45","31.166666","EGAHM"
"unlcd:EGAIS","Ain Sukhna",,"unlcdf:1",,"unlcdc:EG",,,"EGAIS"
"unlcd:EGAKI","Abu Kir",,"unlcdf:1",,"unlcdc:EG",,,"EGAKI"
"unlcd:EGALA","Almazah",,"unlcdf:3","unlcds:EGC","unlcdc:EG","30.083334","31.35","EGALA"
"unlcd:EGALM","Al Mansurah",,"unlcdf:2, unlcdf:3","unlcds:EGDK","unlcdc:EG","31.033333","31.366667","EGALM"
"unlcd:EGALY","El Iskandariya (Alexandria)",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:EGALX","unlcdc:EG","31.183332","29.916666","EGALY"
"unlcd:EGAMA","Al Monofiya",,"unlcdf:6",,"unlcdc:EG",,,"EGAMA"
"unlcd:EGAQU","Al Qusayr",,"unlcdf:1, unlcdf:3","unlcds:EGBA","unlcdc:EG","26.1","34.283333","EGAQU"
"unlcd:EGAST","Asyut",,"unlcdf:2, unlcdf:3","unlcds:EGAST","unlcdc:EG","27.183332","31.183332","EGAST"
"unlcd:EGASW","Aswan",,"unlcdf:4",,"unlcdc:EG",,,"EGASW"
"unlcd:EGATZ","Assiut",,"unlcdf:4",,"unlcdc:EG","27.183332","31.183332","EGATZ"
"unlcd:EGAUE","Abu Rudeis",,"unlcdf:1, unlcdf:4",,"unlcdc:EG",,,"EGAUE"
"unlcd:EGAWE","Al Wadi El Gedeed",,"unlcdf:6",,"unlcdc:EG",,,"EGAWE"
"unlcd:EGAZA","Abu Zenimah",,"unlcdf:1","unlcds:EGJS","unlcdc:EG","29.05","33.1","EGAZA"
"unlcd:EGBAH","Bahtim",,"unlcdf:6",,"unlcdc:EG","30.133333","31.266666","EGBAH"
"unlcd:EGBBS","Bilbays",,"unlcdf:3","unlcds:EGSHR","unlcdc:EG","30.416666","31.566668","EGBBS"
"unlcd:EGBDR","Badr",,"unlcdf:6","unlcds:EGC","unlcdc:EG","30.133333","31.716667","EGBDR"
"unlcd:EGBEH","El Beheirah",,"unlcdf:6",,"unlcdc:EG","31.083334","30.466667","EGBEH"
"unlcd:EGBEN","Beni Suef",,"unlcdf:6",,"unlcdc:EG","29.066668","31.083334","EGBEN"
"unlcd:EGBGB","Atakka Dry Port",,"unlcdf:1","unlcds:EGSUZ","unlcdc:EG","32.1","33.0","EGBGB"
"unlcd:EGBHE","Ezbet Osman Murtada",,"unlcdf:6","unlcds:EGBH","unlcdc:EG",,,"EGBHE"
"unlcd:EGBNH","Banha",,"unlcdf:3, unlcdf:6","unlcds:EGMNF","unlcdc:EG","30.45","31.183332","EGBNH"
"unlcd:EGBRO","Obour",,"unlcdf:3","unlcds:EGKB","unlcdc:EG","30.2","31.45","EGBRO"
"unlcd:EGCA7","New Cairo",,"unlcdf:0","unlcds:EGC","unlcdc:EG","30.033333","31.433332","EGCA7"
"unlcd:EGCAI","El Qahira (Cairo)",,"unlcdf:4, unlcdf:5","unlcds:EGC","unlcdc:EG","30.05","31.25","EGCAI"
"unlcd:EGDAK","Dakhla",,"unlcdf:4",,"unlcdc:EG","25.4","29.0","EGDAK"
"unlcd:EGDAM","Dumyat (Damietta)",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:EG","31.416666","31.816668","EGDAM"
"unlcd:EGDBB","Al Alamein International Apt/Daaba City",,"unlcdf:4","unlcds:EGMT","unlcdc:EG","30.916666","28.45","EGDBB"
"unlcd:EGDMN","Damanhour",,"unlcdf:4",,"unlcdc:EG",,,"EGDMN"
"unlcd:EGDOM","Dome Marina",,"unlcdf:1, unlcdf:3","unlcds:EGSUZ","unlcdc:EG","29.433332","32.483334","EGDOM"
"unlcd:EGEDA","El Dekhela",,"unlcdf:6",,"unlcdc:EG",,,"EGEDA"
"unlcd:EGEDK","El Dekheila",,"unlcdf:1",,"unlcdc:EG",,,"EGEDK"
"unlcd:EGEEG","An Nukhaylah",,"unlcdf:0","unlcds:EGAST","unlcdc:EG","27.016666","31.35","EGEEG"
"unlcd:EGELK","Al Qantarah El Sharqiyya",,"unlcdf:3","unlcds:EGSIN","unlcdc:EG","30.85","32.3","EGELK"
"unlcd:EGELT","Tour Sinai City",,"unlcdf:4",,"unlcdc:EG","28.216667","33.616665","EGELT"
"unlcd:EGEMY","Minyat Al Hayt",,"unlcdf:4","unlcds:EGFYM","unlcdc:EG","29.216667","30.733334","EGEMY"
"unlcd:EGEOB","El Obour",,"unlcdf:0","unlcds:EGDK","unlcdc:EG",,,"EGEOB"
"unlcd:EGEPP","Marsa Egyptian Propylene & Polypropylene",,"unlcdf:1, unlcdf:3","unlcds:EGPTS","unlcdc:EG","31.3","32.15","EGEPP"
"unlcd:EGFAD","Fa'id",,"unlcdf:0",,"unlcdc:EG","30.316668","32.316666","EGFAD"
"unlcd:EGFAN","Fanara",,"unlcdf:0",,"unlcdc:EG",,,"EGFAN"
"unlcd:EGGAL","Galala Marina",,"unlcdf:1, unlcdf:3","unlcds:EGSUZ","unlcdc:EG","29.466667","32.433334","EGGAL"
"unlcd:EGGEI","Geisum Terminal",,"unlcdf:1",,"unlcdc:EG",,,"EGGEI"
"unlcd:EGGLB","Port Ghalib",,"unlcdf:1, unlcdf:3","unlcds:EGBA","unlcdc:EG","25.533333","34.633335","EGGLB"
"unlcd:EGGSQ","Shark El Oweinat",,"unlcdf:4",,"unlcdc:EG","22.583334","28.7","EGGSQ"
"unlcd:EGGUA","El-Guna (El Gouna)",,"unlcdf:1, unlcdf:3","unlcds:EGBA","unlcdc:EG","27.383333","33.666668","EGGUA"
"unlcd:EGHAL","Halaib",,"unlcdf:0",,"unlcdc:EG",,,"EGHAL"
"unlcd:EGHAM","Hamrawein",,"unlcdf:1",,"unlcdc:EG",,,"EGHAM"
"unlcd:EGHBE","Burj al Arab",,"unlcdf:3, unlcdf:4, unlcdf:6",,"unlcdc:EG","30.9","29.55","EGHBE"
"unlcd:EGHEL","Heliopolis",,"unlcdf:0","unlcds:EGC","unlcdc:EG",,,"EGHEL"
"unlcd:EGHHD","Samannud",,"unlcdf:2, unlcdf:6","unlcds:EGGH","unlcdc:EG","30.95","31.233334","EGHHD"
"unlcd:EGHRG","Hurghada",,"unlcdf:1",,"unlcdc:EG",,,"EGHRG"
"unlcd:EGIKU","Idku",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:EG","31.3","30.3","EGIKU"
"unlcd:EGISA","Izbat Sidi Ali Murghib",,"unlcdf:3","unlcds:EGALX","unlcdc:EG","31.083334","29.866667","EGISA"
"unlcd:EGISM","Ismailia",,"unlcdf:0",,"unlcdc:EG",,,"EGISM"
"unlcd:EGIYB","Itay Al Barud",,"unlcdf:3","unlcds:EGBH","unlcdc:EG","30.883333","30.65","EGIYB"
"unlcd:EGIYM","Faiyum",,"unlcdf:3","unlcds:EGFYM","unlcdc:EG","29.3","30.833334","EGIYM"
"unlcd:EGKEH","Kafr El Sheikh",,"unlcdf:0","unlcds:EGDK","unlcdc:EG",,,"EGKEH"
"unlcd:EGKEN","Kenna",,"unlcdf:6",,"unlcdc:EG","27.15","30.4","EGKEN"
"unlcd:EGKEZ","Kafr az Zayyat",,"unlcdf:3","unlcds:EGGH","unlcdc:EG","30.816668","30.8","EGKEZ"
"unlcd:EGLXR","Luxor",,"unlcdf:4",,"unlcdc:EG",,,"EGLXR"
"unlcd:EGMAH","Mersa El Hamra",,"unlcdf:1",,"unlcdc:EG",,,"EGMAH"
"unlcd:EGMAL","Mallawi",,"unlcdf:3","unlcds:EGMN","unlcdc:EG","27.716667","30.833334","EGMAL"
"unlcd:EGMEA","Porto Marina El Alamein",,"unlcdf:1, unlcdf:3","unlcds:EGMT","unlcdc:EG","30.816668","28.983334","EGMEA"
"unlcd:EGMIN","Al Minya",,"unlcdf:6","unlcds:EGGZ","unlcdc:EG","29.733334","31.283333","EGMIN"
"unlcd:EGMMU","Mersa Matru",,"unlcdf:6",,"unlcdc:EG",,,"EGMMU"
"unlcd:EGMSR","El Mansoura",,"unlcdf:3","unlcds:EGDK","unlcdc:EG","31.05","31.383333","EGMSR"
"unlcd:EGMUH","Matruh",,"unlcdf:4","unlcds:EGMT","unlcdc:EG","31.366667","27.233334","EGMUH"
"unlcd:EGNUB","Nubaria",,"unlcdf:3",,"unlcdc:EG","30.65","30.033333","EGNUB"
"unlcd:EGNUW","Nuwaiba",,"unlcdf:1","unlcds:EGJS","unlcdc:EG","28.966667","34.65","EGNUW"
"unlcd:EGODP","October Dry Port",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:EGGZ","unlcdc:EG","29.816668","30.666666","EGODP"
"unlcd:EGOPT","Marsa Oriental Petrochemicals",,"unlcdf:1, unlcdf:3","unlcds:EGSUZ","unlcdc:EG","29.683332","32.35","EGOPT"
"unlcd:EGPIB","Port Ibrahim",,"unlcdf:1",,"unlcdc:EG",,,"EGPIB"
"unlcd:EGPRA","Rashid",,"unlcdf:3","unlcds:EGBH","unlcdc:EG","31.4","30.4","EGPRA"
"unlcd:EGPSD","Port Said",,"unlcdf:1, unlcdf:4",,"unlcdc:EG",,,"EGPSD"
"unlcd:EGPSE","Port Said East",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:6","unlcds:EGSUZ","unlcdc:EG","31.216667","32.35","EGPSE"
"unlcd:EGPSW","Port Said West",,"unlcdf:3","unlcds:EGSUZ","unlcdc:EG","31.25","32.283333","EGPSW"
"unlcd:EGPTK","Port Tewfik",,"unlcdf:1",,"unlcdc:EG",,,"EGPTK"
"unlcd:EGQAH","Nasr City",,"unlcdf:3","unlcds:EGC","unlcdc:EG","30.05","31.366667","EGQAH"
"unlcd:EGQEK","El Mahalla El Kobra",,"unlcdf:3","unlcds:EGGH","unlcdc:EG","30.983334","31.166666","EGQEK"
"unlcd:EGQEM","Al Manzilah",,"unlcdf:3","unlcds:EGDK","unlcdc:EG","31.15","31.933332","EGQEM"
"unlcd:EGQFM","Meet Ghamr",,"unlcdf:3","unlcds:EGDK","unlcdc:EG","30.716667","31.25","EGQFM"
"unlcd:EGQGX","Gerga",,"unlcdf:3",,"unlcdc:EG","26.55","32.466667","EGQGX"
"unlcd:EGQHW","Helwan",,"unlcdf:3",,"unlcdc:EG","29.85","31.333334","EGQHW"
"unlcd:EGQSN","Quesna",,"unlcdf:2","unlcds:EGMNF","unlcdc:EG","30.55","31.116667","EGQSN"
"unlcd:EGQUB","Qalyub",,"unlcdf:6","unlcds:EGKB","unlcdc:EG","30.166666","31.2","EGQUB"
"unlcd:EGQUH","Shebin Al Kawm",,"unlcdf:3","unlcds:EGMNF","unlcdc:EG","30.55","31.0","EGQUH"
"unlcd:EGQZZ","Az Zaqaziq",,"unlcdf:3","unlcds:EGSHR","unlcdc:EG","30.583334","31.5","EGQZZ"
"unlcd:EGRAB","Ras Budran",,"unlcdf:1",,"unlcdc:EG","28.933332","33.116665","EGRAB"
"unlcd:EGRAG","Ras Gharib",,"unlcdf:1",,"unlcdc:EG",,,"EGRAG"
"unlcd:EGRMF","Marsa Alam",,"unlcdf:4","unlcds:EGBA","unlcdc:EG","25.55","34.566666","EGRMF"
"unlcd:EGRSH","Ras Shukheir",,"unlcdf:1",,"unlcdc:EG",,,"EGRSH"
"unlcd:EGRSU","Ras Sudr",,"unlcdf:1",,"unlcdc:EG","29.6","32.666668","EGRSU"
"unlcd:EGSAD","Sadat City",,"unlcdf:3, unlcdf:6","unlcds:EGBH","unlcdc:EG","30.366667","30.5","EGSAD"
"unlcd:EGSAL","Sallum",,"unlcdf:2, unlcdf:3",,"unlcdc:EG","31.566668","25.15","EGSAL"
"unlcd:EGSBA","Sidi Barrani",,"unlcdf:0",,"unlcdc:EG",,,"EGSBA"
"unlcd:EGSBY","Soma Bay Marina",,"unlcdf:1, unlcdf:3","unlcds:EGBA","unlcdc:EG","26.85","33.983334","EGSBY"
"unlcd:EGSCN","Suez Canal",,"unlcdf:6",,"unlcdc:EG","42.3","32.333332","EGSCN"
"unlcd:EGSEW","Siwa",,"unlcdf:4",,"unlcdc:EG","29.166666","25.5","EGSEW"
"unlcd:EGSGA","Safaga",,"unlcdf:1",,"unlcdc:EG",,,"EGSGA"
"unlcd:EGSHG","Sohag",,"unlcdf:0","unlcds:EGMT","unlcdc:EG",,,"EGSHG"
"unlcd:EGSIN","South Sinai (Ganoub Sinai)",,"unlcdf:1, unlcdf:6","unlcds:EGSUZ","unlcdc:EG","29.866667","34.0","EGSIN"
"unlcd:EGSKR","Sakr Koreish",,"unlcdf:3",,"unlcdc:EG","31.3","31.133333","EGSKR"
"unlcd:EGSKT","Sidi Kerir Terminal",,"unlcdf:3",,"unlcdc:EG",,,"EGSKT"
"unlcd:EGSKV","Santa Katarina",,"unlcdf:4",,"unlcdc:EG","28.683332","34.05","EGSKV"
"unlcd:EGSOC","6th October",,"unlcdf:3, unlcdf:6","unlcds:EGGZ","unlcdc:EG","29.816668","31.05","EGSOC"
"unlcd:EGSOK","Sokhna Port",,"unlcdf:1",,"unlcdc:EG","29.65","32.35","EGSOK"
"unlcd:EGSOS","Sosdi/6th October",,"unlcdf:6","unlcds:EGGZ","unlcdc:EG",,,"EGSOS"
"unlcd:EGSSH","Sharm ash Shaykh",,"unlcdf:1, unlcdf:4","unlcds:EGJS","unlcdc:EG","27.866667","34.283333","EGSSH"
"unlcd:EGSSI","Shamal Sinai",,"unlcdf:6",,"unlcdc:EG",,,"EGSSI"
"unlcd:EGSUZ","As Suways (Suez)",,"unlcdf:1, unlcdf:3","unlcds:EGSUZ","unlcdc:EG","29.966667","32.516666","EGSUZ"
"unlcd:EGTAN","Tanta",,"unlcdf:2, unlcdf:3","unlcds:EGGH","unlcdc:EG","30.766666","30.983334","EGTAN"
"unlcd:EGTCP","Taba",,"unlcdf:4","unlcds:EGJS","unlcdc:EG","29.583334","34.766666","EGTCP"
"unlcd:EGTOR","El Tor",,"unlcdf:1","unlcds:EGSIN","unlcdc:EG","28.233334","33.616665","EGTOR"
"unlcd:EGTRC","10th of Ramadan City",,"unlcdf:3, unlcdf:6",,"unlcdc:EG","30.3","31.75","EGTRC"
"unlcd:EGUVL","New Valley",,"unlcdf:4",,"unlcdc:EG",,,"EGUVL"
"unlcd:EGWAF","Wadi Feiran",,"unlcdf:1",,"unlcdc:EG",,,"EGWAF"
"unlcd:EGXOO","Sixth of October City",,"unlcdf:6","unlcds:EGC","unlcdc:EG","29.983334","30.966667","EGXOO"
"unlcd:EGYYU","Al Fayyum",,"unlcdf:3",,"unlcdc:EG","29.3","30.833334","EGYYU"
"unlcd:EGZTB","Zeit Bay",,"unlcdf:7",,"unlcdc:EG","27.816668","33.6","EGZTB"
