"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ES22E","Eldua",,"unlcdf:3","unlcds:ESSS","unlcdc:ES","43.15","-2.0","ES22E"
"unlcd:ES25N","La Granja de la Costera",,"unlcdf:3","unlcds:ESV","unlcdc:ES","38.983334","-0.55","ES25N"
"unlcd:ES25X","Tamallancos",,"unlcdf:3","unlcds:ESOR","unlcdc:ES","42.416668","7.9","ES25X"
"unlcd:ES2BL","Lloseta",,"unlcdf:1, unlcdf:6","unlcds:ESPM","unlcdc:ES","39.716667","2.8666668","ES2BL"
"unlcd:ES2EM","Lemorieta",,"unlcdf:3","unlcds:ESBI","unlcdc:ES","43.216667","-2.7666667","ES2EM"
"unlcd:ES2GL","Teba",,"unlcdf:3","unlcds:ESMA","unlcdc:ES","36.966667","-4.9333334","ES2GL"
"unlcd:ES2LC","La Cellera de Ter",,"unlcdf:3","unlcds:ESGI","unlcdc:ES","41.966667","2.6166668","ES2LC"
"unlcd:ES2LP","Capdesaso",,"unlcdf:3","unlcds:ESHU","unlcdc:ES","41.85","-0.18333334","ES2LP"
"unlcd:ES2SE","La Alberquilla",,"unlcdf:6","unlcds:ESAB","unlcdc:ES","38.916668","-2.25","ES2SE"
"unlcd:ES2TT","Ametlla",,"unlcdf:1, unlcdf:6","unlcds:EST","unlcdc:ES","41.566666","1.25","ES2TT"
"unlcd:ES2VA","Vallecillo",,"unlcdf:1, unlcdf:6","unlcds:ESLE","unlcdc:ES","42.35","-5.2","ES2VA"
"unlcd:ES2VL","Villoruela",,"unlcdf:3","unlcds:ESSA","unlcdc:ES","41.0","-5.383333","ES2VL"
"unlcd:ES2ZE","Zeneta",,"unlcdf:3","unlcds:ESMU","unlcdc:ES","38.016666","-0.98333335","ES2ZE"
"unlcd:ES3C2","Albatarrech",,"unlcdf:3","unlcds:ESL","unlcdc:ES","41.566666","0.6","ES3C2"
"unlcd:ES3LT","Lillo",,"unlcdf:3","unlcds:ESTO","unlcdc:ES","39.716667","-3.3","ES3LT"
"unlcd:ES3M3","Muras",,"unlcdf:3","unlcds:ESLU","unlcdc:ES","43.466667","-7.7166667","ES3M3"
"unlcd:ES3SS","Guadassuar",,"unlcdf:3","unlcds:ESV","unlcdc:ES","39.183334","-0.46666667","ES3SS"
