"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ETABK","Kabri Dar",,"unlcdf:4",,"unlcdc:ET","6.7333336","44.25","ETABK"
"unlcd:ETADD","Addis Ababa",,"unlcdf:4, unlcdf:5",,"unlcdc:ET",,,"ETADD"
"unlcd:ETALK","Assella",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","7.95","39.133335","ETALK"
"unlcd:ETAMH","Arba Mintch",,"unlcdf:4",,"unlcdc:ET",,,"ETAMH"
"unlcd:ETASO","Asosa",,"unlcdf:4",,"unlcdc:ET",,,"ETASO"
"unlcd:ETAWA","Awassa",,"unlcdf:4",,"unlcdc:ET",,,"ETAWA"
"unlcd:ETAXU","Axum",,"unlcdf:4",,"unlcdc:ET",,,"ETAXU"
"unlcd:ETBCO","Jinka",,"unlcdf:4",,"unlcdc:ET",,,"ETBCO"
"unlcd:ETBCY","Bulchi",,"unlcdf:4",,"unlcdc:ET",,,"ETBCY"
"unlcd:ETBED","Bedele",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","8.45","36.35","ETBED"
"unlcd:ETBEI","Beica",,"unlcdf:4",,"unlcdc:ET","9.383333","34.533333","ETBEI"
"unlcd:ETBJR","Bahar Dar",,"unlcdf:4",,"unlcdc:ET",,,"ETBJR"
"unlcd:ETDAD","Dolo Odo",,"unlcdf:3","unlcds:ETSO","unlcdc:ET","4.1833334","42.066666","ETDAD"
"unlcd:ETDBM","Debra Marcos",,"unlcdf:4",,"unlcdc:ET",,,"ETDBM"
"unlcd:ETDBT","Debra Tabor",,"unlcdf:4",,"unlcdc:ET","11.85","38.0","ETDBT"
"unlcd:ETDEM","Dembidollo",,"unlcdf:4",,"unlcdc:ET",,,"ETDEM"
"unlcd:ETDIR","Dire Dawa",,"unlcdf:4, unlcdf:5",,"unlcdc:ET",,,"ETDIR"
"unlcd:ETDKM","Dukem",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","8.8","38.9","ETDKM"
"unlcd:ETDSE","Dessie",,"unlcdf:4",,"unlcdc:ET",,,"ETDSE"
"unlcd:ETEGL","Neghelli",,"unlcdf:4",,"unlcdc:ET","5.266667","39.716667","ETEGL"
"unlcd:ETETE","Genda Wuha",,"unlcdf:4",,"unlcdc:ET",,,"ETETE"
"unlcd:ETGDE","Gode",,"unlcdf:4",,"unlcdc:ET","5.9","43.616665","ETGDE"
"unlcd:ETGDQ","Gondar",,"unlcdf:4",,"unlcdc:ET",,,"ETGDQ"
"unlcd:ETGIB","Gibe",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","7.75","37.183334","ETGIB"
"unlcd:ETGMB","Gambela",,"unlcdf:4",,"unlcdc:ET",,,"ETGMB"
"unlcd:ETGNN","Ghinnir",,"unlcdf:4",,"unlcdc:ET","7.25","40.716667","ETGNN"
"unlcd:ETGOB","Goba",,"unlcdf:4",,"unlcdc:ET",,,"ETGOB"
"unlcd:ETGOR","Gore",,"unlcdf:4",,"unlcdc:ET",,,"ETGOR"
"unlcd:ETGZA","Giza",,"unlcdf:3","unlcds:ETTI","unlcdc:ET","13.683333","39.5","ETGZA"
"unlcd:ETHAR","Harar",,"unlcdf:3","unlcds:ETHA","unlcdc:ET","9.3","42.116665","ETHAR"
"unlcd:ETHOG","Holeta Genet",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","9.05","38.5","ETHOG"
"unlcd:ETHRT","Hartishek",,"unlcdf:3","unlcds:ETSO","unlcdc:ET","9.15","43.35","ETHRT"
"unlcd:ETHUE","Humera",,"unlcdf:4",,"unlcdc:ET",,,"ETHUE"
"unlcd:ETJIJ","Jijiga",,"unlcdf:3",,"unlcdc:ET","9.35","42.8","ETJIJ"
"unlcd:ETJIM","Jimma",,"unlcdf:4",,"unlcdc:ET",,,"ETJIM"
"unlcd:ETKOA","Kombolcha",,"unlcdf:3","unlcds:ETAM","unlcdc:ET","11.083333","39.733334","ETKOA"
"unlcd:ETLFO","K'elafo",,"unlcdf:4",,"unlcdc:ET","5.616667","44.133335","ETLFO"
"unlcd:ETLLI","Lalibela",,"unlcdf:4",,"unlcdc:ET","12.033334","39.033333","ETLLI"
"unlcd:ETMDP","Mojo Dry Port",,"unlcdf:6","unlcds:ETOR","unlcdc:ET","8.566667","39.133335","ETMDP"
"unlcd:ETMEK","Mekele",,"unlcdf:3","unlcds:ETTI","unlcdc:ET","13.483334","39.466667","ETMEK"
"unlcd:ETMKS","Mekane Selam",,"unlcdf:4",,"unlcdc:ET",,,"ETMKS"
"unlcd:ETMOJ","Mojo",,"unlcdf:6","unlcds:ETOR","unlcdc:ET","8.6","39.116665","ETMOJ"
"unlcd:ETMQX","Makale",,"unlcdf:4",,"unlcdc:ET",,,"ETMQX"
"unlcd:ETMTF","Mizan Teferi",,"unlcdf:4",,"unlcdc:ET",,,"ETMTF"
"unlcd:ETMUJ","Mui",,"unlcdf:4",,"unlcdc:ET",,,"ETMUJ"
"unlcd:ETMYS","Moyale",,"unlcdf:4",,"unlcdc:ET","3.4666667","39.083332","ETMYS"
"unlcd:ETMZX","Mena",,"unlcdf:4",,"unlcdc:ET",,,"ETMZX"
"unlcd:ETNZR","Nazret",,"unlcdf:3",,"unlcdc:ET","8.55","39.266666","ETNZR"
"unlcd:ETOKA","Kembolcha",,"unlcdf:6","unlcds:ETOR","unlcdc:ET","7.5","41.183334","ETOKA"
"unlcd:ETOTA","Mot'a",,"unlcdf:4",,"unlcdc:ET","11.083333","37.866665","ETOTA"
"unlcd:ETPGN","Pugnido",,"unlcdf:3","unlcds:ETGA","unlcdc:ET","7.633333","34.25","ETPGN"
"unlcd:ETS3M","Semera",,"unlcdf:3","unlcds:ETAF","unlcdc:ET","11.783334","41.0","ETS3M"
"unlcd:ETS7O","Shashemene",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","7.2","38.6","ETS7O"
"unlcd:ETSEB","Sebeta",,"unlcdf:3","unlcds:ETOR","unlcdc:ET","8.916667","38.616665","ETSEB"
"unlcd:ETSEM","Dubti",,"unlcdf:6","unlcds:ETAF","unlcdc:ET","11.733334","41.083332","ETSEM"
"unlcd:ETSOD","Sodo",,"unlcdf:3",,"unlcdc:ET","8.583333","35.816666","ETSOD"
"unlcd:ETSRE","Shire",,"unlcdf:3","unlcds:ETTI","unlcdc:ET","14.133333","38.4","ETSRE"
