"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:FIAAI","Lautiosaari",,"unlcdf:3","unlcds:FI10","unlcdc:FI","65.8","24.583334","FIAAI"
"unlcd:FIAAN","Äänekoski","Aanekoski","unlcdf:3","unlcds:FI08","unlcdc:FI",,,"FIAAN"
"unlcd:FIAHL","Alholmen",,"unlcdf:1",,"unlcdc:FI","63.7","22.7","FIAHL"
"unlcd:FIAJI","Alajärvi","Alajarvi","unlcdf:3","unlcds:FI03","unlcdc:FI","63.0","23.8","FIAJI"
"unlcd:FIAJO","Ajos",,"unlcdf:1",,"unlcdc:FI","65.666664","24.566668","FIAJO"
"unlcd:FIAKK","Asikkala",,"unlcdf:1, unlcdf:6","unlcds:FI04","unlcdc:FI","62.05","28.433332","FIAKK"
"unlcd:FIALA","Alavieska",,"unlcdf:3",,"unlcdc:FI","64.166664","24.3","FIALA"
"unlcd:FIALE","Alaveteli",,"unlcdf:3","unlcds:FI14","unlcdc:FI","63.7","23.333334","FIALE"
"unlcd:FIALH","Laihia",,"unlcdf:3","unlcds:FI12","unlcdc:FI","62.966667","22.016666","FIALH"
"unlcd:FIALV","Alavus",,"unlcdf:3","unlcds:FI03","unlcdc:FI",,,"FIALV"
"unlcd:FIANJ","Anjalankoski",,"unlcdf:3",,"unlcdc:FI","60.75","26.816668","FIANJ"
"unlcd:FIANK","Anjala",,"unlcdf:3","unlcds:FI09","unlcdc:FI","60.683334","26.833334","FIANK"
"unlcd:FIANT","Antskog",,"unlcdf:3","unlcds:FI18","unlcdc:FI","60.15","23.566668","FIANT"
"unlcd:FIAOK","Arrakoski",,"unlcdf:3","unlcds:FI16","unlcdc:FI","61.4","25.183332","FIAOK"
"unlcd:FIAPK","Äkäslompolo","Akaslompolo","unlcdf:3","unlcds:FI10","unlcdc:FI","67.6","24.15","FIAPK"
"unlcd:FIASK","Askola",,"unlcdf:3","unlcds:FI16","unlcdc:FI","60.516666","25.6","FIASK"
"unlcd:FIATI","Ähtäri","Ahtari","unlcdf:3",,"unlcdc:FI",,,"FIATI"
"unlcd:FIATL","Anttila Oy",,"unlcdf:3","unlcds:FI17","unlcdc:FI","61.483334","23.75","FIATL"
"unlcd:FIATS","Äetsä","Aetsa","unlcdf:2, unlcdf:3","unlcds:FI11","unlcdc:FI","61.283333","22.683332","FIATS"
"unlcd:FIATT","Anttola",,"unlcdf:3","unlcds:FI04","unlcdc:FI","61.583332","27.65","FIATT"
"unlcd:FIAUR","Aura",,"unlcdf:2, unlcdf:3","unlcds:FI19","unlcdc:FI","60.6","22.55","FIAUR"
"unlcd:FIAVS","Aavasaksa",,"unlcdf:3, unlcdf:B","unlcds:FI10","unlcdc:FI",,,"FIAVS"
"unlcd:FIBAR","Baronsalmi",,"unlcdf:1",,"unlcdc:FI","59.966667","23.866667","FIBAR"
"unlcd:FIBAS","Bäcksbacka","Backsbacka","unlcdf:3","unlcds:FI12","unlcdc:FI","63.45","23.116667","FIBAS"
"unlcd:FIBEN","Bennäs","Bennas","unlcdf:3","unlcds:FI12","unlcdc:FI","63.6","22.8","FIBEN"
"unlcd:FIBJO","Björkholma","Bjorkholma","unlcdf:3","unlcds:FI12","unlcdc:FI","63.333332","22.716667","FIBJO"
"unlcd:FIBOS","Bosund",,"unlcdf:3","unlcds:FI12","unlcdc:FI","63.816666","22.866667","FIBOS"
"unlcd:FIBRA","Brändö","Brando","unlcdf:1","unlcds:FI01","unlcdc:FI","60.416668","21.05","FIBRA"
"unlcd:FIBRO","Bromarv",,"unlcdf:1, unlcdf:3","unlcds:FI18","unlcdc:FI","59.983334","23.033333","FIBRO"
"unlcd:FIDAK","Dagsmark",,"unlcdf:3","unlcds:FI12","unlcdc:FI","62.233334","21.633333","FIDAK"
"unlcd:FIDEG","Degerby",,"unlcdf:1, unlcdf:3","unlcds:FI18","unlcdc:FI","60.1","24.183332","FIDEG"
"unlcd:FIDLS","Taalintehdas (Dalsbruk)",,"unlcdf:1","unlcds:FI19","unlcdc:FI","60.016666","22.516666","FIDLS"
"unlcd:FIDRA","Dragsfjärd","Dragsfjard","unlcdf:1","unlcds:FI19","unlcdc:FI","60.066666","22.466667","FIDRA"
"unlcd:FIECK","Eckerö","Eckero","unlcdf:1, unlcdf:B","unlcds:FI01","unlcdc:FI","60.216667","19.616667","FIECK"
"unlcd:FIEER","Eerikkilä","Eerikkila","unlcdf:3","unlcds:FI13","unlcdc:FI","62.65","30.116667","FIEER"
"unlcd:FIEJO","Eurajoki (Euraåminne)","Eurajoki (Euraaminne)","unlcdf:1","unlcds:FI17","unlcdc:FI","61.2","21.733334","FIEJO"
"unlcd:FIELK","Elimaki",,"unlcdf:3","unlcds:FI09","unlcdc:FI","60.716667","26.466667","FIELK"
"unlcd:FIEM2","Elämäjärvi","Elamajarvi","unlcdf:1, unlcdf:3","unlcds:FI08","unlcdc:FI","63.483334","25.666666","FIEM2"
"unlcd:FIENF","Enontekis (Enontekiö)","Enontekis (Enontekio)","unlcdf:4","unlcds:FI10","unlcdc:FI","68.38333","23.633333","FIENF"
"unlcd:FIENK","Enonkoski",,"unlcdf:1, unlcdf:3","unlcds:FI04","unlcdc:FI","62.083332","28.916666","FIENK"
"unlcd:FIENO","Eno",,"unlcdf:3","unlcds:FI13","unlcdc:FI","62.8","30.15","FIENO"
"unlcd:FIERV","Ervasto",,"unlcdf:3","unlcds:FI19","unlcdc:FI","60.133335","23.066668","FIERV"
"unlcd:FIES2","Espoo",,"unlcdf:3","unlcds:FI18","unlcdc:FI","60.216667","24.666666","FIES2"
"unlcd:FIESP","Espoo (Esbo)",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:FI18","unlcdc:FI","60.2","24.65","FIESP"
"unlcd:FIETA","Raseborg",,"unlcdf:3","unlcds:FI18","unlcdc:FI","59.983334","23.65","FIETA"
"unlcd:FIEUA","Eura",,"unlcdf:3","unlcds:FI17","unlcdc:FI","61.133335","22.15","FIEUA"
"unlcd:FIEVJ","Evijärvi","Evijarvi","unlcdf:3","unlcds:FI03","unlcdc:FI","63.366665","23.483334","FIEVJ"
"unlcd:FIFAA","Sauvo",,"unlcdf:6","unlcds:FI19","unlcdc:FI","60.35","22.7","FIFAA"
"unlcd:FIFAB","Alastaro",,"unlcdf:6","unlcds:FI19","unlcdc:FI","60.95","22.85","FIFAB"
"unlcd:FIFAD","Fiskars",,"unlcdf:6","unlcds:FI18","unlcdc:FI","60.133335","23.55","FIFAD"
"unlcd:FIFAE","Kiikala",,"unlcdf:6","unlcds:FI19","unlcdc:FI","60.466667","23.566668","FIFAE"
"unlcd:FIFAF","Kintaus",,"unlcdf:6","unlcds:FI08","unlcdc:FI","62.266666","25.316668","FIFAF"
"unlcd:FIFAG","Lestijärvi","Lestijarvi","unlcdf:6","unlcds:FI07","unlcdc:FI","62.533333","24.65","FIFAG"
"unlcd:FIFAH","Mellilä","Mellila","unlcdf:6","unlcds:FI19","unlcdc:FI","60.766666","22.916666","FIFAH"
"unlcd:FIFAI","Ojakkala",,"unlcdf:6","unlcds:FI18","unlcdc:FI","60.366665","24.383333","FIFAI"
"unlcd:FIFAJ","Vimpeli",,"unlcdf:6","unlcds:FI03","unlcdc:FI","63.15","23.8","FIFAJ"
"unlcd:FIFAK","Varpaisjärvi","Varpaisjarvi","unlcdf:6","unlcds:FI15","unlcdc:FI","63.366665","27.75","FIFAK"
"unlcd:FIFAL","Turtola",,"unlcdf:6","unlcds:FI10","unlcdc:FI","66.65","23.983334","FIFAL"
"unlcd:FIFAR","Färjsundet","Farjsundet","unlcdf:1","unlcds:FI01","unlcdc:FI","60.233334","20.016666","FIFAR"
"unlcd:FIFOG","Föglö","Foglo","unlcdf:1","unlcds:FI01","unlcdc:FI","60.016666","20.416666","FIFOG"
"unlcd:FIFOR","Förby","Forby","unlcdf:1","unlcds:FI19","unlcdc:FI",,,"FIFOR"
"unlcd:FIFSF","Forssa",,"unlcdf:3","unlcds:FI06","unlcdc:FI","60.816666","23.616667","FIFSF"
"unlcd:FIFSO","Finström","Finstrom","unlcdf:3","unlcds:FI01","unlcdc:FI","60.266666","19.933332","FIFSO"
"unlcd:FIGAM","Gammelby",,"unlcdf:3","unlcds:FI18","unlcdc:FI","60.483334","25.883333","FIGAM"
"unlcd:FIGDB","Gottby (Godby)",,"unlcdf:1","unlcds:FI01","unlcdc:FI","60.133335","19.833334","FIGDB"
"unlcd:FIGUL","Gullö","Gullo","unlcdf:1, unlcdf:3","unlcds:FI18","unlcdc:FI","59.95","23.416666","FIGUL"
"unlcd:FIHAA","Haapajärvi","Haapajarvi","unlcdf:3","unlcds:FI14","unlcdc:FI","63.75","25.316668","FIHAA"
"unlcd:FIHAI","Haukivuori",,"unlcdf:6","unlcds:FI04","unlcdc:FI","62.016666","27.216667","FIHAI"
"unlcd:FIHAJ","Haarajärvi","Haarajarvi","unlcdf:3","unlcds:FI13","unlcdc:FI","62.183334","30.183332","FIHAJ"
"unlcd:FIHAK","Hakkola",,"unlcdf:1, unlcdf:3","unlcds:FI03","unlcdc:FI","62.383335","22.716667","FIHAK"
"unlcd:FIHAL","Halonen",,"unlcdf:1, unlcdf:3","unlcds:FI10","unlcdc:FI","66.683334","27.5","FIHAL"
"unlcd:FIHAO","Hailuoto",,"unlcdf:1","unlcds:FI14","unlcdc:FI","65.0","24.833334","FIHAO"
"unlcd:FIHAP","Haapamäki","Haapamaki","unlcdf:3",,"unlcdc:FI","62.25","24.45","FIHAP"
"unlcd:FIHAR","Harvaluoto",,"unlcdf:1","unlcds:FI01","unlcdc:FI","60.366665","20.466667","FIHAR"
"unlcd:FIHAT","Hattula",,"unlcdf:3","unlcds:FI06","unlcdc:FI","61.066666","24.383333","FIHAT"
"unlcd:FIHAU","Haukipudas",,"unlcdf:1","unlcds:FI14","unlcdc:FI",,,"FIHAU"
"unlcd:FIHEA","Heinola",,"unlcdf:3","unlcds:FI16","unlcdc:FI","61.2","26.033333","FIHEA"
"unlcd:FIHEI","Heinavaara",,"unlcdf:3","unlcds:FI13","unlcdc:FI","62.55","30.166666","FIHEI"
"unlcd:FIHEL","Helsinki (Helsingfors)",,"unlcdf:1","unlcds:FI18","unlcdc:FI",,,"FIHEL"
"unlcd:FIHER","Herrala",,"unlcdf:3","unlcds:FI15","unlcdc:FI","62.483334","27.25","FIHER"
"unlcd:FIHHO","Hauho",,"unlcdf:3","unlcds:FI06","unlcdc:FI","61.166668","24.533333","FIHHO"
"unlcd:FIHIJ","Hinnerjoki",,"unlcdf:3","unlcds:FI17","unlcdc:FI","60.983334","21.95","FIHIJ"
"unlcd:FIHIK","Hikiä","Hikia","unlcdf:3","unlcds:FI06","unlcdc:FI","60.75","24.916666","FIHIK"
"unlcd:FIHIM","Himanka",,"unlcdf:1, unlcdf:3",,"unlcdc:FI","64.066666","23.65","FIHIM"
"unlcd:FIHIT","Hiitinen",,"unlcdf:1",,"unlcdc:FI","59.883335","22.5","FIHIT"
"unlcd:FIHJI","Hausjärvi","Hausjarvi","unlcdf:2, unlcdf:3","unlcds:FI06","unlcdc:FI","60.783333","24.933332","FIHJI"
"unlcd:FIHJM","Harjumaa",,"unlcdf:3",,"unlcdc:FI","61.816666","27.05","FIHJM"
"unlcd:FIHJS","Harjunsalmi",,"unlcdf:3","unlcds:FI19","unlcdc:FI","61.666668","25.283333","FIHJS"
"unlcd:FIHKM","Hankasalmi",,"unlcdf:2, unlcdf:3","unlcds:FI08","unlcdc:FI","62.383335","26.433332","FIHKM"
"unlcd:FIHKO","Hanko (Hangö)","Hanko (Hango)","unlcdf:1","unlcds:FI18","unlcdc:FI",,,"FIHKO"
"unlcd:FIHKY","Hämeenkyrö (Tavastkyro)","Hameenkyro (Tavastkyro)","unlcdf:3","unlcds:FI11","unlcdc:FI","61.633335","23.2","FIHKY"
"unlcd:FIHLA","Haluna",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:FI15","unlcdc:FI","63.133335","28.0","FIHLA"
"unlcd:FIHLI","Halli",,"unlcdf:3","unlcds:FI08","unlcdc:FI","61.866665","24.833334","FIHLI"
"unlcd:FIHLJ","Harviala",,"unlcdf:3",,"unlcdc:FI","60.95","24.583334","FIHLJ"
"unlcd:FIHLK","Halikko",,"unlcdf:3","unlcds:FI19","unlcdc:FI",,,"FIHLK"
"unlcd:FIHLL","Hällnäs","Hallnas","unlcdf:3","unlcds:FI12","unlcdc:FI","63.25","22.233334","FIHLL"
"unlcd:FIHLS","Halsua",,"unlcdf:3","unlcds:FI14","unlcdc:FI","63.45","24.166666","FIHLS"
"unlcd:FIHMA","Himankakylä","Himankakyla","unlcdf:1, unlcdf:3","unlcds:FI07","unlcdc:FI","64.166664","23.7","FIHMA"
"unlcd:FIHMN","Hamina (Fredrikshamn)",,"unlcdf:1","unlcds:FI09","unlcdc:FI","60.566666","27.2","FIHMN"
"unlcd:FIHMY","Tavastehus (Hämeenlinna)","Tavastehus (Hameenlinna)","unlcdf:3","unlcds:FI06","unlcdc:FI",,,"FIHMY"
"unlcd:FIHOG","Högsåra","Hogsara","unlcdf:1, unlcdf:3","unlcds:FI19","unlcdc:FI","59.95","22.366667","FIHOG"
"unlcd:FIHOJ","Holjakka",,"unlcdf:3","unlcds:FI13","unlcdc:FI","63.483334","29.433332","FIHOJ"
"unlcd:FIHOL","Hollola",,"unlcdf:3","unlcds:FI16","unlcdc:FI","61.05","25.433332","FIHOL"
"unlcd:FIHON","Honkakoski",,"unlcdf:3","unlcds:FI19","unlcdc:FI","61.75","22.133333","FIHON"
"unlcd:FIHOO","Horo",,"unlcdf:3","unlcds:FI14","unlcdc:FI","62.6","21.633333","FIHOO"
"unlcd:FIHOU","Houtskari (Houtskär)","Houtskari (Houtskar)","unlcdf:1","unlcds:FI19","unlcdc:FI","60.216667","21.383333","FIHOU"
"unlcd:FIHPF","Huutjarvi",,"unlcdf:3","unlcds:FI09","unlcdc:FI","60.466667","26.75","FIHPF"
"unlcd:FIHPS","Haapavesi",,"unlcdf:3","unlcds:FI14","unlcdc:FI","64.13333","25.366667","FIHPS"
"unlcd:FIHRJ","Harjavalta",,"unlcdf:3","unlcds:FI17","unlcdc:FI",,,"FIHRJ"
"unlcd:FIHRM","Härmä","Harma","unlcdf:3","unlcds:FI14","unlcdc:FI","63.233334","22.866667","FIHRM"
"unlcd:FIHRS","Hyrynsalmi",,"unlcdf:3","unlcds:FI13","unlcdc:FI","64.666664","28.483334","FIHRS"
"unlcd:FIHRT","Hartola/Kymenlaakso",,"unlcdf:3","unlcds:FI09","unlcdc:FI","61.15","26.516666","FIHRT"
"unlcd:FIHTA","Pyhtää (Pyttis)","Pyhtaa (Pyttis)","unlcdf:3","unlcds:FI09","unlcdc:FI","60.483334","26.533333","FIHTA"
