"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:FJAQS","Saqani",,"unlcdf:0",,"unlcdc:FJ",,,"FJAQS"
"unlcd:FJBFJ","Ba",,"unlcdf:4",,"unlcdc:FJ",,,"FJBFJ"
"unlcd:FJBVF","Bua",,"unlcdf:4",,"unlcdc:FJ",,,"FJBVF"
"unlcd:FJBXL","Blue Lagoon",,"unlcdf:4",,"unlcdc:FJ",,,"FJBXL"
"unlcd:FJCST","Castaway",,"unlcdf:4",,"unlcdc:FJ",,,"FJCST"
"unlcd:FJDEN","Denarau",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:FJ11","unlcdc:FJ","-17.766666","177.38333","FJDEN"
"unlcd:FJELL","Ellington Wharf",,"unlcdf:1",,"unlcdc:FJ","-17.35","178.21666","FJELL"
"unlcd:FJICI","Cicia",,"unlcdf:4",,"unlcdc:FJ",,,"FJICI"
"unlcd:FJKAY","Wakaya Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJKAY"
"unlcd:FJKDV","Kandavu",,"unlcdf:0",,"unlcdc:FJ",,,"FJKDV"
"unlcd:FJKVU","Korolevu",,"unlcdf:0",,"unlcdc:FJ",,,"FJKVU"
"unlcd:FJKXF","Koro Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJKXF"
"unlcd:FJLBS","Labasa",,"unlcdf:1, unlcdf:4","unlcds:FJ07","unlcdc:FJ","-16.416666","179.38333","FJLBS"
"unlcd:FJLKB","Lakeba",,"unlcdf:0",,"unlcdc:FJ",,,"FJLKB"
"unlcd:FJLTK","Lautoka",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:FJ01","unlcdc:FJ","-17.616667","177.45","FJLTK"
"unlcd:FJLUC","Laucala Is",,"unlcdf:0",,"unlcdc:FJ",,,"FJLUC"
"unlcd:FJMAL","Malau (Labasa)",,"unlcdf:1, unlcdf:3",,"unlcdc:FJ","-16.366667","179.38333","FJMAL"
"unlcd:FJMFJ","Moala",,"unlcdf:0",,"unlcdc:FJ",,,"FJMFJ"
"unlcd:FJMNF","Mana Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJMNF"
"unlcd:FJMOM","Momi",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:FJ","-17.916666","177.28334","FJMOM"
"unlcd:FJNAM","Nambouwalu",,"unlcdf:1, unlcdf:3",,"unlcdc:FJ","-16.983334","178.7","FJNAM"
"unlcd:FJNAN","Nadi",,"unlcdf:4, unlcdf:5",,"unlcdc:FJ",,,"FJNAN"
"unlcd:FJNGI","Ngau Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJNGI"
"unlcd:FJNTA","Natadola",,"unlcdf:0",,"unlcdc:FJ",,,"FJNTA"
"unlcd:FJONU","Ono-i-Lau",,"unlcdf:3","unlcds:FJE","unlcdc:FJ","-20.666666","-178.71666","FJONU"
"unlcd:FJPHR","Pacific Harbor",,"unlcdf:0",,"unlcdc:FJ",,,"FJPHR"
"unlcd:FJPTF","Malolo Lailai Island",,"unlcdf:3","unlcds:FJW","unlcdc:FJ","-17.783333","177.2","FJPTF"
"unlcd:FJRBI","Rabi",,"unlcdf:0",,"unlcdc:FJ",,,"FJRBI"
"unlcd:FJRTA","Rotuma",,"unlcdf:1, unlcdf:4",,"unlcdc:FJ",,,"FJRTA"
"unlcd:FJSIN","Singatoka",,"unlcdf:1, unlcdf:3",,"unlcdc:FJ","-18.166666","177.51666","FJSIN"
"unlcd:FJSUV","Suva",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:FJ12","unlcdc:FJ","-18.133333","178.45","FJSUV"
"unlcd:FJSVU","Savusavu",,"unlcdf:1, unlcdf:4",,"unlcdc:FJ",,,"FJSVU"
"unlcd:FJTTL","Turtle Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJTTL"
"unlcd:FJTVU","Taveuni",,"unlcdf:0",,"unlcdc:FJ",,,"FJTVU"
"unlcd:FJVAT","Vatia Wharf",,"unlcdf:1, unlcdf:3",,"unlcdc:FJ","-17.4","177.76666","FJVAT"
"unlcd:FJVAU","Vatukoula",,"unlcdf:0",,"unlcdc:FJ",,,"FJVAU"
"unlcd:FJVBV","Vanua Mbalavu",,"unlcdf:3","unlcds:FJE","unlcdc:FJ","-17.233334","-178.95","FJVBV"
"unlcd:FJVTF","Vatulele",,"unlcdf:0",,"unlcdc:FJ",,,"FJVTF"
"unlcd:FJVUD","Vuda",,"unlcdf:1",,"unlcdc:FJ","-17.6","177.5","FJVUD"
"unlcd:FJWAI","Wairiki",,"unlcdf:1",,"unlcdc:FJ","-16.916666","178.66667","FJWAI"
"unlcd:FJYAS","Yasawa Island",,"unlcdf:0",,"unlcdc:FJ",,,"FJYAS"
