"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:FM9PA","Palau",,"unlcdf:3","unlcds:FMYAP","unlcdc:FM","9.566667","138.15","FM9PA"
"unlcd:FMEAU","Eauripik Atoll",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","6.7","143.06667","FMEAU"
"unlcd:FMFSI","Faisi",,"unlcdf:1",,"unlcdc:FM",,,"FMFSI"
"unlcd:FMGAF","Gaferut Atoll",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","9.233334","145.38333","FMGAF"
"unlcd:FMIFA","Ifalik Atoll",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","7.233333","144.45","FMIFA"
"unlcd:FMKSA","Kosrae (ex Kusaie)",,"unlcdf:1, unlcdf:4",,"unlcdc:FM",,,"FMKSA"
"unlcd:FMLUK","Lukunor Atoll",,"unlcdf:1","unlcds:FMTRK","unlcdc:FM","5.5166664","153.76666","FMLUK"
"unlcd:FMNGA","Ngatik",,"unlcdf:1","unlcds:FMPNI","unlcdc:FM","5.8","157.26666","FMNGA"
"unlcd:FMPLW","Puluwat",,"unlcdf:1","unlcds:FMTRK","unlcdc:FM","7.35","149.18333","FMPLW"
"unlcd:FMPNI","Pohnpei (ex Ponape)",,"unlcdf:1, unlcdf:4",,"unlcdc:FM",,,"FMPNI"
"unlcd:FMPUL","Pulap Island",,"unlcdf:1","unlcds:FMTRK","unlcdc:FM","7.5833335","149.41667","FMPUL"
"unlcd:FMSAT","Satawal",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","7.35","147.03334","FMSAT"
"unlcd:FMSOR","Sorol Atoll",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","8.133333","140.38333","FMSOR"
"unlcd:FMTKK","Chuuk (ex Truk)",,"unlcdf:1, unlcdf:4",,"unlcdc:FM",,,"FMTKK"
"unlcd:FMULI","Ulithi",,"unlcdf:0",,"unlcdc:FM",,,"FMULI"
"unlcd:FMWOL","Woleai Atoll",,"unlcdf:1","unlcds:FMYAP","unlcdc:FM","7.35","143.86667","FMWOL"
"unlcd:FMYAP","Yap",,"unlcdf:1, unlcdf:4",,"unlcdc:FM",,,"FMYAP"
