"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:FOEDI","Eidi",,"unlcdf:1",,"unlcdc:FO","62.3","-7.0833335","FOEDI"
"unlcd:FOFAE","Færøø Islands-Vagar Apt","Faroo Islands-Vagar Apt","unlcdf:4",,"unlcdc:FO",,,"FOFAE"
"unlcd:FOFUG","Fuglafjørdur","Fuglafjordur","unlcdf:1",,"unlcdc:FO",,,"FOFUG"
"unlcd:FOGLY","Glyvrar",,"unlcdf:2, unlcdf:3",,"unlcdc:FO","62.133335","-6.7166667","FOGLY"
"unlcd:FOHUS","Husevig",,"unlcdf:1",,"unlcdc:FO",,,"FOHUS"
"unlcd:FOHYV","Hoyvik",,"unlcdf:1, unlcdf:3",,"unlcdc:FO","62.033333","-6.75","FOHYV"
"unlcd:FOKOL","Kollafjördur","Kollafjordur","unlcdf:1, unlcdf:3",,"unlcdc:FO","62.116665","-6.883333","FOKOL"
"unlcd:FOKVI","Klaksvik",,"unlcdf:1",,"unlcdc:FO",,,"FOKVI"
"unlcd:FOLOP","Lopra",,"unlcdf:1",,"unlcdc:FO",,,"FOLOP"
"unlcd:FONLS","Nólsoy","Nolsoy","unlcdf:1, unlcdf:3",,"unlcdc:FO","62.016666","-6.6666665","FONLS"
"unlcd:FONSK","Norÿskáli","Noryskali","unlcdf:1",,"unlcdc:FO","62.216667","-7.0","FONSK"
"unlcd:FORVK","Runavík","Runavik","unlcdf:1, unlcdf:3",,"unlcdc:FO","62.116665","-6.7166667","FORVK"
"unlcd:FOSJO","Sjovar havn",,"unlcdf:1",,"unlcdc:FO","62.1","-6.75","FOSJO"
"unlcd:FOSKA","Skáli","Skali","unlcdf:1, unlcdf:3",,"unlcdc:FO","62.15","-6.7666664","FOSKA"
"unlcd:FOSMJ","Solmundefjord",,"unlcdf:1",,"unlcdc:FO",,,"FOSMJ"
"unlcd:FOSRV","Sorvágur","Sorvagur","unlcdf:1",,"unlcdc:FO","62.066666","-7.3","FOSRV"
"unlcd:FOSTR","Strendur",,"unlcdf:1",,"unlcdc:FO","62.116665","-6.75","FOSTR"
"unlcd:FOSYN","Streymnes",,"unlcdf:1, unlcdf:3",,"unlcdc:FO","62.2","-7.016667","FOSYN"
"unlcd:FOTHO","Thorshavn",,"unlcdf:1",,"unlcdc:FO","62.016666","-6.7666664","FOTHO"
"unlcd:FOTOF","Toftir",,"unlcdf:1",,"unlcdc:FO","62.1","-6.7333336","FOTOF"
"unlcd:FOTOR","Tórshavn","Torshavn","unlcdf:1, unlcdf:6",,"unlcdc:FO","62.166668","-65.0","FOTOR"
"unlcd:FOTVO","Tvoroyri",,"unlcdf:1",,"unlcdc:FO","61.55","-6.8","FOTVO"
"unlcd:FOVAG","Vágur","Vagur","unlcdf:1, unlcdf:3",,"unlcdc:FO","61.466667","-6.8166666","FOVAG"
"unlcd:FOVAZ","Vágur","Vagur","unlcdf:3",,"unlcdc:FO","62.216667","-6.5833335","FOVAZ"
"unlcd:FOVBR","Velbastadur",,"unlcdf:6",,"unlcdc:FO","61.983334","-6.85","FOVBR"
"unlcd:FOVES","Vestmanhavn",,"unlcdf:1",,"unlcdc:FO",,,"FOVES"
"unlcd:FOVID","Vadair",,"unlcdf:1",,"unlcdc:FO",,,"FOVID"
