"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:FR222","Coulmier-le-Sec",,"unlcdf:3","unlcds:FR21","unlcdc:FR","47.75","4.483333","FR222"
"unlcd:FR22A","Castelreng",,"unlcdf:3","unlcds:FR11","unlcdc:FR","43.033333","2.1333334","FR22A"
"unlcd:FR22C","Saint-Étienne-du-Gué-de-l'Isle","Saint-Etienne-du-Gue-de-l'Isle","unlcdf:6","unlcds:FR22","unlcdc:FR","48.1","-2.6333332","FR22C"
"unlcd:FR22P","Pléven","Pleven","unlcdf:3","unlcds:FR22","unlcdc:FR","48.483334","-2.3166666","FR22P"
"unlcd:FR234","La Châtre-Langlin","La Chatre-Langlin","unlcdf:3","unlcds:FR36","unlcdc:FR","46.416668","1.3833333","FR234"
"unlcd:FR24D","Chalagnac",,"unlcdf:3","unlcds:FR24","unlcdc:FR","45.083332","0.6666667","FR24D"
"unlcd:FR24S","Saint-Aulaye",,"unlcdf:3","unlcds:FR24","unlcdc:FR","45.2","0.13333334","FR24S"
"unlcd:FR26C","Crépol","Crepol","unlcdf:3","unlcds:FR26","unlcdc:FR","45.183334","5.0666666","FR26C"
"unlcd:FR27B","Beuzeville",,"unlcdf:3","unlcds:FR27","unlcdc:FR","49.333332","0.33333334","FR27B"
"unlcd:FR27E","Éturqueraye","Eturqueraye","unlcdf:3","unlcds:FR27","unlcdc:FR","49.366665","0.7","FR27E"
"unlcd:FR29F","Cléder","Cleder","unlcdf:3","unlcds:FR29","unlcdc:FR","48.666668","-4.1","FR29F"
"unlcd:FR29L","Langolen",,"unlcdf:3","unlcds:FR29","unlcdc:FR","48.066666","-3.9166667","FR29L"
"unlcd:FR2AC","Arçay","Arcay","unlcdf:6","unlcds:FR18","unlcdc:FR","46.95","2.35","FR2AC"
"unlcd:FR2AE","Macquigny",,"unlcdf:3","unlcds:FR02","unlcdc:FR","49.883335","3.55","FR2AE"
"unlcd:FR2AG","Agnos",,"unlcdf:3","unlcds:FR64","unlcdc:FR","43.166668","-0.6166667","FR2AG"
"unlcd:FR2AM","Ampoigné","Ampoigne","unlcdf:3","unlcds:FR53","unlcdc:FR","47.816666","-0.81666666","FR2AM"
"unlcd:FR2AN","Lans",,"unlcdf:3","unlcds:FR71","unlcdc:FR","46.766666","4.9166665","FR2AN"
"unlcd:FR2AS","Allonnes",,"unlcdf:3","unlcds:FR28","unlcdc:FR","48.333332","1.6666667","FR2AS"
"unlcd:FR2AT","Antran",,"unlcdf:3","unlcds:FR86","unlcdc:FR","46.85","0.53333336","FR2AT"
"unlcd:FR2BC","Canale-di-Verde",,"unlcdf:6","unlcds:FR2B","unlcdc:FR","42.283333","9.466666","FR2BC"
"unlcd:FR2BD","Boisse",,"unlcdf:3","unlcds:FR24","unlcdc:FR","44.716667","0.65","FR2BD"
"unlcd:FR2BE","Berrie",,"unlcdf:3","unlcds:FR86","unlcdc:FR","47.066666","-0.06666667","FR2BE"
"unlcd:FR2BG","La Boissière-en-Gâtine","La Boissiere-en-Gatine","unlcdf:3, unlcdf:6","unlcds:FR79","unlcdc:FR","46.566666","-0.36666667","FR2BG"
"unlcd:FR2BM","Brieulles-sur-Meuse",,"unlcdf:3","unlcds:FR55","unlcdc:FR","49.333332","5.1833334","FR2BM"
"unlcd:FR2BN","Bignan",,"unlcdf:3","unlcds:FR56","unlcdc:FR","47.883335","-2.7666667","FR2BN"
"unlcd:FR2BO","Montberon",,"unlcdf:3","unlcds:FR31","unlcdc:FR","43.716667","1.4833333","FR2BO"
"unlcd:FR2BR","Burie",,"unlcdf:3","unlcds:FR17","unlcdc:FR","45.766666","-0.41666666","FR2BR"
"unlcd:FR2BS","Ballaison",,"unlcdf:6","unlcds:FR74","unlcdc:FR","46.3","6.3333335","FR2BS"
"unlcd:FR2BT","Bellot",,"unlcdf:3, unlcdf:6","unlcds:FR77","unlcdc:FR","48.85","3.3166666","FR2BT"
"unlcd:FR2BZ","Bézéril","Bezeril","unlcdf:3","unlcds:FR32","unlcdc:FR","43.55","0.9","FR2BZ"
"unlcd:FR2C7","Cubjac",,"unlcdf:3","unlcds:FR24","unlcdc:FR","45.216667","0.93333334","FR2C7"
"unlcd:FR2CB","Chabottes",,"unlcdf:3","unlcds:FR05","unlcdc:FR","44.65","6.1833334","FR2CB"
"unlcd:FR2CC","Occey",,"unlcdf:2, unlcdf:3","unlcds:FR52","unlcdc:FR","47.616665","5.266667","FR2CC"
"unlcd:FR2CG","Choignes",,"unlcdf:3","unlcds:FR52","unlcdc:FR","48.1","5.1666665","FR2CG"
"unlcd:FR2CL","Cerseuil",,"unlcdf:6","unlcds:FR51","unlcdc:FR","49.066666","3.7333333","FR2CL"
"unlcd:FR2CR","Crouttes",,"unlcdf:6","unlcds:FR61","unlcdc:FR","48.916668","0.13333334","FR2CR"
"unlcd:FR2CS","Cerisé","Cerise","unlcdf:3","unlcds:FR61","unlcdc:FR","48.45","0.11666667","FR2CS"
