"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GAAKE","Akieni",,"unlcdf:4",,"unlcdc:GA",,,"GAAKE"
"unlcd:GAAWE","Alowe",,"unlcdf:4",,"unlcdc:GA","-0.75","9.45","GAAWE"
"unlcd:GABEL","Belleville",,"unlcdf:3",,"unlcdc:GA","0.033333335","11.033334","GABEL"
"unlcd:GABGB","Booué","Booue","unlcdf:4",,"unlcdc:GA","-0.1","11.933333","GABGB"
"unlcd:GABMM","Bitam",,"unlcdf:4",,"unlcdc:GA",,,"GABMM"
"unlcd:GABNG","Bongo",,"unlcdf:4",,"unlcdc:GA","-2.1666667","10.216666","GABNG"
"unlcd:GABWN","Biawonque",,"unlcdf:4",,"unlcdc:GA","-0.6666667","9.45","GABWN"
"unlcd:GACCB","Cocobeach",,"unlcdf:1",,"unlcdc:GA",,,"GACCB"
"unlcd:GACLZ","Cap Lopez",,"unlcdf:1",,"unlcdc:GA",,,"GACLZ"
"unlcd:GAEKU","Equata",,"unlcdf:1","unlcds:GA1","unlcdc:GA","-0.21666667","9.3","GAEKU"
"unlcd:GAETA","Etame FPSO",,"unlcdf:7",,"unlcdc:GA","-3.75","10.516666","GAETA"
"unlcd:GAFOU","Fougamou",,"unlcdf:4",,"unlcdc:GA",,,"GAFOU"
"unlcd:GAGAX","Gamba",,"unlcdf:1, unlcdf:4",,"unlcdc:GA",,,"GAGAX"
"unlcd:GAGIM","Miele Mimbale",,"unlcdf:4",,"unlcdc:GA","-0.016666668","11.383333","GAGIM"
"unlcd:GAIGL","Iguela",,"unlcdf:4",,"unlcdc:GA","-1.9166667","9.3","GAIGL"
"unlcd:GAKDJ","Ndjolé","Ndjole","unlcdf:4",,"unlcdc:GA",,,"GAKDJ"
"unlcd:GAKDN","Ndende",,"unlcdf:4",,"unlcdc:GA",,,"GAKDN"
"unlcd:GAKGB","Kongobouma",,"unlcdf:4",,"unlcdc:GA",,,"GAKGB"
"unlcd:GAKOU","Koulamoutou",,"unlcdf:3, unlcdf:4",,"unlcdc:GA","-1.1166667","12.5","GAKOU"
"unlcd:GALBQ","Lambarene",,"unlcdf:4",,"unlcdc:GA",,,"GALBQ"
