"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GB2AB","Aston",,"unlcdf:3","unlcds:GBBIR","unlcdc:GB","52.5","-1.8833333","GB2AB"
"unlcd:GB4ED","Edgmond",,"unlcdf:3","unlcds:GBTFW","unlcdc:GB","52.766666","-2.4166667","GB4ED"
"unlcd:GB4NS","South Nutfield",,"unlcdf:3","unlcds:GBWSX","unlcdc:GB","51.016666","-0.13333334","GB4NS"
"unlcd:GB5PE","Pendlebury",,"unlcdf:3","unlcds:GBSLF","unlcdc:GB","53.516666","-2.3333333","GB5PE"
"unlcd:GB7TR","Norton",,"unlcdf:1, unlcdf:3","unlcds:GBWOR","unlcdc:GB","52.15","-2.1833334","GB7TR"
"unlcd:GB87N","Weedon Beck",,"unlcdf:3","unlcds:GBNTH","unlcdc:GB","52.216667","-1.0666667","GB87N"
"unlcd:GB8IE","Tiffield",,"unlcdf:3","unlcds:GBNTH","unlcdc:GB","52.15","-0.96666664","GB8IE"
"unlcd:GB8MR","Forkhill",,"unlcdf:3","unlcds:GBARM","unlcdc:GB","54.066666","-6.45","GB8MR"
"unlcd:GB8TN","Crumlin",,"unlcdf:3","unlcds:GBANT","unlcdc:GB","54.616665","-6.233333","GB8TN"
"unlcd:GBAAB","Astley Abbotts",,"unlcdf:3","unlcds:GBSHR","unlcdc:GB","52.566666","-2.4333334","GBAAB"
"unlcd:GBAAW","Llandanwg",,"unlcdf:3","unlcds:GBGWN","unlcdc:GB","52.816666","-4.116667","GBAAW"
"unlcd:GBABA","Aberaeron",,"unlcdf:1, unlcdf:3","unlcds:GBCGN","unlcdc:GB","52.25","-4.25","GBABA"
"unlcd:GBABB","Abbots Langley",,"unlcdf:3","unlcds:GBHRT","unlcdc:GB",,,"GBABB"
"unlcd:GBABC","Abercarn",,"unlcdf:2, unlcdf:3","unlcds:GBCAY","unlcdc:GB","51.65","-3.1333334","GBABC"
"unlcd:GBABD","Aberdeen",,"unlcdf:1, unlcdf:4","unlcds:GBABE","unlcdc:GB","57.133335","-2.1","GBABD"
"unlcd:GBABE","Aberdare",,"unlcdf:3","unlcds:GBPOW","unlcdc:GB",,,"GBABE"
"unlcd:GBABF","Aberdyfi (Aberdovey)",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:GBGWN","unlcdc:GB","52.55","-4.0333333","GBABF"
"unlcd:GBABG","Abridge",,"unlcdf:3","unlcds:GBESS","unlcdc:GB",,,"GBABG"
"unlcd:GBABH","Aldborough",,"unlcdf:3","unlcds:GBNFK","unlcdc:GB","52.866665","1.25","GBABH"
"unlcd:GBABI","Albrighton",,"unlcdf:3","unlcds:GBSHR","unlcdc:GB","52.633335","-2.2666667","GBABI"
"unlcd:GBABJ","Saint Abbs",,"unlcdf:1, unlcdf:3","unlcds:GBSCB","unlcdc:GB","55.9","-2.1333334","GBABJ"
"unlcd:GBABK","Ashbocking",,"unlcdf:3, unlcdf:6","unlcds:GBSFK","unlcdc:GB","52.15","1.1666666","GBABK"
"unlcd:GBABL","Aberlour",,"unlcdf:2, unlcdf:3","unlcds:GBMRY","unlcdc:GB","57.466667","-3.2166667","GBABL"
"unlcd:GBABM","Abermule",,"unlcdf:3","unlcds:GBPOW","unlcdc:GB","52.533333","-3.2333333","GBABM"
"unlcd:GBABN","Abington",,"unlcdf:3","unlcds:GBNTH","unlcdc:GB",,,"GBABN"
"unlcd:GBABO","Albourne",,"unlcdf:3","unlcds:GBWSX","unlcdc:GB","50.933334","-0.18333334","GBABO"
"unlcd:GBABP","Aberporth",,"unlcdf:3","unlcds:GBCGN","unlcdc:GB","52.133335","-4.55","GBABP"
