"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GE5OZ","Ozurgeti",,"unlcdf:3","unlcds:GEGU","unlcdc:GE","41.916668","42.0","GE5OZ"
"unlcd:GEABK","Sukhumi",,"unlcdf:1, unlcdf:3","unlcds:GEAB","unlcdc:GE","43.0","41.0","GEABK"
"unlcd:GEASE","Akhalts'ikhe",,"unlcdf:6",,"unlcdc:GE","41.633335","42.966667","GEASE"
"unlcd:GEBNS","Bolnisi",,"unlcdf:3","unlcds:GEKK","unlcdc:GE","41.366665","44.5","GEBNS"
"unlcd:GEBUS","Batumi",,"unlcdf:1, unlcdf:4",,"unlcdc:GE",,,"GEBUS"
"unlcd:GECHT","Chiat'ura",,"unlcdf:3","unlcds:GEIM","unlcdc:GE","42.283333","43.283333","GECHT"
"unlcd:GEDED","Dedoplistskaro",,"unlcdf:3","unlcds:GEKA","unlcdc:GE","41.466667","46.1","GEDED"
"unlcd:GEGAR","Gardabani",,"unlcdf:3","unlcds:GEKK","unlcdc:GE","41.45","45.083332","GEGAR"
"unlcd:GEGEO","Chokhatauri",,"unlcdf:3","unlcds:GEGU","unlcdc:GE","42.016666","42.25","GEGEO"
"unlcd:GEGGR","Gagra",,"unlcdf:3","unlcds:GEAB","unlcdc:GE","43.316666","40.216667","GEGGR"
"unlcd:GEGUD","Gudauri",,"unlcdf:2, unlcdf:3","unlcds:GEMM","unlcdc:GE","42.466667","44.466667","GEGUD"
"unlcd:GEGUR","Gurjaani",,"unlcdf:3",,"unlcdc:GE",,,"GEGUR"
"unlcd:GEIES","Khashmi",,"unlcdf:1, unlcdf:3","unlcds:GETB","unlcdc:GE","41.75","45.166668","GEIES"
"unlcd:GEKAI","Khelvach'auri",,"unlcdf:3","unlcds:GEAJ","unlcdc:GE","41.583332","41.666668","GEKAI"
"unlcd:GEKAK","Kakheti",,"unlcdf:6","unlcds:GETB","unlcdc:GE","41.75","45.716667","GEKAK"
"unlcd:GEKAR","Kareli",,"unlcdf:6",,"unlcdc:GE","42.016666","43.9","GEKAR"
"unlcd:GEKAZ","Kazreti",,"unlcdf:3","unlcds:GEKK","unlcdc:GE","41.366665","44.4","GEKAZ"
"unlcd:GEKHI","Khashuri",,"unlcdf:2, unlcdf:3","unlcds:GESK","unlcdc:GE","41.983334","43.583332","GEKHI"
"unlcd:GEKHV","Orkhevi",,"unlcdf:6",,"unlcdc:GE","41.966667","45.016666","GEKHV"
"unlcd:GEKUL","Kulevi",,"unlcdf:1",,"unlcdc:GE","42.266666","41.633335","GEKUL"
"unlcd:GEKUT","Kutaisi",,"unlcdf:4",,"unlcdc:GE",,,"GEKUT"
"unlcd:GELAN","Lanch' khut' i",,"unlcdf:3","unlcds:GEGU","unlcdc:GE","42.083332","42.033333","GELAN"
"unlcd:GELDK","Lagodekhi",,"unlcdf:6","unlcds:GEKA","unlcdc:GE","41.816666","46.283333","GELDK"
"unlcd:GELIL","Lilo",,"unlcdf:3",,"unlcdc:GE","41.666668","44.966667","GELIL"
"unlcd:GEMAR","Marneuli",,"unlcdf:3",,"unlcdc:GE","41.466667","44.816666","GEMAR"
"unlcd:GENAB","Nabeghlavi",,"unlcdf:3","unlcds:GEGU","unlcdc:GE","41.933334","42.35","GENAB"
"unlcd:GENAT","Natakhtari",,"unlcdf:3","unlcds:GEKK","unlcdc:GE","41.916668","44.716667","GENAT"
"unlcd:GEPTI","Poti",,"unlcdf:1",,"unlcdc:GE",,,"GEPTI"
"unlcd:GERTV","Rust'Avi",,"unlcdf:3",,"unlcdc:GE","41.533333","45.0","GERTV"
