"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GLAGM","Tasiilaq",,"unlcdf:1, unlcdf:4",,"unlcdc:GL","65.6","-37.633335","GLAGM"
"unlcd:GLCNP","Neerlerit Inaat",,"unlcdf:4",,"unlcdc:GL",,,"GLCNP"
"unlcd:GLDAN","Daneborg",,"unlcdf:1",,"unlcdc:GL",,,"GLDAN"
"unlcd:GLDUN","Dundas",,"unlcdf:4",,"unlcdc:GL",,,"GLDUN"
"unlcd:GLFHN","Kangerdluarssoruseg (Færingehavn","Kangerdluarssoruseg (Faringehavn","unlcdf:1",,"unlcdc:GL",,,"GLFHN"
"unlcd:GLGOH","Nuuk (Godthaab)",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:GL","64.183334","-51.75","GLGOH"
"unlcd:GLIKE","Ikerasak",,"unlcdf:3",,"unlcdc:GL","70.5","-51.3","GLIKE"
"unlcd:GLILL","Illorsuit",,"unlcdf:3",,"unlcdc:GL","71.0","-53.0","GLILL"
"unlcd:GLITQ","Isertoq",,"unlcdf:3",,"unlcdc:GL","64.566666","-39.016666","GLITQ"
"unlcd:GLIUT","Ivigtut",,"unlcdf:1",,"unlcdc:GL",,,"GLIUT"
"unlcd:GLJAV","Ilulissat (Jakobshavn)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJAV"
"unlcd:GLJCH","Qasigiannguit (Christianshaab)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJCH"
"unlcd:GLJEG","Aasiaat (Egedesminde)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJEG"
"unlcd:GLJFR","Paamiut (Fredrikshaab)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJFR"
"unlcd:GLJGO","Qeqertarsuaq (Godhavn)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJGO"
"unlcd:GLJGR","Kangilinguit (Gronnedal)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJGR"
"unlcd:GLJHS","Sisimiut (Holsteinsborg)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJHS"
"unlcd:GLJJU","Qaqortoq (Julianehaab)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJJU"
"unlcd:GLJNN","Nanortalik",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJNN"
"unlcd:GLJNS","Narsaq",,"unlcdf:4",,"unlcdc:GL",,,"GLJNS"
"unlcd:GLJQA","Qaarsut",,"unlcdf:4, unlcdf:5",,"unlcdc:GL","70.73333","-52.65","GLJQA"
"unlcd:GLJRK","Arsuk",,"unlcdf:4",,"unlcdc:GL",,,"GLJRK"
"unlcd:GLJSU","Maniitsoq (Sukkertoppen)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLJSU"
"unlcd:GLJUV","Upernavik",,"unlcdf:4",,"unlcdc:GL",,,"GLJUV"
"unlcd:GLKAN","Kangerlussuaq Havn",,"unlcdf:1",,"unlcdc:GL","66.96667","-50.933334","GLKAN"
"unlcd:GLKUL","Kullorsuaq",,"unlcdf:1, unlcdf:3",,"unlcdc:GL","74.583336","-57.2","GLKUL"
"unlcd:GLKUN","Kuummiut",,"unlcdf:1",,"unlcdc:GL","65.86667","-37.016666","GLKUN"
"unlcd:GLKUS","Kulusuk",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLKUS"
"unlcd:GLLLU","Alluitsup Paa",,"unlcdf:4, unlcdf:5",,"unlcdc:GL","60.45","-45.55","GLLLU"
"unlcd:GLMML","Maarmorliik",,"unlcdf:1",,"unlcdc:GL","71.13333","-51.283333","GLMML"
"unlcd:GLMRG","Mesters Vig",,"unlcdf:1",,"unlcdc:GL",,,"GLMRG"
"unlcd:GLNAL","Nalunaq Gold Mine",,"unlcdf:1, unlcdf:3",,"unlcdc:GL","60.316666","-44.933334","GLNAL"
"unlcd:GLNAQ","Qaanaaq",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLNAQ"
"unlcd:GLNUG","Nuugaatsiaq",,"unlcdf:3",,"unlcdc:GL",,,"GLNUG"
"unlcd:GLOBY","Illorqortoormiut (Scoresbysund)",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLOBY"
"unlcd:GLQKT","Kangaamiut",,"unlcdf:3, unlcdf:4",,"unlcdc:GL","65.833336","-53.333332","GLQKT"
"unlcd:GLQPW","Kangaatsiaq",,"unlcdf:5",,"unlcdc:GL","68.3","-53.466667","GLQPW"
"unlcd:GLQUE","Qullissat",,"unlcdf:4",,"unlcdc:GL",,,"GLQUE"
"unlcd:GLSAA","Saattut",,"unlcdf:3",,"unlcdc:GL","70.8","-51.616665","GLSAA"
"unlcd:GLSEQ","Seqi Olivine Mine",,"unlcdf:1, unlcdf:3",,"unlcdc:GL","64.96667","-51.566666","GLSEQ"
"unlcd:GLSFJ","Kangerlussuaq (Sondre Stromfjord",,"unlcdf:4",,"unlcdc:GL",,,"GLSFJ"
"unlcd:GLTAS","Tasiusaq",,"unlcdf:3",,"unlcdc:GL","73.4","-56.0","GLTAS"
"unlcd:GLTHU","Pituffik",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLTHU"
"unlcd:GLTNT","Tiniteqilaaq",,"unlcdf:1, unlcdf:3",,"unlcdc:GL","65.9","-37.816666","GLTNT"
"unlcd:GLTOV","Toqqusaq",,"unlcdf:1",,"unlcdc:GL","64.86667","-52.2","GLTOV"
"unlcd:GLUAK","Narsarsuaq",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLUAK"
"unlcd:GLUMD","Uummannaq",,"unlcdf:1, unlcdf:4",,"unlcdc:GL",,,"GLUMD"
