"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GMBAK","Bakau",,"unlcdf:5",,"unlcdc:GM",,,"GMBAK"
"unlcd:GMBAN","Bansang",,"unlcdf:5",,"unlcdc:GM",,,"GMBAN"
"unlcd:GMBJL","Banjul",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GM",,,"GMBJL"
"unlcd:GMBRB","Brikama Ba",,"unlcdf:5",,"unlcdc:GM",,,"GMBRB"
"unlcd:GMBSS","Basse Santa Su",,"unlcdf:5",,"unlcdc:GM",,,"GMBSS"
"unlcd:GMBWI","Bwiam",,"unlcdf:5",,"unlcdc:GM",,,"GMBWI"
"unlcd:GMFAR","Farafenni",,"unlcdf:5",,"unlcdc:GM",,,"GMFAR"
"unlcd:GMFKD","Faji Kunda",,"unlcdf:3","unlcds:GMB","unlcdc:GM","13.416667","-16.666666","GMFKD"
"unlcd:GMJTB","MacCarthy Island (Jangjangbureh)",,"unlcdf:5","unlcds:GMM","unlcdc:GM","13.533334","-14.766666","GMJTB"
"unlcd:GMKAR","Karanai",,"unlcdf:3",,"unlcdc:GM","13.216666","-16.15","GMKAR"
"unlcd:GMKAU","Kau-ur",,"unlcdf:5",,"unlcdc:GM","13.7","-15.316667","GMKAU"
"unlcd:GMKFG","Kanifing",,"unlcdf:3","unlcds:GMB","unlcdc:GM","13.433333","-16.666666","GMKFG"
"unlcd:GMKUN","Kuntair",,"unlcdf:5",,"unlcdc:GM",,,"GMKUN"
"unlcd:GMMAK","Mansa Konko",,"unlcdf:5",,"unlcdc:GM",,,"GMMAK"
"unlcd:GMSKE","Serekunda",,"unlcdf:5",,"unlcdc:GM",,,"GMSKE"
"unlcd:GMSUK","Sukuta",,"unlcdf:1, unlcdf:6","unlcds:GMW","unlcdc:GM","13.4","-16.7","GMSUK"
"unlcd:GMSYG","Sanyang",,"unlcdf:6","unlcds:GMW","unlcdc:GM","13.266666","-16.75","GMSYG"
"unlcd:GMYDM","Yundum",,"unlcdf:3","unlcds:GMW","unlcdc:GM","13.333333","-16.666666","GMYDM"
