"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GNBEL","Bel-Air",,"unlcdf:1, unlcdf:3","unlcds:GNBF","unlcdc:GN","10.233334","-14.466666","GNBEL"
"unlcd:GNBEY","Beyla",,"unlcdf:3","unlcds:GNBE","unlcdc:GN","8.683333","-8.633333","GNBEY"
"unlcd:GNBFA","Boffa",,"unlcdf:1, unlcdf:3","unlcds:GNBF","unlcdc:GN","10.183333","-14.033334","GNBFA"
"unlcd:GNBKJ","Boké","Boke","unlcdf:4",,"unlcdc:GN","10.933333","-14.3","GNBKJ"
"unlcd:GNBRP","Port de Boké","Port de Boke","unlcdf:1","unlcds:GNBK","unlcdc:GN","10.516666","-14.716666","GNBRP"
"unlcd:GNBTY","Benty",,"unlcdf:1",,"unlcdc:GN",,,"GNBTY"
"unlcd:GNCKA","Conakry Eco",,"unlcdf:6","unlcds:GNKD","unlcdc:GN","9.5","-13.7","GNCKA"
"unlcd:GNCKY","Conakry",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GN",,,"GNCKY"
"unlcd:GNCOY","Coyah",,"unlcdf:3","unlcds:GNCO","unlcdc:GN","9.7","-13.35","GNCOY"
"unlcd:GNDAB","Dabola",,"unlcdf:3","unlcds:GNDB","unlcdc:GN","10.733334","-11.116667","GNDAB"
"unlcd:GNDIN","Dinguiraye",,"unlcdf:3","unlcds:GNDI","unlcdc:GN","11.283334","-10.716666","GNDIN"
"unlcd:GNDKA","Dubreka",,"unlcdf:1, unlcdf:3","unlcds:GNDU","unlcdc:GN","9.783334","-13.5","GNDKA"
"unlcd:GNDPL","Dapilon",,"unlcdf:1, unlcdf:3","unlcds:GNBK","unlcdc:GN","10.85","-14.5","GNDPL"
"unlcd:GNFAA","Faranah",,"unlcdf:4",,"unlcdc:GN",,,"GNFAA"
"unlcd:GNFIG","Fria",,"unlcdf:4",,"unlcdc:GN",,,"GNFIG"
