"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GPAIF","Baillif",,"unlcdf:1, unlcdf:3",,"unlcdc:GP","16.033333","-61.733334","GPAIF"
"unlcd:GPBBR","Basse-Terre",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GP","16.0","-61.716667","GPBBR"
"unlcd:GPBMH","Baie-Mahault",,"unlcdf:1, unlcdf:3",,"unlcdc:GP","16.266666","-61.583332","GPBMH"
"unlcd:GPBOU","Bouillante",,"unlcdf:3",,"unlcdc:GP","16.133333","-61.766666","GPBOU"
"unlcd:GPBYM","Les Abymes",,"unlcdf:6",,"unlcdc:GP","16.283333","-61.5","GPBYM"
"unlcd:GPCBE","Capesterre-Belle-Eau",,"unlcdf:1, unlcdf:6",,"unlcdc:GP","16.05","-61.55","GPCBE"
"unlcd:GPDHR","Deshaies",,"unlcdf:3",,"unlcdc:GP","16.3","-61.783333","GPDHR"
"unlcd:GPDSD","La Désirade","La Desirade","unlcdf:4",,"unlcdc:GP","16.3","-61.083332","GPDSD"
"unlcd:GPFAE","Folle-Anse",,"unlcdf:1, unlcdf:3",,"unlcdc:GP","15.95","-61.333332","GPFAE"
"unlcd:GPFPI","Anse-Bertrand",,"unlcdf:1, unlcdf:3",,"unlcdc:GP","16.466667","-61.516666","GPFPI"
"unlcd:GPGBJ","Marie-Galante",,"unlcdf:4",,"unlcdc:GP","15.866667","-61.266666","GPGBJ"
"unlcd:GPGOS","Le Gosier",,"unlcdf:1, unlcdf:3",,"unlcdc:GP","16.2","-61.483334","GPGOS"
"unlcd:GPGOU","Gourbeyre",,"unlcdf:3",,"unlcdc:GP","16.0","-61.7","GPGOU"
"unlcd:GPGOY","Goyave",,"unlcdf:3",,"unlcdc:GP","16.133333","-61.566666","GPGOY"
"unlcd:GPGRB","Grand-Bourg",,"unlcdf:1",,"unlcdc:GP","15.883333","-61.3","GPGRB"
"unlcd:GPHTB","Terre-de-Bas",,"unlcdf:4",,"unlcdc:GP","15.85","-61.633335","GPHTB"
"unlcd:GPJAR","Jarry",,"unlcdf:1",,"unlcdc:GP","16.233334","-61.55","GPJAR"
"unlcd:GPLAM","Lamentin",,"unlcdf:3",,"unlcdc:GP","16.266666","-61.616665","GPLAM"
"unlcd:GPLEM","Le Moule",,"unlcdf:3",,"unlcdc:GP","16.333334","-61.333332","GPLEM"
"unlcd:GPLSS","Terre-de-Haut",,"unlcdf:4",,"unlcdc:GP","15.866667","-61.583332","GPLSS"
"unlcd:GPMSB","Marigot",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:GP","18.066668","-63.083332","GPMSB"
"unlcd:GPPAP","Pointe-à-Pitre","Pointe-a-Pitre","unlcdf:3",,"unlcdc:GP","16.233334","-61.516666","GPPAP"
"unlcd:GPPBG","Petit-Bourg",,"unlcdf:3",,"unlcdc:GP","16.183332","-61.583332","GPPBG"
"unlcd:GPPTC","Petit-Canal",,"unlcdf:3",,"unlcdc:GP","16.383333","-61.483334","GPPTC"
"unlcd:GPPTL","Port-Louis",,"unlcdf:1, unlcdf:3, unlcdf:6",,"unlcdc:GP","16.416666","-61.533333","GPPTL"
"unlcd:GPPTP","Point-à-Pitre Apt","Point-a-Pitre Apt","unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:GP","16.266666","-61.516666","GPPTP"
"unlcd:GPSCL","Saint-Claude",,"unlcdf:3",,"unlcdc:GP","16.016666","-61.683334","GPSCL"
"unlcd:GPSFC","Saint-François","Saint-Francois","unlcdf:1, unlcdf:3",,"unlcdc:GP","16.25","-61.266666","GPSFC"
"unlcd:GPSTA","Sainte-Anne",,"unlcdf:3",,"unlcdc:GP","16.233334","-61.366665","GPSTA"
"unlcd:GPSTR","Sainte-Rose",,"unlcdf:3",,"unlcdc:GP","16.333334","-61.683334","GPSTR"
"unlcd:GPTRS","Trois-Rivières","Trois-Rivieres","unlcdf:6",,"unlcdc:GP","15.966666","-61.633335","GPTRS"
"unlcd:GPZAA","Pointe-Noire",,"unlcdf:3, unlcdf:6",,"unlcdc:GP","16.233334","-61.783333","GPZAA"
