"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GQABU","San Antonio de Palé","San Antonio de Pale","unlcdf:3","unlcds:GQAN","unlcdc:GQ","-1.4","5.6","GQABU"
"unlcd:GQATE","Aseng FPSO",,"unlcdf:7",,"unlcdc:GQ","3.3666668","9.133333","GQATE"
"unlcd:GQBSG","Bata",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GQ",,,"GQBSG"
"unlcd:GQBUL","Butuku-Luba",,"unlcdf:1",,"unlcdc:GQ",,,"GQBUL"
"unlcd:GQCOG","Cogo",,"unlcdf:1",,"unlcdc:GQ",,,"GQCOG"
"unlcd:GQGEM","Mongomeyen",,"unlcdf:3, unlcdf:4","unlcds:GQWN","unlcdc:GQ","1.7","11.016666","GQGEM"
"unlcd:GQKNT","Ebebiyín","Ebebiyin","unlcdf:2, unlcdf:3","unlcds:GQKN","unlcdc:GQ","2.15","11.316667","GQKNT"
"unlcd:GQLUB","Luba",,"unlcdf:1","unlcds:GQBS","unlcdc:GQ",,,"GQLUB"
"unlcd:GQMON","Mongomo",,"unlcdf:3","unlcds:GQWN","unlcdc:GQ","1.6166667","11.3","GQMON"
"unlcd:GQPET","Punta Europa Terminal",,"unlcdf:1",,"unlcdc:GQ","3.7833333","8.716666","GQPET"
"unlcd:GQRMN","Rio Muni",,"unlcdf:3",,"unlcdc:GQ",,,"GQRMN"
"unlcd:GQSER","Serpentina Terminal",,"unlcdf:1","unlcds:GQAN","unlcdc:GQ","3.8","8.083333","GQSER"
"unlcd:GQSIS","Santa Isabel",,"unlcdf:5",,"unlcdc:GQ",,,"GQSIS"
"unlcd:GQSSG","Malabo",,"unlcdf:1, unlcdf:4","unlcds:GQBN","unlcdc:GQ",,,"GQSSG"
"unlcd:GQZAF","Zafiro Terminal",,"unlcdf:1","unlcds:GQAN","unlcdc:GQ","3.85","8.166667","GQZAF"
