"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GT8RT","Nueva Concepción","Nueva Concepcion","unlcdf:3","unlcds:GT05","unlcdc:GT","14.2","-91.3","GT8RT"
"unlcd:GTAAZ","Quetzaltenango",,"unlcdf:3, unlcdf:4",,"unlcdc:GT",,,"GTAAZ"
"unlcd:GTADU","Aduana",,"unlcdf:0",,"unlcdc:GT",,,"GTADU"
"unlcd:GTAGA","Antigua Guatemala",,"unlcdf:3","unlcds:GT03","unlcdc:GT","14.55","-90.73333","GTAGA"
"unlcd:GTAMA","Amatitlán","Amatitlan","unlcdf:3","unlcds:GT01","unlcdc:GT","14.483334","-90.61667","GTAMA"
"unlcd:GTAMI","Asunción Mita","Asuncion Mita","unlcdf:3","unlcds:GT22","unlcdc:GT","14.316667","-89.7","GTAMI"
"unlcd:GTANT","Antigua",,"unlcdf:0",,"unlcdc:GT",,,"GTANT"
"unlcd:GTAQB","Quiché","Quiche","unlcdf:4","unlcds:GT14","unlcdc:GT","15.366667","-89.8","GTAQB"
"unlcd:GTBAB","Barberena",,"unlcdf:3","unlcds:GT06","unlcdc:GT","14.3","-90.35","GTBAB"
"unlcd:GTBAR","Bárcenas","Barcenas","unlcdf:3, unlcdf:7","unlcds:GT01","unlcdc:GT","14.516666","-90.6","GTBAR"
"unlcd:GTBOC","Boca del Monte",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:GT01","unlcdc:GT","14.55","-90.51667","GTBOC"
"unlcd:GTCAM","Camotán","Camotan","unlcdf:3","unlcds:GT20","unlcdc:GT","14.816667","-89.36667","GTCAM"
"unlcd:GTCAR","San Pedro Carchá","San Pedro Carcha","unlcdf:3","unlcds:GT16","unlcdc:GT","15.466666","-90.26667","GTCAR"
"unlcd:GTCBV","Coban",,"unlcdf:3, unlcdf:4",,"unlcdc:GT",,,"GTCBV"
