"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GUAGA","Agana",,"unlcdf:3",,"unlcdc:GU",,,"GUAGA"
"unlcd:GUAPR","Apra (Agana)",,"unlcdf:1",,"unlcdc:GU",,,"GUAPR"
"unlcd:GUBRR","Barrigada",,"unlcdf:1, unlcdf:6",,"unlcdc:GU","13.466666","144.78334","GUBRR"
"unlcd:GUDED","Dededo",,"unlcdf:3",,"unlcdc:GU",,,"GUDED"
"unlcd:GUGUA","Mongmong-Toto-Maite",,"unlcdf:3",,"unlcdc:GU","13.466666","144.76666","GUGUA"
"unlcd:GUGUM","Guam",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GU",,,"GUGUM"
"unlcd:GUHGT","Hagatna",,"unlcdf:3",,"unlcdc:GU","13.466666","144.73334","GUHGT"
"unlcd:GUINA","Inarajan",,"unlcdf:3",,"unlcdc:GU","13.266666","144.73334","GUINA"
"unlcd:GUPIT","Piti",,"unlcdf:3",,"unlcdc:GU","13.433333","144.68333","GUPIT"
"unlcd:GUSAN","Santa Rita",,"unlcdf:6",,"unlcdc:GU","13.383333","-144.66667","GUSAN"
"unlcd:GUSJA","Sinajana",,"unlcdf:3",,"unlcdc:GU","13.45","144.75","GUSJA"
"unlcd:GUTMG","Tamuning",,"unlcdf:3",,"unlcdc:GU","13.483334","144.76666","GUTMG"
"unlcd:GUTMN","Tumon",,"unlcdf:3",,"unlcdc:GU","13.5","144.8","GUTMN"
"unlcd:GUYGO","Yigo",,"unlcdf:3, unlcdf:4",,"unlcdc:GU","13.533334","144.88333","GUYGO"
